table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Pennsylvania: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"12,280,548","12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858","12,702,379","12,709,630"
.Under 5 years,"727,771","725,969","720,201","717,700","718,728","722,326","722,165","721,475","726,721","729,631","730,224","729,538","728,165"
.5 to 9 years,"827,907","822,683","803,825","784,880","767,844","754,754","746,114","746,070","746,215","749,392","752,787","753,635","753,342"
.10 to 14 years,"863,818","866,145","873,510","876,455","875,375","867,742","852,112","838,105","822,703","807,692","797,025","791,151","790,173"
.15 to 19 years,"850,899","852,407","859,430","868,354","877,791","890,614","906,077","917,397","922,241","922,093","916,709","905,066","900,259"
.20 to 24 years,"746,063","751,274","770,093","787,897","804,001","810,936","816,991","828,158","836,312","844,073","860,597","874,146","876,209"
.25 to 29 years,"732,692","726,167","697,766","690,461","699,951","716,593","734,921","752,467","765,355","775,864","779,944","781,527","783,152"
.30 to 34 years,"827,741","825,434","816,343","803,493","785,400","760,151","733,122","708,505","699,423","705,068","718,839","729,592","734,174"
.35 to 39 years,"951,376","946,077","919,430","895,062","872,370","850,070","837,152","834,948","825,545","807,688","784,152","764,287","758,443"
.40 to 44 years,"996,636","997,325","1,001,619","992,734","979,062","967,730","951,969","929,004","906,989","885,181","863,209","851,382","850,154"
.45 to 49 years,"908,606","912,495","930,848","951,250","969,269","981,476","988,575","994,997","988,062","975,594","966,503","955,763","951,315"
.50 to 54 years,"796,340","803,362","844,274","841,488","855,010","875,890","898,884","919,683","941,852","962,233","977,095","984,641","986,029"
.55 to 59 years,"619,946","623,299","632,857","685,591","710,208","742,403","782,098","824,281","823,109","838,606","861,199","879,048","883,246"
.60 to 64 years,"511,627","513,368","519,870","533,937","561,865","579,898","592,806","602,770","654,561","679,758","711,927","743,296","749,851"
.65 to 69 years,"480,641","478,683","470,412","465,573","468,197","473,218","474,717","481,727","496,107","523,050","541,509","553,002","556,099"
.70 to 74 years,"488,605","487,367","477,144","465,410","449,414","435,144","425,911","419,774","416,214","418,486","424,531","426,536","428,376"
.75 to 79 years,"422,308","422,459","421,265","419,509","419,710","412,662","406,398","399,346","390,900","377,806","366,783","362,332","361,825"
.80 to 84 years,"290,004","291,477","298,606","305,550","308,009","312,628","315,333","317,038","317,074","318,603","314,386","311,761","311,525"
.85 years and over,"237,568","238,182","241,477","245,687","252,454","256,487","264,645","275,064","284,554","291,467","299,439","305,676","307,293"
.,,,,,,,,,,,,,
.Under 18 years,"2,922,045","2,918,850","2,905,836","2,894,935","2,883,270","2,873,125","2,859,793","2,850,778","2,839,574","2,821,004","2,804,929","2,792,155","2,787,246"
.Under 5 years,"727,771","725,969","720,201","717,700","718,728","722,326","722,165","721,475","726,721","729,631","730,224","729,538","728,165"
.5 to 13 years,"1,520,553","1,518,285","1,505,897","1,488,105","1,466,852","1,440,638","1,420,354","1,409,845","1,397,213","1,388,688","1,384,682","1,381,700","1,381,567"
.14 to 17 years,"673,721","674,596","679,738","689,130","697,690","710,161","717,274","719,458","715,640","702,685","690,023","680,917","677,514"
.18 to 64 years,"7,439,377","7,447,155","7,484,230","7,534,367","7,593,604","7,647,458","7,703,193","7,767,082","7,819,514","7,861,869","7,915,281","7,950,917","7,957,266"
.18 to 24 years,"1,094,413","1,099,628","1,121,223","1,140,351","1,160,469","1,173,247","1,183,666","1,200,427","1,214,618","1,231,877","1,252,413","1,261,381","1,260,902"
.25 to 44 years,"3,508,445","3,495,003","3,435,158","3,381,750","3,336,783","3,294,544","3,257,164","3,224,924","3,197,312","3,173,801","3,146,144","3,126,788","3,125,923"
.45 to 64 years,"2,836,519","2,852,524","2,927,849","3,012,266","3,096,352","3,179,667","3,262,363","3,341,731","3,407,584","3,456,191","3,516,724","3,562,748","3,570,441"
.65 years and over,"1,919,126","1,918,168","1,908,904","1,901,729","1,897,784","1,890,139","1,887,004","1,892,949","1,904,849","1,929,412","1,946,648","1,959,307","1,965,118"
.,,,,,,,,,,,,,
.16 years and over,"9,693,600","9,700,332","9,730,176","9,779,467","9,838,349","9,888,102","9,946,148","10,025,380","10,091,940","10,151,616","10,216,229","10,260,299","10,270,270"
.18 years and over,"9,358,503","9,365,323","9,393,134","9,436,096","9,491,388","9,537,597","9,590,197","9,660,031","9,724,363","9,791,281","9,861,929","9,910,224","9,922,384"
.15 to 44 years,"5,105,407","5,098,684","5,064,681","5,038,001","5,018,575","4,996,094","4,980,232","4,970,479","4,955,865","4,939,967","4,923,450","4,906,000","4,902,391"
.,,,,,,,,,,,,,
.Median age (years),38.0,38.1,38.4,38.6,38.9,39.1,39.3,39.5,39.6,39.8,40.0,40.1,40.2
MALE,"5,929,355","5,932,174","5,944,575","5,967,199","5,996,764","6,019,973","6,044,937","6,081,497","6,111,850","6,138,990","6,169,834","6,190,363","6,194,958"
.Under 5 years,"372,428","371,438","368,115","366,746","366,686","368,364","368,365","368,582","371,408","372,633","373,448","373,216","372,463"
.5 to 9 years,"424,223","421,564","411,624","401,877","393,375","386,566","381,782","381,139","381,116","382,467","383,764","384,359","384,215"
.10 to 14 years,"443,582","444,705","448,387","449,533","448,954","445,030","437,069","429,585","421,941","414,040","408,455","405,227","404,653"
.15 to 19 years,"433,617","434,900","439,182","444,023","449,050","455,326","463,247","469,420","471,210","471,328","468,273","462,465","460,011"
.20 to 24 years,"372,870","375,323","384,888","394,990","405,741","410,559","414,143","420,656","424,621","428,079","435,701","441,886","442,937"
.25 to 29 years,"366,292","362,962","348,769","345,039","349,818","358,027","367,024","376,328","382,863","388,921","391,788","392,569","393,992"
.30 to 34 years,"410,483","409,330","405,379","400,356","391,765","379,131","365,769","353,826","349,519","351,714","358,981","364,681","366,931"
.35 to 39 years,"468,787","466,203","452,823","441,530","431,083","420,214","414,481","414,085","410,282","401,804","390,032","380,172","377,383"
.40 to 44 years,"492,287","492,497","494,409","489,340","482,603","477,551","469,872","458,331","448,097","437,867","427,064","421,689","421,082"
.45 to 49 years,"448,791","450,683","459,770","469,501","478,087","483,608","486,918","490,314","486,316","479,839","475,851","470,543","468,463"
.50 to 54 years,"389,743","393,187","413,751","412,874","419,996","430,382","442,240","452,598","463,336","473,441","480,395","484,289","484,932"
.55 to 59 years,"297,558","299,274","304,643","331,525","344,126","360,801","380,551","401,667","401,694","409,611","421,004","430,202","432,291"
.60 to 64 years,"241,175","242,124","245,835","252,862","266,649","275,259","281,687","287,253","313,147","326,033","342,512","358,008","361,165"
