Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1906",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"85,450,000 ","43,841,000 ","41,609,000 ","75,583,000 ","38,890,000 ","36,693,000 ","9,867,000 ","4,951,000 ","4,916,000 "
,,,,,,,,,
0,"2,050,000 ","1,040,000 ","1,010,000 ","1,793,000 ","911,000 ","882,000 ","257,000 ","129,000 ","128,000 "
1,"2,040,000 ","1,032,000 ","1,008,000 ","1,779,000 ","902,000 ","877,000 ","261,000 ","130,000 ","131,000 "
2,"2,024,000 ","1,022,000 ","1,002,000 ","1,760,000 ","891,000 ","869,000 ","264,000 ","131,000 ","133,000 "
3,"2,002,000 ","1,010,000 ","992,000 ","1,738,000 ","879,000 ","859,000 ","264,000 ","131,000 ","133,000 "
4,"1,976,000 ","996,000 ","980,000 ","1,713,000 ","866,000 ","847,000 ","263,000 ","130,000 ","133,000 "
5,"1,947,000 ","982,000 ","965,000 ","1,685,000 ","852,000 ","833,000 ","262,000 ","130,000 ","132,000 "
6,"1,914,000 ","965,000 ","949,000 ","1,656,000 ","837,000 ","819,000 ","258,000 ","128,000 ","130,000 "
7,"1,881,000 ","949,000 ","932,000 ","1,626,000 ","822,000 ","804,000 ","255,000 ","127,000 ","128,000 "
8,"1,848,000 ","933,000 ","915,000 ","1,597,000 ","808,000 ","789,000 ","251,000 ","125,000 ","126,000 "
9,"1,815,000 ","917,000 ","898,000 ","1,569,000 ","794,000 ","775,000 ","246,000 ","123,000 ","123,000 "
10,"1,782,000 ","901,000 ","881,000 ","1,541,000 ","780,000 ","761,000 ","241,000 ","121,000 ","120,000 "
11,"1,748,000 ","885,000 ","863,000 ","1,512,000 ","766,000 ","746,000 ","236,000 ","119,000 ","117,000 "
