Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1928",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"120,509,000 ","61,101,000 ","59,408,000 ","108,244,000 ","54,982,000 ","53,262,000 ","12,265,000 ","6,119,000 ","6,146,000 "
,,,,,,,,,
0,"2,251,000 ","1,143,000 ","1,108,000 ","2,002,000 ","1,019,000 ","983,000 ","249,000 ","124,000 ","125,000 "
1,"2,345,000 ","1,191,000 ","1,154,000 ","2,083,000 ","1,060,000 ","1,023,000 ","262,000 ","131,000 ","131,000 "
2,"2,416,000 ","1,227,000 ","1,189,000 ","2,144,000 ","1,091,000 ","1,053,000 ","272,000 ","136,000 ","136,000 "
3,"2,466,000 ","1,252,000 ","1,214,000 ","2,188,000 ","1,113,000 ","1,075,000 ","278,000 ","139,000 ","139,000 "
4,"2,500,000 ","1,269,000 ","1,231,000 ","2,217,000 ","1,127,000 ","1,090,000 ","283,000 ","142,000 ","141,000 "
5,"2,515,000 ","1,276,000 ","1,239,000 ","2,231,000 ","1,134,000 ","1,097,000 ","284,000 ","142,000 ","142,000 "
6,"2,518,000 ","1,277,000 ","1,241,000 ","2,234,000 ","1,135,000 ","1,099,000 ","284,000 ","142,000 ","142,000 "
7,"2,509,000 ","1,271,000 ","1,238,000 ","2,227,000 ","1,130,000 ","1,097,000 ","282,000 ","141,000 ","141,000 "
8,"2,490,000 ","1,260,000 ","1,230,000 ","2,211,000 ","1,121,000 ","1,090,000 ","279,000 ","139,000 ","140,000 "
9,"2,464,000 ","1,246,000 ","1,218,000 ","2,189,000 ","1,109,000 ","1,080,000 ","275,000 ","137,000 ","138,000 "
10,"2,429,000 ","1,226,000 ","1,203,000 ","2,159,000 ","1,092,000 ","1,067,000 ","270,000 ","134,000 ","136,000 "
