Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1915",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"100,546,000 ","51,573,000 ","48,973,000 ","89,848,000 ","46,188,000 ","43,660,000 ","10,698,000 ","5,385,000 ","5,313,000 "
,,,,,,,,,
0,"2,317,000 ","1,179,000 ","1,138,000 ","2,072,000 ","1,056,000 ","1,016,000 ","245,000 ","123,000 ","122,000 "
1,"2,295,000 ","1,164,000 ","1,131,000 ","2,044,000 ","1,039,000 ","1,005,000 ","251,000 ","125,000 ","126,000 "
2,"2,270,000 ","1,149,000 ","1,121,000 ","2,015,000 ","1,022,000 ","993,000 ","255,000 ","127,000 ","128,000 "
3,"2,246,000 ","1,134,000 ","1,112,000 ","1,987,000 ","1,006,000 ","981,000 ","259,000 ","128,000 ","131,000 "
4,"2,219,000 ","1,119,000 ","1,100,000 ","1,958,000 ","990,000 ","968,000 ","261,000 ","129,000 ","132,000 "
5,"2,191,000 ","1,105,000 ","1,086,000 ","1,929,000 ","975,000 ","954,000 ","262,000 ","130,000 ","132,000 "
6,"2,163,000 ","1,090,000 ","1,073,000 ","1,900,000 ","960,000 ","940,000 ","263,000 ","130,000 ","133,000 "
7,"2,135,000 ","1,077,000 ","1,058,000 ","1,872,000 ","946,000 ","926,000 ","263,000 ","131,000 ","132,000 "
8,"2,106,000 ","1,063,000 ","1,043,000 ","1,845,000 ","933,000 ","912,000 ","261,000 ","130,000 ","131,000 "
9,"2,079,000 ","1,050,000 ","1,029,000 ","1,819,000 ","920,000 ","899,000 ","260,000 ","130,000 ","130,000 "
10,"2,051,000 ","1,037,000 ","1,014,000 ","1,794,000 ","908,000 ","886,000 ","257,000 ","129,000 ","128,000 "
