table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Alaska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.60 to 64 years,"17,329","17,420","18,694","20,238","22,087","23,962","25,556","26,757","29,629","31,381","34,268","35,938","36,327"
.65 to 69 years,"12,628","12,753","13,037","13,659","14,287","14,904","15,605","16,669","18,006","19,549","21,053","22,202","22,371"
.70 to 74 years,"9,880","9,982","10,301","10,456","10,744","11,045","11,220","11,321","11,697","12,249","12,706","13,148","13,227"
.75 to 79 years,"6,863","6,944","7,212","7,443","7,573","7,935","8,370","8,526","8,515","8,726","8,858","8,892","8,880"
.80 to 84 years,"3,695","3,761","4,026","4,325","4,641","4,946","5,137","5,214","5,383","5,513","5,754","5,985","5,990"
.85 years and over,"2,634","2,666","2,839","2,985","3,164","3,318","3,613","3,870","4,005","4,285","4,508","4,711","4,765"
.,,,,,,,,,,,,,
.Under 18 years,"190,714","190,615","188,771","188,482","186,843","186,335","185,304","185,580","184,344","183,124","186,351","187,378","188,153"
.Under 5 years,"47,593","47,528","47,176","47,437","47,610","48,257","48,929","49,441","50,219","51,119","53,122","53,996","54,207"
.5 to 13 years,"99,051","98,942","97,288","96,082","94,486","92,545","90,502","90,151","89,027","88,716","90,616","91,587","92,127"
.14 to 17 years,"44,070","44,145","44,307","44,963","44,747","45,533","45,873","45,988","45,098","43,289","42,613","41,795","41,819"
.18 to 64 years,"400,519","401,242","407,528","414,987","421,162","430,803","437,697","444,122","448,350","454,009","459,665","467,915","470,599"
.18 to 24 years,"57,292","57,670","61,774","65,287","68,253","71,882","73,591","74,369","74,383","75,206","73,249","74,881","75,185"
.25 to 44 years,"203,526","202,899","198,158","194,428","190,773","189,864","188,753","188,470","188,612","189,673","191,023","196,099","197,353"
.45 to 64 years,"139,701","140,673","147,596","155,272","162,136","169,057","175,353","181,283","185,355","189,130","195,393","196,935","198,061"
.65 years and over,"35,700","36,106","37,415","38,868","40,409","42,148","43,945","45,600","47,606","50,322","52,879","54,938","55,233"
.,,,,,,,,,,,,,
.16 years and over,"457,731","458,864","466,883","476,427","483,895","495,313","504,090","512,943","519,303","526,798","534,482","544,208","547,164"
.18 years and over,"436,219","437,348","444,943","453,855","461,571","472,951","481,642","489,722","495,956","504,331","512,544","522,853","525,832"
.15 to 44 years,"293,510","293,356","293,138","293,365","292,582","295,376","296,634","297,671","297,415","297,869","296,584","302,659","304,230"
.,,,,,,,,,,,,,
.Median age (years),32.4,32.5,32.7,32.9,33.1,33.3,33.5,33.6,33.8,33.8,34.1,33.8,33.8
MALE,"324,112","324,750","328,135","332,704","335,380","341,479","346,026","350,181","353,162","358,043","361,893","369,628","371,632"
.Under 5 years,"24,404","24,376","24,333","24,462","24,720","24,908","25,326","25,530","25,975","26,351","27,449","27,896","28,014"
.5 to 9 years,"27,519","27,352","26,283","25,485","24,848","24,609","24,456","24,964","24,843","25,155","25,926","26,038","26,198"
.10 to 14 years,"29,077","29,163","29,202","29,412","29,203","28,775","27,892","27,063","26,380","25,850","26,125","26,147","26,273"
.15 to 19 years,"26,366","26,446","27,757","28,438","28,562","28,868","28,762","28,797","28,666","28,220","27,717","27,179","27,166"
.20 to 24 years,"21,192","21,406","22,934","24,615","25,950","28,012","29,526","29,820","29,746","30,307","27,880","29,706","29,890"
.25 to 29 years,"22,188","21,947","21,339","21,303","21,180","22,017","22,729","23,884","25,314","26,918","27,412","29,307","29,565"
.30 to 34 years,"24,121","24,039","23,680","23,424","23,085","22,854","22,431","22,349","22,473","22,897","23,558","24,861","25,174"
.35 to 39 years,"28,558","28,470","27,200","26,071","24,906","24,052","24,084","23,895","23,861","23,883","23,298","23,731","23,712"
.40 to 44 years,"29,798","29,884","29,599","29,025","28,257","28,252","27,518","26,561","25,668","24,897","24,211","24,646","24,769"
.45 to 49 years,"27,950","28,130","28,592","29,349","29,604","29,626","29,701","29,757","29,171","28,723","29,037","28,398","28,447"
.50 to 54 years,"22,309","22,544","24,223","24,778","25,907","26,882","27,567","28,244","28,735","28,780","29,236","29,288","29,429"
.55 to 59 years,"14,696","14,806","15,417","17,215","18,313","19,896","21,600","23,300","23,675","24,910","26,030","26,394","26,591"
.60 to 64 years,"9,210","9,262","10,026","10,843","11,793","12,722","13,504","14,104","15,686","16,709","18,282","19,231","19,434"
.65 to 69 years,"6,372","6,439","6,637","6,972","7,420","7,804","8,273","8,917","9,607","10,434","11,138","11,714","11,801"
.70 to 74 years,"4,861","4,917","5,084","5,190","5,193","5,328","5,372","5,467","5,675","6,096","6,381","6,662","6,713"
.75 to 79 years,"3,066","3,105","3,237","3,383","3,486","3,716","3,954","4,058","4,050","4,045","4,119","4,150","4,144"
.80 to 84 years,"1,522","1,552","1,653","1,757","1,908","2,038","2,113","2,188","2,292","2,386","2,508","2,620","2,629"
.85 years and over,903,912,939,982,"1,045","1,120","1,218","1,283","1,345","1,482","1,586","1,660","1,683"
.,,,,,,,,,,,,,
.Under 18 years,"97,999","97,941","97,035","96,787","96,129","95,735","95,278","95,462","94,964","94,489","96,168","96,406","96,831"
.Under 5 years,"24,404","24,376","24,333","24,462","24,720","24,908","25,326","25,530","25,975","26,351","27,449","27,896","28,014"
.5 to 13 years,"50,682","50,615","49,752","49,146","48,254","47,301","46,377","46,199","45,722","45,770","46,648","46,970","47,257"
.14 to 17 years,"22,913","22,950","22,950","23,179","23,155","23,526","23,575","23,733","23,267","22,368","22,071","21,540","21,560"
.18 to 64 years,"209,389","209,884","213,550","217,633","220,199","225,738","229,818","232,806","235,229","239,111","239,993","246,416","247,831"
.18 to 24 years,"30,559","30,802","33,474","35,625","37,154","39,437","40,684","40,712","40,646","41,394","38,929","40,560","40,710"
.25 to 44 years,"104,665","104,340","101,818","99,823","97,428","97,175","96,762","96,689","97,316","98,595","98,479","102,545","103,220"
.45 to 64 years,"74,165","74,742","78,258","82,185","85,617","89,126","92,372","95,405","97,267","99,122","102,585","103,311","103,901"
.65 years and over,"16,724","16,925","17,550","18,284","19,052","20,006","20,930","21,913","22,969","24,443","25,732","26,806","26,970"
.,,,,,,,,,,,,,
.16 years and over,"237,363","238,063","242,497","247,607","250,898","257,368","262,353","266,693","270,229","275,362","277,205","284,293","285,874"
.18 years and over,"226,113","226,809","231,100","235,917","239,251","245,744","250,748","254,719","258,198","263,554","265,725","273,222","274,801"
.15 to 44 years,"152,223","152,192","152,509","152,876","151,940","154,055","155,050","155,306","155,728","157,122","154,076","159,430","160,276"
.,,,,,,,,,,,,,
.Median age (years),32.4,32.4,32.5,32.7,32.9,33.1,33.2,33.4,33.4,33.5,33.9,33.6,33.6
FEMALE,"302,821","303,213","305,579","309,633","313,034","317,807","320,920","325,121","327,138","329,412","337,002","340,603","342,353"
.Under 5 years,"23,189","23,152","22,843","22,975","22,890","23,349","23,603","23,911","24,244","24,768","25,673","26,100","26,193"
.5 to 9 years,"26,251","26,087","25,029","24,461","23,897","23,417","22,985","23,099","23,187","23,077","24,144","24,849","25,000"
.10 to 14 years,"27,582","27,698","27,875","28,037","27,729","27,647","26,752","26,181","25,295","24,933","24,722","24,669","24,783"
.15 to 19 years,"23,726","23,780","24,621","25,215","25,514","25,744","26,002","26,323","26,055","25,685","25,602","24,962","24,932"
.20 to 24 years,"18,700","18,825","19,668","20,669","21,783","22,888","23,591","24,261","24,336","23,984","24,362","24,713","24,889"
.25 to 29 years,"20,802","20,624","19,809","19,852","20,234","20,752","21,690","22,535","23,398","24,323","25,283","26,112","26,288"
.30 to 34 years,"22,365","22,298","22,326","22,073","21,873","21,624","21,308","21,020","20,973","21,240","22,085","22,845","23,120"
.35 to 39 years,"27,169","27,050","25,783","24,696","23,570","22,958","22,382","22,738","22,611","22,330","22,268","22,102","22,096"
.40 to 44 years,"28,525","28,587","28,422","27,984","27,668","27,355","26,611","25,488","24,314","23,185","22,908","22,495","22,629"
.45 to 49 years,"25,565","25,682","26,531","27,345","27,701","27,930","27,783","27,809","27,390","26,993","26,861","26,328","26,361"
.50 to 54 years,"19,126","19,290","20,607","21,372","22,656","23,631","24,795","25,720","26,380","26,667","27,184","27,012","27,158"
.55 to 59 years,"12,726","12,801","13,532","14,975","15,868","17,130","18,351","19,696","20,375","21,676","22,777","23,577","23,748"
.60 to 64 years,"8,119","8,158","8,668","9,395","10,294","11,240","12,052","12,653","13,943","14,672","15,986","16,707","16,893"
.65 to 69 years,"6,256","6,314","6,400","6,687","6,867","7,100","7,332","7,752","8,399","9,115","9,915","10,488","10,570"
.70 to 74 years,"5,019","5,065","5,217","5,266","5,551","5,717","5,848","5,854","6,022","6,153","6,325","6,486","6,514"
.75 to 79 years,"3,797","3,839","3,975","4,060","4,087","4,219","4,416","4,468","4,465","4,681","4,739","4,742","4,736"
.80 to 84 years,"2,173","2,209","2,373","2,568","2,733","2,908","3,024","3,026","3,091","3,127","3,246","3,365","3,361"
.85 years and over,"1,731","1,754","1,900","2,003","2,119","2,198","2,395","2,587","2,660","2,803","2,922","3,051","3,082"
.,,,,,,,,,,,,,
.Under 18 years,"92,715","92,674","91,736","91,695","90,714","90,600","90,026","90,118","89,380","88,635","90,183","90,972","91,322"
.Under 5 years,"23,189","23,152","22,843","22,975","22,890","23,349","23,603","23,911","24,244","24,768","25,673","26,100","26,193"
.5 to 13 years,"48,369","48,327","47,536","46,936","46,232","45,244","44,125","43,952","43,305","42,946","43,968","44,617","44,870"
.14 to 17 years,"21,157","21,195","21,357","21,784","21,592","22,007","22,298","22,255","21,831","20,921","20,542","20,255","20,259"
.18 to 64 years,"191,130","191,358","193,978","197,354","200,963","205,065","207,879","211,316","213,121","214,898","219,672","221,499","222,768"
.18 to 24 years,"26,733","26,868","28,300","29,662","31,099","32,445","32,907","33,657","33,737","33,812","34,320","34,321","34,475"
.25 to 44 years,"98,861","98,559","96,340","94,605","93,345","92,689","91,991","91,781","91,296","91,078","92,544","93,554","94,133"
.45 to 64 years,"65,536","65,931","69,338","73,087","76,519","79,931","82,981","85,878","88,088","90,008","92,808","93,624","94,160"
.65 years and over,"18,976","19,181","19,865","20,584","21,357","22,142","23,015","23,687","24,637","25,879","27,147","28,132","28,263"
.,,,,,,,,,,,,,
.16 years and over,"220,368","220,801","224,386","228,820","232,997","237,945","241,737","246,250","249,074","251,436","257,277","259,915","261,290"
.18 years and over,"210,106","210,539","213,843","217,938","222,320","227,207","230,894","235,003","237,758","240,777","246,819","249,631","251,031"
.15 to 44 years,"141,287","141,164","140,629","140,489","140,642","141,321","141,584","142,365","141,687","140,747","142,508","143,229","143,954"
.,,,,,,,,,,,,,
.Median age (years),32.5,32.6,32.9,33.1,33.4,33.6,33.8,33.9,34.1,34.2,34.2,34.1,34.0
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Alaska: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-02)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
