Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1959",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"177,829,628 ","87,995,434 ","89,834,194 ","157,654,929 ","78,153,703 ","79,501,226 ","20,174,699 ","9,841,731 ","10,332,968 "
,,,,,,,,,
0,"4,097,383 ","2,081,769 ","2,015,614 ","3,480,334 ","1,773,963 ","1,706,371 ","617,049 ","307,806 ","309,243 "
1,"4,103,414 ","2,087,299 ","2,016,115 ","3,513,630 ","1,791,625 ","1,722,005 ","589,784 ","295,674 ","294,110 "
2,"4,092,616 ","2,081,824 ","2,010,792 ","3,499,692 ","1,785,083 ","1,714,609 ","592,924 ","296,741 ","296,183 "
3,"3,947,785 ","2,004,941 ","1,942,844 ","3,380,021 ","1,721,666 ","1,658,355 ","567,764 ","283,275 ","284,489 "
4,"3,933,920 ","2,003,669 ","1,930,251 ","3,376,509 ","1,724,621 ","1,651,888 ","557,411 ","279,048 ","278,363 "
5,"3,877,965 ","1,971,705 ","1,906,260 ","3,336,417 ","1,701,170 ","1,635,247 ","541,548 ","270,535 ","271,013 "
6,"3,764,441 ","1,912,702 ","1,851,739 ","3,248,423 ","1,654,939 ","1,593,484 ","516,018 ","257,763 ","258,255 "
7,"3,697,523 ","1,880,569 ","1,816,954 ","3,192,844 ","1,629,368 ","1,563,476 ","504,679 ","251,201 ","253,478 "
8,"3,569,753 ","1,814,139 ","1,755,614 ","3,075,930 ","1,567,076 ","1,508,854 ","493,823 ","247,063 ","246,760 "
9,"3,434,413 ","1,749,824 ","1,684,589 ","2,968,967 ","1,516,219 ","1,452,748 ","465,446 ","233,605 ","231,841 "
10,"3,478,283 ","1,769,305 ","1,708,978 ","3,011,070 ","1,534,766 ","1,476,304 ","467,213 ","234,539 ","232,674 "
