table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for West Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,808,193","1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,852,994","1,853,973"
.Under 5 years,"101,797","101,339","100,696","101,514","102,412","103,576","103,638","103,572","104,231","104,966","104,536","104,060","103,808"
.5 to 9 years,"111,145","110,195","107,583","105,228","104,120","103,541","103,395","103,744","104,377","105,427","106,199","106,016","105,939"
.10 to 14 years,"116,179","116,184","115,635","115,806","115,800","115,103","113,094","111,958","109,958","109,047","108,873","109,045","108,966"
.15 to 19 years,"125,574","125,735","122,425","120,830","119,365","119,335","119,757","120,417","121,325","121,453","121,260","120,092","119,450"
.20 to 24 years,"120,093","120,617","123,377","124,791","125,685","123,968","121,477","119,150","117,395","115,487","116,191","117,204","117,542"
.25 to 29 years,"113,574","112,230","107,224","105,997","105,879","106,941","108,894","111,694","111,690","111,645","110,428","108,444","108,803"
.30 to 34 years,"115,511","115,098","115,248","115,922","116,498","114,915","113,756","109,983","109,162","108,886","110,708","112,254","113,107"
.35 to 39 years,"129,804","128,850","124,864","122,053","119,668","117,814","116,806","118,523","119,170","119,417","117,816","117,136","116,220"
.40 to 44 years,"142,427","142,357","140,524","137,452","134,693","132,707","130,403","127,919","125,494","123,320","121,308","120,358","120,101"
.45 to 49 years,"141,218","141,705","141,578","142,391","142,998","142,836","141,975","140,878","138,331","135,640","134,200","132,924","132,148"
.50 to 54 years,"129,223","130,175","137,291","137,028","138,536","139,283","140,412","141,065","142,362","143,211","143,370","143,232","143,329"
.55 to 59 years,"98,900","99,344","100,969","109,377","114,504","121,776","128,550","135,802","135,790","137,447","138,285","139,368","140,001"
.60 to 64 years,"85,889","86,132","87,164","89,497","92,912","94,702","97,074","99,102","107,292","112,450","119,652","125,457","126,440"
.65 to 69 years,"75,846","75,639","76,053","76,748","78,710","80,881","81,299","82,672","85,109","88,179","90,014","91,728","92,198"
.70 to 74 years,"72,595","72,491","71,478","70,310","68,747","67,267","67,292","67,806","68,389","69,894","71,699","71,792","72,058"
.75 to 79 years,"58,795","58,859","59,083","59,245","59,923","59,015","58,878","58,431","57,299","55,888","54,726","54,725","54,561"
.80 to 84 years,"37,847","38,116","38,582","39,663","40,242","41,085","41,836","42,351","42,779","43,628","43,126","43,238","43,184"
.85 years and over,"31,776","31,955","31,707","31,562","31,603","31,693","31,956","32,845","33,899","34,325","35,384","35,921","36,118"
.,,,,,,,,,,,,,
.Under 18 years,"402,376","401,062","395,307","393,569","392,460","391,856","390,431","390,637","390,661","390,210","389,036","387,418","386,761"
.Under 5 years,"101,797","101,339","100,696","101,514","102,412","103,576","103,638","103,572","104,231","104,966","104,536","104,060","103,808"
.5 to 13 years,"203,453","202,658","199,959","198,280","197,046","194,815","193,081","192,204","191,965","192,591","193,159","192,973","192,951"
.14 to 17 years,"97,126","97,065","94,652","93,775","93,002","93,465","93,712","94,861","94,465","92,653","91,341","90,385","90,002"
.18 to 64 years,"1,128,958","1,128,899","1,129,271","1,134,317","1,140,610","1,144,641","1,148,800","1,153,170","1,155,916","1,158,186","1,163,790","1,168,172","1,169,093"
.18 to 24 years,"172,412","173,008","174,409","174,600","174,922","173,667","170,930","168,204","166,625","166,170","168,023","168,999","168,944"
.25 to 44 years,"501,316","498,535","487,860","481,424","476,738","472,377","469,859","468,119","465,516","463,268","460,260","458,192","458,231"
.45 to 64 years,"455,230","457,356","467,002","478,293","488,950","498,597","508,011","516,847","523,775","528,748","535,507","540,981","541,918"
.65 years and over,"276,859","277,060","276,903","277,528","279,225","279,941","281,261","284,105","287,475","291,914","294,949","297,404","298,119"
.,,,,,,,,,,,,,
.16 years and over,"1,455,236","1,455,277","1,453,902","1,459,519","1,467,019","1,471,002","1,476,185","1,484,737","1,491,483","1,497,948","1,505,650","1,511,356","1,512,729"
.18 years and over,"1,405,817","1,405,959","1,406,174","1,411,845","1,419,835","1,424,582","1,430,061","1,437,275","1,443,391","1,450,100","1,458,739","1,465,576","1,467,212"
.15 to 44 years,"746,983","744,887","733,662","727,045","721,788","715,680","711,093","707,686","704,236","700,208","697,711","695,488","695,223"
.,,,,,,,,,,,,,
.Median age (years),38.9,39.0,39.4,39.6,39.9,40.1,40.4,40.6,40.8,41.0,41.2,41.3,41.3
MALE,"879,096","878,752","877,838","881,573","886,460","889,411","892,802","897,307","901,369","905,399","910,341","913,586","914,233"
.Under 5 years,"51,861","51,618","51,375","51,879","52,142","53,019","53,207","53,064","53,290","53,739","53,543","53,300","53,161"
.5 to 9 years,"57,197","56,719","55,419","54,349","53,783","53,103","52,714","52,999","53,429","53,784","54,473","54,429","54,399"
.10 to 14 years,"59,874","59,864","59,494","59,472","59,418","59,091","58,201","57,586","56,540","56,173","55,701","55,544","55,497"
.15 to 19 years,"64,534","64,677","63,148","62,523","61,837","61,710","61,691","61,866","62,113","62,299","62,268","61,859","61,532"
.20 to 24 years,"60,693","60,935","62,501","62,991","63,781","62,740","61,916","60,818","60,285","59,259","59,469","59,925","60,093"
.25 to 29 years,"56,939","56,283","53,840","53,657","53,625","54,209","55,134","56,580","56,052","56,254","55,823","55,073","55,340"
.30 to 34 years,"57,539","57,348","57,486","58,038","58,286","57,504","57,048","55,103","55,255","55,058","56,158","56,821","57,238"
