table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"11,353,336","11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896","11,536,504","11,536,182"
.Under 5 years,"754,944","753,404","750,509","746,187","742,000","739,780","733,931","726,541","728,009","726,833","723,368","720,856","719,136"
.5 to 9 years,"816,358","811,670","798,069","782,151","771,291","763,304","757,828","756,475","755,051","752,633","751,617","747,889","746,836"
.10 to 14 years,"827,838","830,437","836,987","841,617","841,279","835,264","821,312","809,421","795,103","785,304","778,668","774,699","773,218"
.15 to 19 years,"816,834","819,088","814,685","812,172","815,127","821,803","829,171","835,744","840,649","840,788","833,812","823,682","818,512"
.20 to 24 years,"728,868","734,584","757,562","774,084","781,889","775,499","767,177","759,867","752,873","752,870","758,614","763,116","764,648"
.25 to 29 years,"735,588","728,873","700,830","690,527","695,460","709,581","725,714","739,109","745,854","741,612","728,925","718,630","719,988"
.30 to 34 years,"784,324","782,328","780,402","772,568","757,696","734,942","709,501","681,356","668,575","670,378","681,723","691,329","695,618"
.35 to 39 years,"883,795","879,343","853,193","826,781","803,097","784,405","775,143","776,658","771,123","757,298","736,000","718,462","712,425"
.40 to 44 years,"921,565","922,677","924,959","915,016","899,862","886,950","868,006","840,713","814,653","790,142","770,297","761,369","759,815"
.45 to 49 years,"834,853","838,939","853,822","871,696","888,732","898,940","902,355","905,412","896,004","881,559","868,474","855,134","850,647"
.50 to 54 years,"731,570","738,477","778,373","774,433","784,547","798,392","816,267","832,404","851,768","870,340","882,565","887,057","887,893"
.55 to 59 years,"553,204","556,612","563,216","609,320","633,720","668,730","708,188","747,833","745,347","757,215","772,279","786,857","790,321"
.60 to 64 years,"455,759","457,704","464,866","479,575","501,032","512,369","521,498","528,515","574,346","599,290","634,831","665,409","670,924"
.65 to 69 years,"402,700","401,622","399,220","399,074","406,219","414,279","416,177","424,089","439,188","459,440","470,598","478,864","481,396"
.70 to 74 years,"387,600","387,175","382,053","374,193","364,851","356,252","353,484","352,851","353,443","360,321","369,083","371,370","372,858"
.75 to 79 years,"325,490","326,115","326,323","326,766","327,460","323,074","319,752","316,143","311,070","303,946","297,885","297,519","296,774"
.80 to 84 years,"215,247","216,776","222,294","228,744","232,486","237,509","241,290","243,614","245,152","246,770","244,639","243,833","243,584"
.85 years and over,"176,799","177,719","180,041","182,985","188,040","191,178","196,526","204,468","212,260","218,652","225,518","230,429","231,589"
.,,,,,,,,,,,,,
.Under 18 years,"2,888,410","2,886,585","2,878,123","2,865,674","2,849,573","2,836,068","2,819,794","2,804,828","2,790,347","2,768,968","2,748,051","2,730,751","2,724,018"
.Under 5 years,"754,944","753,404","750,509","746,187","742,000","739,780","733,931","726,541","728,009","726,833","723,368","720,856","719,136"
.5 to 13 years,"1,478,863","1,477,331","1,471,884","1,459,124","1,445,506","1,426,853","1,409,619","1,399,487","1,387,214","1,378,649","1,373,064","1,365,570","1,364,239"
.14 to 17 years,"654,603","655,850","655,730","660,363","662,067","669,435","676,244","678,800","675,124","663,486","651,619","644,325","640,643"
.18 to 64 years,"6,957,090","6,967,551","6,999,350","7,030,453","7,066,159","7,093,891","7,116,297","7,135,220","7,149,008","7,157,294","7,173,122","7,183,738","7,185,963"
.18 to 24 years,"1,056,432","1,062,598","1,079,689","1,090,537","1,102,013","1,099,582","1,089,625","1,083,220","1,081,338","1,089,460","1,098,028","1,099,491","1,098,332"
.25 to 44 years,"3,325,272","3,313,221","3,259,384","3,204,892","3,156,115","3,115,878","3,078,364","3,037,836","3,000,205","2,959,430","2,916,945","2,889,790","2,887,846"
.45 to 64 years,"2,575,386","2,591,732","2,660,277","2,735,024","2,808,031","2,878,431","2,948,308","3,014,164","3,067,465","3,108,404","3,158,149","3,194,457","3,199,785"
.65 years and over,"1,507,836","1,509,407","1,509,931","1,511,762","1,519,056","1,522,292","1,527,229","1,541,165","1,561,113","1,589,129","1,607,723","1,622,015","1,626,201"
.,,,,,,,,,,,,,
.16 years and over,"8,789,665","8,801,801","8,836,684","8,874,212","8,914,771","8,945,892","8,977,553","9,017,847","9,054,354","9,085,999","9,114,101","9,133,831","9,137,936"
.18 years and over,"8,464,926","8,476,958","8,509,281","8,542,215","8,585,215","8,616,183","8,643,526","8,676,385","8,710,121","8,746,423","8,780,845","8,805,753","8,812,164"
.15 to 44 years,"4,870,974","4,866,893","4,831,631","4,791,148","4,753,131","4,713,180","4,674,712","4,633,447","4,593,727","4,553,088","4,509,371","4,476,588","4,471,006"
.,,,,,,,,,,,,,
.Median age (years),36.2,36.3,36.6,36.8,37.1,37.3,37.5,37.7,38.0,38.3,38.6,38.8,38.8
MALE,"5,512,372","5,518,118","5,533,713","5,548,504","5,566,253","5,577,840","5,586,617","5,598,146","5,609,503","5,618,797","5,626,878","5,632,156","5,632,832"
.Under 5 years,"385,236","384,377","382,768","380,687","378,981","378,438","375,691","371,857","372,508","371,408","368,807","367,479","366,546"
.5 to 9 years,"417,032","414,646","408,164","399,857","394,066","389,681","386,691","385,716","385,242","384,404","384,423","382,641","382,106"
.10 to 14 years,"424,927","426,192","429,041","431,608","430,951","427,710","420,141","414,132","406,706","401,647","397,987","396,152","395,328"
.15 to 19 years,"416,071","417,721","417,110","415,939","418,017","421,022","425,070","428,083","430,615","430,141","426,379","420,975","418,350"
.20 to 24 years,"363,654","366,368","377,389","386,353","391,023","388,755","385,851","383,674","379,703","379,934","382,000","384,202","384,963"
.25 to 29 years,"366,457","363,075","348,980","344,326","347,089","353,336","360,587","366,770","370,148","368,060","362,781","357,837","359,101"
.30 to 34 years,"390,694","389,687","388,719","384,956","377,207","365,393","352,679","339,073","332,864","334,152","339,422","344,087","346,190"
.35 to 39 years,"435,891","433,759","421,588","409,061","398,168","389,504","385,881","386,801","383,924","376,391","365,329","356,420","353,543"
