Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1904",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"82,166,000 ","42,089,000 ","40,077,000 ","72,520,000 ","37,249,000 ","35,271,000 ","9,646,000 ","4,840,000 ","4,806,000 "
,,,,,,,,,
0,"1,969,000 ","998,000 ","971,000 ","1,715,000 ","871,000 ","844,000 ","254,000 ","127,000 ","127,000 "
1,"1,971,000 ","996,000 ","975,000 ","1,713,000 ","868,000 ","845,000 ","258,000 ","128,000 ","130,000 "
2,"1,965,000 ","992,000 ","973,000 ","1,705,000 ","863,000 ","842,000 ","260,000 ","129,000 ","131,000 "
3,"1,953,000 ","985,000 ","968,000 ","1,691,000 ","855,000 ","836,000 ","262,000 ","130,000 ","132,000 "
4,"1,933,000 ","974,000 ","959,000 ","1,672,000 ","845,000 ","827,000 ","261,000 ","129,000 ","132,000 "
5,"1,909,000 ","962,000 ","947,000 ","1,649,000 ","833,000 ","816,000 ","260,000 ","129,000 ","131,000 "
6,"1,880,000 ","948,000 ","932,000 ","1,623,000 ","820,000 ","803,000 ","257,000 ","128,000 ","129,000 "
7,"1,849,000 ","933,000 ","916,000 ","1,596,000 ","807,000 ","789,000 ","253,000 ","126,000 ","127,000 "
8,"1,817,000 ","917,000 ","900,000 ","1,568,000 ","793,000 ","775,000 ","249,000 ","124,000 ","125,000 "
9,"1,782,000 ","900,000 ","882,000 ","1,538,000 ","778,000 ","760,000 ","244,000 ","122,000 ","122,000 "
10,"1,748,000 ","884,000 ","864,000 ","1,509,000 ","764,000 ","745,000 ","239,000 ","120,000 ","119,000 "
11,"1,712,000 ","867,000 ","845,000 ","1,478,000 ","749,000 ","729,000 ","234,000 ","118,000 ","116,000 "
