RESIDENT POPULATION OF STATES (by single year to 85+ and sex):
July 1, 1982 estimates
Source: Population Distribution Branch and Population Estimates Branch
         U.S. Bureau of the Census
Release date:  June 4, 1996 

The July 1982 intercensal estimates in this file are consistent
with and described in Current Population Reports, Series P25-1106.

--------------------------------------------------------------------------------
File Layout

Field
Location         Length        Field

1-2              2             FIPS Code state
3-6              4             Blank
7-8              2             State postal abbreviation
9-10             3             Blank
11-12            2             Age  (85 = 85+)
13-24            12            4/1/80 census both sexes population
25-36            12            4/1/80 census male population
37-48            12            4/1/80 census female population
------------------------------------------------------------------------


FIPS             7/1/82      7/1/82      7/1/82
Code    Age  Both sexes        Male      Female

04    AZ 10       43948       22384       21564
04    AZ 11       47103       24027       23076
04    AZ 12       45660       23223       22437
04    AZ 13       44376       22550       21826
04    AZ 14       43627       22219       21408
04    AZ 15       44472       22604       21868
04    AZ 16       45139       23012       22127
04    AZ 17       48848       24901       23947
04    AZ 18       50627       25935       24692
04    AZ 19       53588       27310       26278
04    AZ 20       54535       27793       26742
04    AZ 21       55529       28292       27237
04    AZ 22       55146       27916       27230
04    AZ 23       55561       28229       27332
04    AZ 24       56924       29030       27894
04    AZ 25       56691       28823       27868
04    AZ 26       54030       27320       26710
04    AZ 27       53732       27235       26497
04    AZ 28       49921       25114       24807
04    AZ 29       51928       26401       25527
04    AZ 30       49391       25123       24268
04    AZ 31       47134       23803       23331
04    AZ 32       45850       23225       22625
04    AZ 33       44863       22468       22395
04    AZ 34       45357       22771       22586
04    AZ 35       47339       23519       23820
04    AZ 36       34129       16939       17190
04    AZ 37       34942       17148       17794
04    AZ 38       34235       16795       17440
04    AZ 39       37574       18710       18864
04    AZ 40       33259       16501       16758
04    AZ 41       30380       14984       15396
04    AZ 42       29192       14533       14659
04    AZ 43       28891       14251       14640
04    AZ 44       28706       14282       14424
04    AZ 45       26921       13279       13642
04    AZ 46       26902       13186       13716
04    AZ 47       27004       13271       13733
04    AZ 48       24452       12078       12374
04    AZ 49       25505       12550       12955
04    AZ 50       26118       12668       13450
04    AZ 51       26137       12597       13540
04    AZ 52       26365       12591       13774
04    AZ 53       26082       12415       13667
04    AZ 54       26543       12479       14064
04    AZ 55       25847       11951       13896
04    AZ 56       25562       11931       13631
04    AZ 57       27422       12669       14753
04    AZ 58       26729       12399       14330
04    AZ 59       26860       12374       14486
04    AZ 60       28101       12950       15151
04    AZ 61       27491       12771       14720
04    AZ 62       25457       11823       13634
04    AZ 63       25573       12008       13565
04    AZ 64       26853       12446       14407
04    AZ 65       26191       12169       14022
04    AZ 66       25314       11838       13476
04    AZ 67       24919       11510       13409
04    AZ 68       23583       10830       12753
04    AZ 69       23566       10599       12967
04    AZ 70       21644        9919       11725
04    AZ 71       20756        9410       11346
04    AZ 72       19589        8957       10632
04    AZ 73       18221        8218       10003
04    AZ 74       16814        7454        9360
04    AZ 75       15485        6994        8491
04    AZ 76       14281        6297        7984
04    AZ 77       12644        5412        7232
04    AZ 78       11547        4826        6721
04    AZ 79        9955        4244        5711
04    AZ 80        8819        3601        5218
04    AZ 81        7525        2922        4603
04    AZ 82        6666        2636        4030
04    AZ 83        6073        2330        3743
04    AZ 84        5186        2005        3181
04    AZ 85       23082        7974       15108
05    AR  0       35239       18084       17155
05    AR  1       34723       17727       16996
05    AR  2       35496       18174       17322
05    AR  3       34878       17915       16963
05    AR  4       34529       17768       16761
05    AR  5       34586       17729       16857
