table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for South Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"754,858","755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067","814,180","816,463"
.Under 5 years,"51,069","51,041","50,900","50,862","51,509","52,485","53,387","54,768","56,508","57,745","58,715","59,621","59,720"
.5 to 9 years,"54,489","54,225","53,603","52,654","51,935","51,800","52,076","52,108","52,823","53,643","54,617","55,531","55,716"
.10 to 14 years,"59,461","59,650","58,678","58,102","57,401","56,536","55,274","55,042","54,311","53,906","53,671","53,960","54,085"
.15 to 19 years,"62,454","62,688","63,411","62,457","61,819","61,308","60,530","59,679","59,384","58,793","58,222","57,628","57,503"
.20 to 24 years,"52,796","53,086","53,919","55,832","57,788","59,448","59,874","60,163","58,265","57,993","57,770","57,596","57,911"
.25 to 29 years,"45,078","44,720","43,620","43,722","44,229","45,508","46,870","48,360","51,241","52,928","54,865","55,570","55,960"
.30 to 34 years,"45,932","45,942","45,913","45,762","45,258","44,962","44,934","44,553","45,683","46,577","48,333","49,859","50,328"
.35 to 39 years,"56,580","56,335","54,056","51,395","48,760","47,051","46,123","46,224","46,267","46,126","45,809","45,766","45,437"
.40 to 44 years,"58,789","58,895","58,865","58,673","58,361","57,729","56,126","54,147","51,703","49,405","47,958","47,346","47,312"
.45 to 49 years,"53,861","54,167","55,681","56,584","57,420","57,842","58,452","58,850","59,052","58,902","58,448","57,519","57,306"
.50 to 54 years,"43,819","44,223","47,215","48,703","50,514","52,525","54,224","55,979","57,247","58,380","58,704","59,399","59,554"
.55 to 59 years,"33,610","33,817","34,877","37,435","39,277","41,702","44,605","47,605","49,557","51,239","53,037","54,231","54,577"
.60 to 64 years,"28,754","28,859","29,109","29,828","31,227","32,746","33,814","34,962","37,533","39,612","41,575","43,573","43,984"
.65 to 69 years,"27,142","26,993","26,748","26,469","26,552","26,952","27,276","27,917","28,801","30,156","31,300","31,944","32,171"
.70 to 74 years,"26,014","25,942","25,792","25,520","25,127","24,750","24,488","24,503","24,638","24,886","25,346","25,683","25,826"
.75 to 79 years,"22,523","22,548","22,456","22,448","22,478","22,330","22,359","22,507","22,431","22,147","21,769","21,724","21,696"
.80 to 84 years,"16,400","16,520","16,866","17,098","17,237","17,597","17,629","17,810","17,945","18,175","17,997","18,004","18,021"
.85 years and over,"16,087","16,193","16,263","16,476","16,837","17,125","17,452","17,856","18,234","18,511","18,931","19,226","19,356"
.,,,,,,,,,,,,,
.Under 18 years,"202,644","202,681","200,795","198,694","197,326","196,804","196,476","197,332","198,847","199,848","201,204","202,797","203,160"
.Under 5 years,"51,069","51,041","50,900","50,862","51,509","52,485","53,387","54,768","56,508","57,745","58,715","59,621","59,720"
.5 to 13 years,"101,545","101,495","100,230","98,961","97,524","96,554","96,013","95,710","96,037","96,470","97,681","98,675","99,010"
.14 to 17 years,"50,030","50,145","49,665","48,871","48,293","47,765","47,076","46,854","46,302","45,633","44,808","44,501","44,430"
.18 to 64 years,"444,048","444,967","449,052","453,315","458,172","464,838","469,813","475,108","480,727","485,401","490,520","494,802","496,233"
.18 to 24 years,"77,625","78,009","79,716","81,213","83,126","84,773","84,665","84,428","82,444","82,232","81,791","81,539","81,775"
.25 to 44 years,"206,379","205,892","202,454","199,552","196,608","195,250","194,053","193,284","194,894","195,036","196,965","198,541","199,037"
.45 to 64 years,"160,044","161,066","166,882","172,550","178,438","184,815","191,095","197,396","203,389","208,133","211,764","214,722","215,421"
.65 years and over,"108,166","108,196","108,125","108,011","108,231","108,754","109,204","110,593","112,049","113,875","115,343","116,581","117,070"
.,,,,,,,,,,,,,
.16 years and over,"577,404","578,371","582,373","586,281","590,999","597,685","602,854","609,561","616,422","622,603","628,829","634,183","636,033"
.18 years and over,"552,214","553,163","557,177","561,326","566,403","573,592","579,017","585,701","592,776","599,276","605,863","611,383","613,303"
.15 to 44 years,"321,629","321,666","319,784","317,841","316,215","316,006","314,457","313,126","312,543","311,822","312,957","313,765","314,451"
.,,,,,,,,,,,,,
.Median age (years),35.6,35.6,35.9,36.2,36.3,36.5,36.6,36.8,36.9,37.0,37.0,36.9,36.9
MALE,"374,565","375,163","376,435","377,692","380,096","383,719","386,472","390,613","394,973","398,888","403,869","407,381","408,600"
.Under 5 years,"26,143","26,127","26,035","25,961","26,262","26,703","27,166","27,935","28,914","29,565","30,090","30,535","30,584"
.5 to 9 years,"28,021","27,892","27,460","27,023","26,717","26,654","26,845","26,892","27,181","27,572","28,165","28,544","28,639"
.10 to 14 years,"30,494","30,583","30,010","29,745","29,412","29,000","28,335","28,140","27,821","27,531","27,447","27,678","27,737"
.15 to 19 years,"32,174","32,329","32,782","32,209","31,858","31,671","31,114","30,635","30,516","30,205","29,994","29,682","29,613"
