Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1923",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"111,947,000 ","56,861,000 ","55,086,000 ","100,510,000 ","51,131,000 ","49,379,000 ","11,437,000 ","5,730,000 ","5,707,000 "
,,,,,,,,,
0,"2,433,000 ","1,242,000 ","1,191,000 ","2,183,000 ","1,115,000 ","1,068,000 ","250,000 ","127,000 ","123,000 "
1,"2,430,000 ","1,237,000 ","1,193,000 ","2,178,000 ","1,110,000 ","1,068,000 ","252,000 ","127,000 ","125,000 "
2,"2,426,000 ","1,232,000 ","1,194,000 ","2,170,000 ","1,104,000 ","1,066,000 ","256,000 ","128,000 ","128,000 "
3,"2,420,000 ","1,226,000 ","1,194,000 ","2,161,000 ","1,097,000 ","1,064,000 ","259,000 ","129,000 ","130,000 "
4,"2,410,000 ","1,219,000 ","1,191,000 ","2,150,000 ","1,090,000 ","1,060,000 ","260,000 ","129,000 ","131,000 "
5,"2,401,000 ","1,213,000 ","1,188,000 ","2,138,000 ","1,083,000 ","1,055,000 ","263,000 ","130,000 ","133,000 "
6,"2,387,000 ","1,205,000 ","1,182,000 ","2,123,000 ","1,074,000 ","1,049,000 ","264,000 ","131,000 ","133,000 "
7,"2,372,000 ","1,196,000 ","1,176,000 ","2,107,000 ","1,065,000 ","1,042,000 ","265,000 ","131,000 ","134,000 "
8,"2,352,000 ","1,185,000 ","1,167,000 ","2,087,000 ","1,054,000 ","1,033,000 ","265,000 ","131,000 ","134,000 "
9,"2,332,000 ","1,174,000 ","1,158,000 ","2,067,000 ","1,043,000 ","1,024,000 ","265,000 ","131,000 ","134,000 "
10,"2,309,000 ","1,162,000 ","1,147,000 ","2,044,000 ","1,031,000 ","1,013,000 ","265,000 ","131,000 ","134,000 "
