Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1932",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"124,840,471 ","63,070,137 ","61,770,334 ","112,154,442 ","56,775,715 ","55,378,727 ","12,686,029 ","6,294,422 ","6,391,607 "
,,,,,,,,,
0,"2,040,919 ","1,035,926 ","1,004,993 ","1,807,639 ","920,290 ","887,349 ","233,280 ","115,636 ","117,644 "
1,"2,101,784 ","1,064,807 ","1,036,977 ","1,871,410 ","950,885 ","920,525 ","230,374 ","113,922 ","116,452 "
2,"2,208,897 ","1,114,949 ","1,093,948 ","1,956,804 ","990,267 ","966,537 ","252,093 ","124,682 ","127,411 "
3,"2,250,398 ","1,139,961 ","1,110,437 ","1,988,815 ","1,010,170 ","978,645 ","261,583 ","129,791 ","131,792 "
4,"2,301,105 ","1,179,068 ","1,122,037 ","2,026,343 ","1,042,274 ","984,069 ","274,762 ","136,794 ","137,968 "
5,"2,435,190 ","1,243,730 ","1,191,460 ","2,137,077 ","1,094,275 ","1,042,802 ","298,113 ","149,455 ","148,658 "
6,"2,436,210 ","1,242,711 ","1,193,499 ","2,144,426 ","1,095,684 ","1,048,742 ","291,784 ","147,027 ","144,757 "
7,"2,472,188 ","1,255,692 ","1,216,496 ","2,184,830 ","1,112,218 ","1,072,612 ","287,358 ","143,474 ","143,884 "
8,"2,497,622 ","1,262,298 ","1,235,324 ","2,206,213 ","1,118,208 ","1,088,005 ","291,409 ","144,090 ","147,319 "
9,"2,477,759 ","1,250,378 ","1,227,381 ","2,191,674 ","1,109,169 ","1,082,505 ","286,085 ","141,209 ","144,876 "
10,"2,544,521 ","1,281,712 ","1,262,809 ","2,255,171 ","1,138,853 ","1,116,318 ","289,350 ","142,859 ","146,491 "
