table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Maine: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,274,779","1,277,072","1,285,692","1,295,960","1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590","1,328,361","1,327,567"
.Under 5 years,"70,724","70,669","70,419","70,262","70,618","70,803","71,027","70,823","71,266","71,207","70,190","69,520","69,284"
.5 to 9 years,"83,010","82,669","80,706","78,792","77,369","76,805","75,891","75,533","75,146","74,959","74,425","74,116","74,000"
.10 to 14 years,"92,240","92,584","92,720","92,614","91,740","90,119","87,574","85,366","83,154","80,956","79,945","79,013","78,889"
.15 to 19 years,"89,480","89,792","91,743","92,860","93,919","94,105","94,391","94,177","93,175","92,327","90,489","88,310","87,793"
.20 to 24 years,"69,653","70,134","71,677","74,110","76,668","78,022","79,811","80,392","79,870","80,001","79,971","79,646","79,784"
.25 to 29 years,"71,946","71,206","68,097","67,460","67,885","68,695","69,581","70,538","72,013","72,758","72,433","72,681","72,879"
.30 to 34 years,"85,646","85,547","84,770","83,530","81,736","79,460","76,121","73,229","71,615","71,184","71,749","71,943","72,462"
.35 to 39 years,"104,143","103,733","100,860","98,264","95,564","92,448","90,665","89,742","88,026","85,698","83,017","79,905","79,216"
.40 to 44 years,"108,821","109,076","110,384","110,375","109,810","109,033","107,191","104,183","100,747","97,312","93,350","91,471","91,137"
.45 to 49 years,"101,904","102,527","104,393","106,861","109,113","109,928","110,896","111,597","111,318","110,517","109,186","107,619","106,862"
.50 to 54 years,"90,660","91,541","97,195","97,496","99,290","101,914","103,684","105,294","107,663","109,597","110,188","110,956","110,896"
.55 to 59 years,"68,480","68,919","71,430","78,254","82,428","86,898","91,895","97,310","97,487","98,961","101,200","102,441","102,779"
.60 to 64 years,"54,693","54,962","56,132","58,414","62,133","65,653","68,680","70,988","77,556","81,694","85,777","89,660","90,250"
.65 to 69 years,"50,093","49,998","50,222","50,294","51,181","52,165","52,718","53,867","55,933","59,398","62,777","65,014","65,260"
.70 to 74 years,"46,091","46,067","46,001","46,052","45,468","44,994","45,140","45,480","45,656","46,584","47,252","47,637","47,759"
.75 to 79 years,"38,091","38,198","38,410","38,793","39,119","39,277","39,104","39,453","39,556","39,115","38,661","38,894","38,726"
.80 to 84 years,"25,790","25,998","26,684","27,340","27,935","28,443","29,025","29,343","29,851","30,326","30,565","30,399","30,330"
.85 years and over,"23,314","23,452","23,849","24,189","24,537","24,926","25,393","26,304","27,008","27,915","28,415","29,136","29,261"
.,,,,,,,,,,,,,
.Under 18 years,"301,207","301,407","300,088","298,595","296,786","294,791","292,039","288,945","286,185","282,204","277,946","274,533","273,813"
.Under 5 years,"70,724","70,669","70,419","70,262","70,618","70,803","71,027","70,823","71,266","71,207","70,190","69,520","69,284"
.5 to 13 years,"156,605","156,660","154,804","152,592","150,429","147,679","144,976","142,749","140,768","139,197","138,078","137,017","136,882"
.14 to 17 years,"73,878","74,078","74,865","75,741","75,739","76,309","76,036","75,373","74,151","71,800","69,678","67,996","67,647"
.18 to 64 years,"790,193","791,952","800,438","810,697","821,487","829,092","835,368","840,227","842,851","844,967","843,974","842,748","842,418"
.18 to 24 years,"103,900","104,441","107,177","110,043","113,528","115,063","116,655","117,346","116,426","117,246","117,074","116,072","115,937"
.25 to 44 years,"370,556","369,562","364,111","359,629","354,995","349,636","343,558","337,692","332,401","326,952","320,549","316,000","315,694"
.45 to 64 years,"315,737","317,949","329,150","341,025","352,964","364,393","375,155","385,189","394,024","400,769","406,351","410,676","410,787"
.65 years and over,"183,379","183,713","185,166","186,668","188,240","189,805","191,380","194,447","198,004","203,338","207,670","211,080","211,336"
.,,,,,,,,,,,,,
.16 years and over,"1,010,157","1,012,300","1,023,139","1,035,543","1,047,902","1,057,226","1,064,973","1,073,343","1,079,303","1,085,758","1,088,178","1,089,252","1,088,942"
.18 years and over,"973,572","975,665","985,604","997,365","1,009,727","1,018,897","1,026,748","1,034,674","1,040,855","1,048,305","1,051,644","1,053,828","1,053,754"
.15 to 44 years,"529,689","529,488","527,531","526,599","525,582","521,763","517,760","512,261","505,446","499,280","491,009","483,956","483,271"
.,,,,,,,,,,,,,
.Median age (years),38.6,38.7,39.2,39.5,39.9,40.3,40.7,41.2,41.6,42.0,42.4,42.7,42.8
MALE,"620,239","621,527","626,035","631,734","637,833","641,826","644,683","647,462","649,243","651,096","650,896","650,056","649,787"
.Under 5 years,"36,185","36,154","36,075","36,007","36,275","36,370","36,482","36,489","36,702","36,682","36,157","35,767","35,638"
.5 to 9 years,"42,529","42,357","41,341","40,378","39,639","39,206","38,848","38,581","38,453","38,407","38,180","38,081","38,024"
.10 to 14 years,"47,418","47,591","47,691","47,626","47,140","46,402","44,907","43,919","42,636","41,483","40,834","40,495","40,425"
.15 to 19 years,"45,820","46,044","47,062","47,747","48,431","48,557","48,740","48,663","48,177","47,643","46,814","45,541","45,283"
.20 to 24 years,"34,930","35,145","35,971","37,213","38,890","39,729","40,601","40,904","40,727","40,785","40,800","40,426","40,490"
.25 to 29 years,"35,379","34,988","33,273","33,058","33,218","33,391","33,981","34,710","35,433","36,015","36,000","36,145","36,302"
.30 to 34 years,"41,929","41,893","41,535","41,047","40,485","39,366","37,685","36,051","35,388","35,191","35,485","35,662","35,912"
.35 to 39 years,"50,799","50,619","49,336","47,998","46,650","45,283","44,513","44,134","43,370","42,391","40,947","39,302","38,974"
.40 to 44 years,"53,218","53,350","54,058","54,084","53,698","53,336","52,530","51,274","49,433","47,733","45,853","44,957","44,788"
.45 to 49 years,"50,231","50,552","51,255","52,540","53,583","54,041","54,360","54,730","54,668","54,231","53,603","52,861","52,508"
.50 to 54 years,"45,535","45,991","48,549","48,343","49,009","50,238","50,866","51,458","52,694","53,525","53,856","54,129","54,096"
.55 to 59 years,"33,817","34,045","35,444","39,038","41,184","43,401","45,937","48,359","47,917","48,427","49,429","49,861","50,026"
.60 to 64 years,"26,455","26,597","27,176","28,312","30,207","31,994","33,722","34,940","38,409","40,548","42,426","44,361","44,656"
.65 to 69 years,"23,566","23,538","23,918","24,130","24,503","24,984","25,137","25,726","26,704","28,418","30,196","31,432","31,560"
.70 to 74 years,"20,564","20,583","20,570","20,703","20,598","20,532","20,805","21,174","21,472","21,804","22,126","22,234","22,302"
.75 to 79 years,"15,832","15,895","16,097","16,295","16,486","16,624","16,711","16,890","17,024","17,131","17,037","17,338","17,279"
.80 to 84 years,"9,597","9,692","9,975","10,250","10,677","10,959","11,211","11,441","11,743","11,924","12,124","12,125","12,121"
.85 years and over,"6,435","6,493","6,709","6,965","7,160","7,413","7,647","8,019","8,293","8,758","9,029","9,339","9,403"
.,,,,,,,,,,,,,
.Under 18 years,"154,549","154,657","154,064","153,374","152,458","151,437","149,987","148,501","146,996","144,876","142,787","141,052","140,680"
.Under 5 years,"36,185","36,154","36,075","36,007","36,275","36,370","36,482","36,489","36,702","36,682","36,157","35,767","35,638"
.5 to 13 years,"80,410","80,448","79,429","78,313","77,147","75,634","74,344","73,095","72,099","71,176","70,741","70,306","70,238"
.14 to 17 years,"37,954","38,055","38,560","39,054","39,036","39,433","39,161","38,917","38,195","37,018","35,889","34,979","34,804"
.18 to 64 years,"389,696","390,669","394,702","400,017","405,951","409,877","413,185","415,711","417,011","418,185","417,597","416,536","416,442"
.18 to 24 years,"52,333","52,634","54,076","55,597","57,917","58,827","59,591","60,055","59,699","60,124","59,998","59,258","59,180"
.25 to 44 years,"181,325","180,850","178,202","176,187","174,051","171,376","168,709","166,169","163,624","161,330","158,285","156,066","155,976"
.45 to 64 years,"156,038","157,185","162,424","168,233","173,983","179,674","184,885","189,487","193,688","196,731","199,314","201,212","201,286"
.65 years and over,"75,994","76,201","77,269","78,343","79,424","80,512","81,511","83,250","85,236","88,035","90,512","92,468","92,665"
.,,,,,,,,,,,,,
.16 years and over,"484,454","485,664","491,346","498,056","505,028","510,178","514,445","518,996","522,040","525,514","526,923","527,315","527,301"
.18 years and over,"465,690","466,870","471,971","478,360","485,375","490,389","494,696","498,961","502,247","506,220","508,109","509,004","509,107"
.15 to 44 years,"262,075","262,039","261,235","261,147","261,372","259,662","258,050","255,736","252,528","249,758","245,899","242,033","241,749"
.,,,,,,,,,,,,,
.Median age (years),37.6,37.7,38.1,38.5,38.8,39.3,39.6,40.0,40.4,40.8,41.2,41.5,41.6
FEMALE,"654,540","655,545","659,657","664,226","668,680","671,862","674,104","676,157","677,797","679,413","678,694","678,305","677,780"
.Under 5 years,"34,539","34,515","34,344","34,255","34,343","34,433","34,545","34,334","34,564","34,525","34,033","33,753","33,646"
.5 to 9 years,"40,481","40,312","39,365","38,414","37,730","37,599","37,043","36,952","36,693","36,552","36,245","36,035","35,976"
.10 to 14 years,"44,822","44,993","45,029","44,988","44,600","43,717","42,667","41,447","40,518","39,473","39,111","38,518","38,464"
.15 to 19 years,"43,660","43,748","44,681","45,113","45,488","45,548","45,651","45,514","44,998","44,684","43,675","42,769","42,510"
.20 to 24 years,"34,723","34,989","35,706","36,897","37,778","38,293","39,210","39,488","39,143","39,216","39,171","39,220","39,294"
.25 to 29 years,"36,567","36,218","34,824","34,402","34,667","35,304","35,600","35,828","36,580","36,743","36,433","36,536","36,577"
.30 to 34 years,"43,717","43,654","43,235","42,483","41,251","40,094","38,436","37,178","36,227","35,993","36,264","36,281","36,550"
.35 to 39 years,"53,344","53,114","51,524","50,266","48,914","47,165","46,152","45,608","44,656","43,307","42,070","40,603","40,242"
.40 to 44 years,"55,603","55,726","56,326","56,291","56,112","55,697","54,661","52,909","51,314","49,579","47,497","46,514","46,349"
.45 to 49 years,"51,673","51,975","53,138","54,321","55,530","55,887","56,536","56,867","56,650","56,286","55,583","54,758","54,354"
.50 to 54 years,"45,125","45,550","48,646","49,153","50,281","51,676","52,818","53,836","54,969","56,072","56,332","56,827","56,800"
.55 to 59 years,"34,663","34,874","35,986","39,216","41,244","43,497","45,958","48,951","49,570","50,534","51,771","52,580","52,753"
.60 to 64 years,"28,238","28,365","28,956","30,102","31,926","33,659","34,958","36,048","39,147","41,146","43,351","45,299","45,594"
.65 to 69 years,"26,527","26,460","26,304","26,164","26,678","27,181","27,581","28,141","29,229","30,980","32,581","33,582","33,700"
.70 to 74 years,"25,527","25,484","25,431","25,349","24,870","24,462","24,335","24,306","24,184","24,780","25,126","25,403","25,457"
.75 to 79 years,"22,259","22,303","22,313","22,498","22,633","22,653","22,393","22,563","22,532","21,984","21,624","21,556","21,447"
.80 to 84 years,"16,193","16,306","16,709","17,090","17,258","17,484","17,814","17,902","18,108","18,402","18,441","18,274","18,209"
.85 years and over,"16,879","16,959","17,140","17,224","17,377","17,513","17,746","18,285","18,715","19,157","19,386","19,797","19,858"
