Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1922",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"110,049,000 ","55,886,000 ","54,163,000 ","98,768,000 ","50,228,000 ","48,540,000 ","11,281,000 ","5,658,000 ","5,623,000 "
,,,,,,,,,
0,"2,413,000 ","1,232,000 ","1,181,000 ","2,171,000 ","1,109,000 ","1,062,000 ","242,000 ","123,000 ","119,000 "
1,"2,413,000 ","1,228,000 ","1,185,000 ","2,165,000 ","1,103,000 ","1,062,000 ","248,000 ","125,000 ","123,000 "
2,"2,408,000 ","1,222,000 ","1,186,000 ","2,156,000 ","1,096,000 ","1,060,000 ","252,000 ","126,000 ","126,000 "
3,"2,403,000 ","1,217,000 ","1,186,000 ","2,146,000 ","1,089,000 ","1,057,000 ","257,000 ","128,000 ","129,000 "
4,"2,394,000 ","1,210,000 ","1,184,000 ","2,134,000 ","1,081,000 ","1,053,000 ","260,000 ","129,000 ","131,000 "
5,"2,382,000 ","1,203,000 ","1,179,000 ","2,120,000 ","1,073,000 ","1,047,000 ","262,000 ","130,000 ","132,000 "
6,"2,366,000 ","1,194,000 ","1,172,000 ","2,102,000 ","1,063,000 ","1,039,000 ","264,000 ","131,000 ","133,000 "
7,"2,349,000 ","1,184,000 ","1,165,000 ","2,084,000 ","1,053,000 ","1,031,000 ","265,000 ","131,000 ","134,000 "
8,"2,328,000 ","1,173,000 ","1,155,000 ","2,062,000 ","1,041,000 ","1,021,000 ","266,000 ","132,000 ","134,000 "
9,"2,303,000 ","1,160,000 ","1,143,000 ","2,039,000 ","1,029,000 ","1,010,000 ","264,000 ","131,000 ","133,000 "
10,"2,278,000 ","1,147,000 ","1,131,000 ","2,014,000 ","1,016,000 ","998,000 ","264,000 ","131,000 ","133,000 "
