Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1919",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"104,514,000 ","53,103,000 ","51,411,000 ","93,684,000 ","47,672,000 ","46,012,000 ","10,830,000 ","5,431,000 ","5,399,000 "
,,,,,,,,,
0,"2,299,000 ","1,169,000 ","1,130,000 ","2,074,000 ","1,057,000 ","1,017,000 ","225,000 ","112,000 ","113,000 "
1,"2,308,000 ","1,170,000 ","1,138,000 ","2,074,000 ","1,054,000 ","1,020,000 ","234,000 ","116,000 ","118,000 "
2,"2,312,000 ","1,169,000 ","1,143,000 ","2,070,000 ","1,049,000 ","1,021,000 ","242,000 ","120,000 ","122,000 "
3,"2,312,000 ","1,168,000 ","1,144,000 ","2,063,000 ","1,044,000 ","1,019,000 ","249,000 ","124,000 ","125,000 "
4,"2,305,000 ","1,163,000 ","1,142,000 ","2,051,000 ","1,037,000 ","1,014,000 ","254,000 ","126,000 ","128,000 "
5,"2,297,000 ","1,159,000 ","1,138,000 ","2,038,000 ","1,030,000 ","1,008,000 ","259,000 ","129,000 ","130,000 "
6,"2,282,000 ","1,151,000 ","1,131,000 ","2,021,000 ","1,021,000 ","1,000,000 ","261,000 ","130,000 ","131,000 "
7,"2,263,000 ","1,142,000 ","1,121,000 ","2,000,000 ","1,011,000 ","989,000 ","263,000 ","131,000 ","132,000 "
8,"2,242,000 ","1,132,000 ","1,110,000 ","1,978,000 ","1,000,000 ","978,000 ","264,000 ","132,000 ","132,000 "
9,"2,214,000 ","1,118,000 ","1,096,000 ","1,952,000 ","987,000 ","965,000 ","262,000 ","131,000 ","131,000 "
10,"2,186,000 ","1,105,000 ","1,081,000 ","1,925,000 ","974,000 ","951,000 ","261,000 ","131,000 ","130,000 "
