Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1961",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"183,691,481 ","90,739,919 ","92,951,562 ","162,533,035 ","80,441,245 ","82,091,790 ","19,437,319 ","9,400,167 ","10,037,152 ","1,721,127 ","898,507 ","822,620 "
,,,,,,,,,,,,
0,"4,172,988 ","2,120,745 ","2,052,243 ","3,547,432 ","1,809,250 ","1,738,182 ","571,448 ","284,425 ","287,023 ","54,108 ","27,070 ","27,038 "
1,"4,084,896 ","2,076,112 ","2,008,784 ","3,484,227 ","1,776,586 ","1,707,641 ","552,029 ","274,800 ","277,229 ","48,640 ","24,726 ","23,914 "
2,"4,057,693 ","2,060,740 ","1,996,953 ","3,460,464 ","1,762,206 ","1,698,258 ","551,047 ","275,090 ","275,957 ","46,182 ","23,444 ","22,738 "
3,"4,080,156 ","2,072,791 ","2,007,365 ","3,494,499 ","1,779,975 ","1,714,524 ","539,983 ","269,648 ","270,335 ","45,674 ","23,168 ","22,506 "
4,"4,126,537 ","2,101,704 ","2,024,833 ","3,530,371 ","1,802,721 ","1,727,650 ","550,041 ","275,498 ","274,543 ","46,125 ","23,485 ","22,640 "
5,"3,998,349 ","2,033,241 ","1,965,108 ","3,415,990 ","1,741,624 ","1,674,366 ","534,355 ","267,244 ","267,111 ","48,004 ","24,373 ","23,631 "
6,"3,925,679 ","1,995,161 ","1,930,518 ","3,362,920 ","1,714,285 ","1,648,635 ","518,491 ","258,434 ","260,057 ","44,268 ","22,442 ","21,826 "
7,"3,890,068 ","1,976,010 ","1,914,058 ","3,339,237 ","1,700,822 ","1,638,415 ","508,296 ","253,584 ","254,712 ","42,535 ","21,604 ","20,931 "
8,"3,726,338 ","1,896,372 ","1,829,966 ","3,218,342 ","1,641,357 ","1,576,985 ","468,811 ","235,008 ","233,803 ","39,185 ","20,007 ","19,178 "
9,"3,655,512 ","1,862,350 ","1,793,162 ","3,158,330 ","1,613,956 ","1,544,374 ","458,865 ","228,943 ","229,922 ","38,317 ","19,451 ","18,866 "
10,"3,614,497 ","1,838,136 ","1,776,361 ","3,109,076 ","1,585,461 ","1,523,615 ","467,248 ","233,340 ","233,908 ","38,173 ","19,335 ","18,838 "
11,"3,476,571 ","1,767,977 ","1,708,594 ","2,999,354 ","1,529,301 ","1,470,053 ","440,380 ","219,995 ","220,385 ","36,837 ","18,681 ","18,156 "
12,"3,495,250 ","1,777,071 ","1,718,179 ","3,026,811 ","1,542,261 ","1,484,550 ","432,444 ","216,493 ","215,951 ","35,995 ","18,317 ","17,678 "
13,"3,434,732 ","1,744,484 ","1,690,248 ","3,003,946 ","1,528,911 ","1,475,035 ","397,864 ","198,796 ","199,068 ","32,922 ","16,777 ","16,145 "
14,"3,814,413 ","1,937,105 ","1,877,308 ","3,383,442 ","1,721,726 ","1,661,716 ","397,393 ","198,233 ","199,160 ","33,578 ","17,146 ","16,432 "
15,"2,734,077 ","1,388,842 ","1,345,235 ","2,390,245 ","1,217,562 ","1,172,683 ","316,742 ","157,576 ","159,166 ","27,090 ","13,704 ","13,386 "
16,"2,721,876 ","1,379,237 ","1,342,639 ","2,378,607 ","1,208,790 ","1,169,817 ","317,173 ","157,098 ","160,075 ","26,096 ","13,349 ","12,747 "
17,"2,781,674 ","1,404,804 ","1,376,870 ","2,438,281 ","1,233,616 ","1,204,665 ","316,926 ","157,490 ","159,436 ","26,467 ","13,698 ","12,769 "
18,"2,975,853 ","1,506,859 ","1,468,994 ","2,645,805 ","1,342,633 ","1,303,172 ","303,942 ","150,667 ","153,275 ","26,106 ","13,559 ","12,547 "
19,"2,545,669 ","1,284,281 ","1,261,388 ","2,242,450 ","1,135,489 ","1,106,961 ","278,543 ","136,087 ","142,456 ","24,676 ","12,705 ","11,971 "
20,"2,452,277 ","1,235,048 ","1,217,229 ","2,146,466 ","1,086,929 ","1,059,537 ","280,481 ","134,727 ","145,754 ","25,330 ","13,392 ","11,938 "
21,"2,315,777 ","1,159,685 ","1,156,092 ","2,030,110 ","1,022,718 ","1,007,392 ","261,387 ","124,485 ","136,902 ","24,280 ","12,482 ","11,798 "
22,"2,276,632 ","1,136,049 ","1,140,583 ","1,998,996 ","1,003,500 ","995,496 ","253,557 ","120,312 ","133,245 ","24,079 ","12,237 ","11,842 "
23,"2,246,879 ","1,120,539 ","1,126,340 ","1,972,732 ","989,927 ","982,805 ","249,524 ","118,280 ","131,244 ","24,623 ","12,332 ","12,291 "
24,"2,191,006 ","1,092,648 ","1,098,358 ","1,924,297 ","965,707 ","958,590 ","242,037 ","114,736 ","127,301 ","24,672 ","12,205 ","12,467 "
25,"2,170,374 ","1,078,971 ","1,091,403 ","1,908,975 ","955,894 ","953,081 ","239,206 ","112,300 ","126,906 ","22,193 ","10,777 ","11,416 "
26,"2,172,236 ","1,077,139 ","1,095,097 ","1,909,849 ","953,926 ","955,923 ","236,048 ","110,752 ","125,296 ","26,339 ","12,461 ","13,878 "
27,"2,121,018 ","1,051,014 ","1,070,004 ","1,862,894 ","930,207 ","932,687 ","234,834 ","109,928 ","124,906 ","23,290 ","10,879 ","12,411 "
28,"2,172,992 ","1,078,024 ","1,094,968 ","1,909,113 ","954,435 ","954,678 ","236,892 ","110,849 ","126,043 ","26,987 ","12,740 ","14,247 "
29,"2,233,120 ","1,108,125 ","1,124,995 ","1,961,810 ","981,009 ","980,801 ","242,948 ","113,615 ","129,333 ","28,362 ","13,501 ","14,861 "
30,"2,292,994 ","1,136,398 ","1,156,596 ","2,015,786 ","1,006,938 ","1,008,848 ","248,474 ","115,774 ","132,700 ","28,734 ","13,686 ","15,048 "
31,"2,313,524 ","1,144,174 ","1,169,350 ","2,041,519 ","1,017,952 ","1,023,567 ","244,294 ","113,171 ","131,123 ","27,711 ","13,051 ","14,660 "
32,"2,361,971 ","1,166,236 ","1,195,735 ","2,088,093 ","1,039,426 ","1,048,667 ","246,260 ","113,833 ","132,427 ","27,618 ","12,977 ","14,641 "
33,"2,404,988 ","1,185,442 ","1,219,546 ","2,129,502 ","1,057,684 ","1,071,818 ","248,106 ","114,869 ","133,237 ","27,380 ","12,889 ","14,491 "
34,"2,448,385 ","1,204,400 ","1,243,985 ","2,170,085 ","1,074,749 ","1,095,336 ","251,257 ","116,775 ","134,482 ","27,043 ","12,876 ","14,167 "
35,"2,475,014 ","1,215,320 ","1,259,694 ","2,198,301 ","1,085,720 ","1,112,581 ","250,536 ","116,908 ","133,628 ","26,177 ","12,692 ","13,485 "
36,"2,499,150 ","1,224,929 ","1,274,221 ","2,223,358 ","1,095,050 ","1,128,308 ","250,349 ","117,299 ","133,050 ","25,443 ","12,580 ","12,863 "
37,"2,523,272 ","1,234,711 ","1,288,561 ","2,248,867 ","1,104,925 ","1,143,942 ","249,707 ","117,312 ","132,395 ","24,698 ","12,474 ","12,224 "
38,"2,531,451 ","1,237,566 ","1,293,885 ","2,260,471 ","1,109,173 ","1,151,298 ","247,167 ","116,153 ","131,014 ","23,813 ","12,240 ","11,573 "
39,"2,511,597 ","1,227,907 ","1,283,690 ","2,246,784 ","1,102,482 ","1,144,302 ","242,140 ","113,660 ","128,480 ","22,673 ","11,765 ","10,908 "
40,"2,468,852 ","1,207,835 ","1,261,017 ","2,211,996 ","1,086,253 ","1,125,743 ","235,535 ","110,476 ","125,059 ","21,321 ","11,106 ","10,215 "
41,"2,419,281 ","1,184,514 ","1,234,767 ","2,170,905 ","1,067,021 ","1,103,884 ","228,439 ","107,070 ","121,369 ","19,937 ","10,423 ","9,514 "
42,"2,364,895 ","1,158,973 ","1,205,922 ","2,125,475 ","1,045,717 ","1,079,758 ","220,908 ","103,533 ","117,375 ","18,512 ","9,723 ","8,789 "
43,"2,316,082 ","1,136,238 ","1,179,844 ","2,084,049 ","1,026,276 ","1,057,773 ","214,719 ","100,783 ","113,936 ","17,314 ","9,179 ","8,135 "
44,"2,282,829 ","1,120,998 ","1,161,831 ","2,054,968 ","1,012,595 ","1,042,373 ","211,274 ","99,453 ","111,821 ","16,587 ","8,950 ","7,637 "
45,"2,262,392 ","1,111,777 ","1,150,615 ","2,036,240 ","1,003,689 ","1,032,551 ","209,888 ","99,113 ","110,775 ","16,264 ","8,975 ","7,289 "
46,"2,242,108 ","1,102,692 ","1,139,416 ","2,017,269 ","994,724 ","1,022,545 ","208,793 ","98,920 ","109,873 ","16,046 ","9,048 ","6,998 "
47,"2,210,739 ","1,088,248 ","1,122,491 ","1,988,309 ","980,962 ","1,007,347 ","206,653 ","98,199 ","108,454 ","15,777 ","9,087 ","6,690 "
48,"2,167,263 ","1,067,714 ","1,099,549 ","1,949,430 ","962,249 ","987,181 ","202,454 ","96,413 ","106,041 ","15,379 ","9,052 ","6,327 "
49,"2,116,663 ","1,043,122 ","1,073,541 ","1,905,764 ","940,715 ","965,049 ","196,030 ","93,477 ","102,553 ","14,869 ","8,930 ","5,939 "
50,"2,065,078 ","1,017,351 ","1,047,727 ","1,862,411 ","918,685 ","943,726 ","188,349 ","89,912 ","98,437 ","14,318 ","8,754 ","5,564 "
51,"2,007,327 ","988,489 ","1,018,838 ","1,813,959 ","894,149 ","919,810 ","179,651 ","85,787 ","93,864 ","13,717 ","8,553 ","5,164 "
52,"1,965,612 ","967,058 ","998,554 ","1,778,853 ","875,720 ","903,133 ","173,406 ","82,886 ","90,520 ","13,353 ","8,452 ","4,901 "
53,"1,936,516 ","951,447 ","985,069 ","1,753,391 ","861,651 ","891,740 ","169,676 ","81,269 ","88,407 ","13,449 ","8,527 ","4,922 "
54,"1,901,801 ","933,074 ","968,727 ","1,721,451 ","844,419 ","877,032 ","166,410 ","79,926 ","86,484 ","13,940 ","8,729 ","5,211 "
55,"1,851,867 ","907,316 ","944,551 ","1,675,211 ","820,296 ","854,915 ","162,126 ","78,096 ","84,030 ","14,530 ","8,924 ","5,606 "
56,"1,802,980 ","882,356 ","920,624 ","1,628,991 ","796,464 ","832,527 ","158,749 ","76,729 ","82,020 ","15,240 ","9,163 ","6,077 "
57,"1,739,316 ","849,533 ","889,783 ","1,571,905 ","766,792 ","805,113 ","151,915 ","73,561 ","78,354 ","15,496 ","9,180 ","6,316 "
58,"1,662,232 ","809,563 ","852,669 ","1,505,627 ","732,191 ","773,436 ","141,719 ","68,587 ","73,132 ","14,886 ","8,785 ","6,101 "
59,"1,590,101 ","770,996 ","819,105 ","1,445,204 ","699,576 ","745,628 ","131,319 ","63,368 ","67,951 ","13,578 ","8,052 ","5,526 "
60,"1,534,453 ","740,050 ","794,403 ","1,398,993 ","673,535 ","725,458 ","123,328 ","59,274 ","64,054 ","12,132 ","7,241 ","4,891 "
61,"1,478,537 ","708,734 ","769,803 ","1,353,336 ","647,534 ","705,802 ","114,667 ","54,855 ","59,812 ","10,534 ","6,345 ","4,189 "
62,"1,428,861 ","680,398 ","748,463 ","1,310,310 ","622,820 ","687,490 ","109,251 ","51,979 ","57,272 ","9,300 ","5,599 ","3,701 "
63,"1,392,847 ","658,889 ","733,958 ","1,276,142 ","602,662 ","673,480 ","108,180 ","51,164 ","57,016 ","8,525 ","5,063 ","3,462 "
64,"1,366,154 ","642,556 ","723,598 ","1,249,360 ","586,741 ","662,619 ","108,774 ","51,147 ","57,627 ","8,020 ","4,668 ","3,352 "
65,"1,339,135 ","627,005 ","712,130 ","1,223,149 ","571,894 ","651,255 ","108,367 ","50,758 ","57,609 ","7,619 ","4,353 ","3,266 "
66,"1,308,975 ","609,650 ","699,325 ","1,194,908 ","555,971 ","638,937 ","106,960 ","49,702 ","57,258 ","7,107 ","3,977 ","3,130 "
67,"1,280,469 ","593,854 ","686,615 ","1,168,952 ","541,546 ","627,406 ","104,946 ","48,693 ","56,253 ","6,571 ","3,615 ","2,956 "
68,"1,242,949 ","574,560 ","668,389 ","1,136,918 ","524,822 ","612,096 ","100,001 ","46,443 ","53,558 ","6,030 ","3,295 ","2,735 "
69,"1,188,701 ","547,863 ","640,838 ","1,090,859 ","501,898 ","588,961 ","92,275 ","42,887 ","49,388 ","5,567 ","3,078 ","2,489 "
70,"1,121,903 ","515,430 ","606,473 ","1,032,830 ","473,508 ","559,322 ","83,805 ","38,922 ","44,883 ","5,268 ","3,000 ","2,268 "
71,"1,054,360 ","482,912 ","571,448 ","973,752 ","444,803 ","528,949 ","75,585 ","35,153 ","40,432 ","5,023 ","2,956 ","2,067 "
