table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Hampshire: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"1,235,807","1,239,882","1,255,517","1,269,089","1,279,840","1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102","1,316,470","1,316,759"
.Under 5 years,"75,690","75,750","75,798","75,543","75,130","74,912","75,290","75,110","74,018","72,953","71,229","69,806","69,668"
.5 to 9 years,"88,541","88,330","86,839","85,608","83,913","82,435","80,500","79,726","78,644","77,980","77,528","77,756","77,736"
.10 to 14 years,"93,270","93,825","95,415","96,202","96,033","94,723","93,144","91,154","89,421","87,644","86,204","84,620","84,573"
.15 to 19 years,"86,693","87,097","89,759","91,581","93,120","94,783","96,322","97,292","97,508","96,792","95,165","93,620","93,185"
.20 to 24 years,"68,766","69,193","71,783","74,951","77,684","79,850","82,251","83,287","83,253","83,475","84,108","84,546","84,766"
.25 to 29 years,"71,359","70,774","68,285","66,599","66,173","66,250","66,812","68,526","70,349","71,946","72,243","73,121","73,380"
.30 to 34 years,"88,711","88,821","88,671","87,746","86,104","82,956","79,816","76,085","73,224","71,745","71,342","71,351","71,902"
.35 to 39 years,"109,656","109,381","106,753","103,995","100,632","97,592","95,154","94,211","92,159","89,380","85,510","82,152","81,512"
.40 to 44 years,"111,529","111,991","114,827","115,360","115,421","114,665","113,251","110,024","106,779","102,737","99,321","97,026","96,825"
.45 to 49 years,"98,121","98,907","101,818","105,151","107,814","110,747","112,831","115,461","115,601","115,521","114,674","113,564","112,878"
.50 to 54 years,"85,864","86,900","91,955","91,852","93,447","95,540","98,508","101,584","104,807","107,792","110,718","112,397","112,435"
.55 to 59 years,"62,664","63,210","65,586","72,578","76,672","81,205","85,604","90,462","90,357","92,063","94,137","96,289","96,685"
.60 to 64 years,"46,990","47,322","48,752","51,296","55,356","58,594","61,310","63,594","70,341","74,520","78,654","81,954","82,589"
.65 to 69 years,"41,140","41,145","41,384","41,581","42,313","43,769","44,386","46,091","48,734","52,450","55,266","57,176","57,442"
.70 to 74 years,"37,179","37,214","37,013","36,826","36,503","36,762","36,706","37,559","37,772","38,434","39,136","39,586","39,714"
.75 to 79 years,"30,593","30,706","30,622","30,930","31,107","31,662","31,660","31,842","31,947","31,890","31,673","31,774","31,654"
.80 to 84 years,"20,816","20,989","21,570","22,238","22,863","23,235","23,750","24,039","24,456","24,806","25,025","24,971","24,931"
.85 years and over,"18,225","18,327","18,687","19,052","19,555","20,441","21,197","22,342","23,170","23,778","24,169","24,761","24,884"
.,,,,,,,,,,,,,
.Under 18 years,"309,591","310,352","311,877","312,743","311,412","309,243","307,403","305,169","300,918","296,029","290,850","287,234","286,836"
.Under 5 years,"75,690","75,750","75,798","75,543","75,130","74,912","75,290","75,110","74,018","72,953","71,229","69,806","69,668"
.5 to 13 years,"163,329","163,672","163,764","162,744","160,566","157,267","153,959","151,847","149,503","147,528","145,737","144,729","144,763"
.14 to 17 years,"70,572","70,930","72,315","74,456","75,716","77,064","78,154","78,212","77,397","75,548","73,884","72,699","72,405"
.18 to 64 years,"778,263","781,149","794,364","805,719","816,087","825,009","833,390","841,347","845,543","848,519","849,983","850,968","851,298"
.18 to 24 years,"103,369","103,843","107,717","111,142","114,468","117,460","120,104","121,400","121,926","122,815","123,384","123,114","123,092"
.25 to 44 years,"381,255","380,967","378,536","373,700","368,330","361,463","355,033","348,846","342,511","335,808","328,416","323,650","323,619"
