Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1963",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"189,241,798 ","93,302,933 ","95,938,865 ","167,104,323 ","82,552,723 ","84,551,600 ","20,255,067 ","9,779,461 ","10,475,606 ","1,882,408 ","970,749 ","911,659 "
,,,,,,,,,,,,
0,"4,012,510 ","2,041,991 ","1,970,519 ","3,402,929 ","1,736,935 ","1,665,994 ","554,774 ","277,570 ","277,204 ","54,807 ","27,486 ","27,321 "
1,"4,071,602 ","2,070,958 ","2,000,644 ","3,463,319 ","1,766,430 ","1,696,889 ","556,046 ","277,850 ","278,196 ","52,237 ","26,678 ","25,559 "
2,"4,105,855 ","2,088,512 ","2,017,343 ","3,497,467 ","1,784,587 ","1,712,880 ","557,518 ","278,118 ","279,400 ","50,870 ","25,807 ","25,063 "
3,"4,040,638 ","2,052,519 ","1,988,119 ","3,448,042 ","1,757,520 ","1,690,522 ","544,328 ","270,800 ","273,528 ","48,268 ","24,199 ","24,069 "
4,"4,110,926 ","2,089,397 ","2,021,529 ","3,507,061 ","1,787,217 ","1,719,844 ","557,194 ","278,631 ","278,563 ","46,671 ","23,549 ","23,122 "
5,"4,137,064 ","2,105,237 ","2,031,827 ","3,537,301 ","1,804,263 ","1,733,038 ","549,381 ","275,464 ","273,917 ","50,382 ","25,510 ","24,872 "
6,"4,114,451 ","2,091,034 ","2,023,417 ","3,514,143 ","1,790,873 ","1,723,270 ","550,217 ","274,870 ","275,347 ","50,091 ","25,291 ","24,800 "
7,"4,004,689 ","2,035,209 ","1,969,480 ","3,418,417 ","1,741,792 ","1,676,625 ","537,731 ","268,862 ","268,869 ","48,541 ","24,555 ","23,986 "
8,"3,892,608 ","1,982,145 ","1,910,463 ","3,342,048 ","1,706,066 ","1,635,982 ","506,974 ","253,941 ","253,033 ","43,586 ","22,138 ","21,448 "
9,"3,847,088 ","1,958,005 ","1,889,083 ","3,309,606 ","1,688,851 ","1,620,755 ","495,577 ","247,948 ","247,629 ","41,905 ","21,206 ","20,699 "
10,"3,825,073 ","1,947,671 ","1,877,402 ","3,295,194 ","1,682,113 ","1,613,081 ","489,168 ","244,961 ","244,207 ","40,711 ","20,597 ","20,114 "
11,"3,695,383 ","1,881,245 ","1,814,138 ","3,193,725 ","1,631,348 ","1,562,377 ","463,026 ","230,488 ","232,538 ","38,632 ","19,409 ","19,223 "
12,"3,617,270 ","1,839,304 ","1,777,966 ","3,111,849 ","1,586,893 ","1,524,956 ","466,942 ","232,996 ","233,946 ","38,479 ","19,415 ","19,064 "
13,"3,444,174 ","1,749,139 ","1,695,035 ","2,974,313 ","1,514,678 ","1,459,635 ","433,684 ","216,164 ","217,520 ","36,177 ","18,297 ","17,880 "
14,"3,545,889 ","1,799,610 ","1,746,279 ","3,077,038 ","1,564,834 ","1,512,204 ","431,221 ","215,645 ","215,576 ","37,630 ","19,131 ","18,499 "
15,"3,501,539 ","1,781,807 ","1,719,732 ","3,066,168 ","1,563,285 ","1,502,883 ","400,503 ","200,797 ","199,706 ","34,868 ","17,725 ","17,143 "
16,"3,724,202 ","1,893,178 ","1,831,024 ","3,308,272 ","1,685,734 ","1,622,538 ","383,585 ","191,075 ","192,510 ","32,345 ","16,369 ","15,976 "
17,"2,728,595 ","1,381,970 ","1,346,625 ","2,383,566 ","1,210,701 ","1,172,865 ","316,388 ","156,760 ","159,628 ","28,641 ","14,509 ","14,132 "
18,"2,785,555 ","1,408,979 ","1,376,576 ","2,445,113 ","1,240,452 ","1,204,661 ","312,216 ","154,005 ","158,211 ","28,226 ","14,522 ","13,704 "
19,"2,769,149 ","1,394,933 ","1,374,216 ","2,443,661 ","1,234,856 ","1,208,805 ","297,144 ","145,479 ","151,665 ","28,344 ","14,598 ","13,746 "
20,"2,993,742 ","1,510,299 ","1,483,443 ","2,653,580 ","1,344,052 ","1,309,528 ","310,303 ","150,415 ","159,888 ","29,859 ","15,832 ","14,027 "
21,"2,622,269 ","1,319,719 ","1,302,550 ","2,301,992 ","1,164,232 ","1,137,760 ","291,034 ","140,157 ","150,877 ","29,243 ","15,330 ","13,913 "
22,"2,465,430 ","1,234,779 ","1,230,651 ","2,156,525 ","1,086,459 ","1,070,066 ","279,975 ","133,470 ","146,505 ","28,930 ","14,850 ","14,080 "
23,"2,321,819 ","1,155,399 ","1,166,420 ","2,033,918 ","1,018,375 ","1,015,543 ","259,684 ","123,177 ","136,507 ","28,217 ","13,847 ","14,370 "
24,"2,310,253 ","1,147,072 ","1,163,181 ","2,028,236 ","1,013,421 ","1,014,815 ","253,649 ","120,027 ","133,622 ","28,368 ","13,624 ","14,744 "
25,"2,272,391 ","1,127,211 ","1,145,180 ","1,996,389 ","997,535 ","998,854 ","250,523 ","117,521 ","133,002 ","25,479 ","12,155 ","13,324 "
26,"2,195,043 ","1,088,288 ","1,106,755 ","1,930,735 ","964,492 ","966,243 ","240,195 ","112,465 ","127,730 ","24,113 ","11,331 ","12,782 "
27,"2,184,246 ","1,082,309 ","1,101,937 ","1,919,925 ","958,831 ","961,094 ","240,709 ","112,462 ","128,247 ","23,612 ","11,016 ","12,596 "
28,"2,190,051 ","1,084,743 ","1,105,308 ","1,926,415 ","961,766 ","964,649 ","235,080 ","109,586 ","125,494 ","28,556 ","13,391 ","15,165 "
29,"2,132,221 ","1,058,056 ","1,074,165 ","1,871,386 ","936,207 ","935,179 ","234,896 ","109,631 ","125,265 ","25,939 ","12,218 ","13,721 "
30,"2,222,398 ","1,105,180 ","1,117,218 ","1,943,839 ","974,661 ","969,178 ","247,430 ","115,545 ","131,885 ","31,129 ","14,974 ","16,155 "
31,"2,241,035 ","1,114,209 ","1,126,826 ","1,967,451 ","986,344 ","981,107 ","242,420 ","112,839 ","129,581 ","31,164 ","15,026 ","16,138 "
32,"2,285,911 ","1,133,943 ","1,151,968 ","2,009,886 ","1,005,323 ","1,004,563 ","245,208 ","113,822 ","131,386 ","30,817 ","14,798 ","16,019 "
33,"2,312,604 ","1,143,824 ","1,168,780 ","2,037,903 ","1,016,124 ","1,021,779 ","244,514 ","113,369 ","131,145 ","30,187 ","14,331 ","15,856 "
34,"2,374,082 ","1,171,310 ","1,202,772 ","2,092,802 ","1,040,377 ","1,052,425 ","251,175 ","116,703 ","134,472 ","30,105 ","14,230 ","15,875 "
35,"2,415,506 ","1,189,176 ","1,226,330 ","2,136,478 ","1,059,020 ","1,077,458 ","250,519 ","116,716 ","133,803 ","28,509 ","13,440 ","15,069 "
36,"2,449,378 ","1,202,885 ","1,246,493 ","2,171,128 ","1,072,732 ","1,098,396 ","250,788 ","117,141 ","133,647 ","27,462 ","13,012 ","14,450 "
37,"2,474,073 ","1,212,366 ","1,261,707 ","2,197,857 ","1,082,818 ","1,115,039 ","249,715 ","116,820 ","132,895 ","26,501 ","12,728 ","13,773 "
38,"2,496,093 ","1,221,111 ","1,274,982 ","2,222,494 ","1,092,634 ","1,129,860 ","247,909 ","115,923 ","131,986 ","25,690 ","12,554 ","13,136 "
39,"2,518,130 ","1,230,309 ","1,287,821 ","2,247,247 ","1,103,017 ","1,144,230 ","245,887 ","114,809 ","131,078 ","24,996 ","12,483 ","12,513 "
40,"2,523,791 ","1,232,075 ","1,291,716 ","2,256,937 ","1,106,568 ","1,150,369 ","242,754 ","113,249 ","129,505 ","24,100 ","12,258 ","11,842 "
41,"2,501,247 ","1,221,014 ","1,280,233 ","2,240,698 ","1,098,453 ","1,142,245 ","237,617 ","110,763 ","126,854 ","22,932 ","11,798 ","11,134 "
42,"2,455,815 ","1,199,506 ","1,256,309 ","2,203,298 ","1,080,675 ","1,122,623 ","230,953 ","107,671 ","123,282 ","21,564 ","11,160 ","10,404 "
43,"2,403,801 ","1,174,844 ","1,228,957 ","2,159,662 ","1,059,750 ","1,099,912 ","223,983 ","104,603 ","119,380 ","20,156 ","10,491 ","9,665 "
44,"2,346,512 ","1,147,721 ","1,198,791 ","2,111,271 ","1,036,544 ","1,074,727 ","216,529 ","101,383 ","115,146 ","18,712 ","9,794 ","8,918 "
45,"2,294,990 ","1,123,497 ","1,171,493 ","2,067,253 ","1,015,565 ","1,051,688 ","210,213 ","98,681 ","111,532 ","17,524 ","9,251 ","8,273 "
46,"2,260,709 ","1,107,588 ","1,153,121 ","2,037,123 ","1,001,185 ","1,035,938 ","206,737 ","97,365 ","109,372 ","16,849 ","9,038 ","7,811 "
47,"2,234,924 ","1,095,714 ","1,139,210 ","2,013,542 ","989,875 ","1,023,667 ","204,870 ","96,792 ","108,078 ","16,512 ","9,047 ","7,465 "
48,"2,200,770 ","1,079,858 ","1,120,912 ","1,982,370 ","975,051 ","1,007,319 ","202,249 ","95,761 ","106,488 ","16,151 ","9,046 ","7,105 "
49,"2,158,820 ","1,059,987 ","1,098,833 ","1,944,095 ","956,620 ","987,475 ","198,946 ","94,343 ","104,603 ","15,779 ","9,024 ","6,755 "
50,"2,116,081 ","1,039,005 ","1,077,076 ","1,905,791 ","937,464 ","968,327 ","194,890 ","92,556 ","102,334 ","15,400 ","8,985 ","6,415 "
51,"2,068,191 ","1,014,726 ","1,053,465 ","1,864,597 ","916,233 ","948,364 ","188,671 ","89,627 ","99,044 ","14,923 ","8,866 ","6,057 "
52,"2,027,582 ","993,352 ","1,034,230 ","1,830,500 ","897,852 ","932,648 ","182,512 ","86,731 ","95,781 ","14,570 ","8,769 ","5,801 "
53,"2,000,456 ","978,282 ","1,022,174 ","1,807,690 ","884,684 ","923,006 ","178,288 ","84,813 ","93,475 ","14,478 ","8,785 ","5,693 "
54,"1,983,376 ","967,811 ","1,015,565 ","1,793,411 ","875,362 ","918,049 ","175,463 ","83,598 ","91,865 ","14,502 ","8,851 ","5,651 "
55,"1,954,413 ","951,479 ","1,002,934 ","1,768,244 ","860,723 ","907,521 ","171,598 ","81,856 ","89,742 ","14,571 ","8,900 ","5,671 "
56,"1,909,068 ","927,695 ","981,373 ","1,726,857 ","838,716 ","888,141 ","167,270 ","79,951 ","87,319 ","14,941 ","9,028 ","5,913 "
57,"1,839,258 ","891,913 ","947,345 ","1,664,333 ","806,422 ","857,911 ","159,759 ","76,458 ","83,301 ","15,166 ","9,033 ","6,133 "
58,"1,750,475 ","846,839 ","903,636 ","1,586,965 ","766,927 ","820,038 ","148,646 ","71,119 ","77,527 ","14,864 ","8,793 ","6,071 "
59,"1,652,735 ","797,128 ","855,607 ","1,502,821 ","723,891 ","778,930 ","135,720 ","64,840 ","70,880 ","14,194 ","8,397 ","5,797 "
60,"1,568,398 ","753,833 ","814,565 ","1,429,717 ","686,116 ","743,601 ","125,252 ","59,759 ","65,493 ","13,429 ","7,958 ","5,471 "
61,"1,500,230 ","717,755 ","782,475 ","1,371,656 ","655,053 ","716,603 ","116,256 ","55,363 ","60,893 ","12,318 ","7,339 ","4,979 "
62,"1,453,083 ","691,043 ","762,040 ","1,329,989 ","631,277 ","698,712 ","111,827 ","53,053 ","58,774 ","11,267 ","6,713 ","4,554 "
63,"1,419,014 ","669,899 ","749,115 ","1,296,443 ","610,862 ","685,581 ","112,010 ","52,830 ","59,180 ","10,561 ","6,207 ","4,354 "
64,"1,389,467 ","650,341 ","739,126 ","1,264,832 ","590,998 ","673,834 ","114,628 ","53,595 ","61,033 ","10,007 ","5,748 ","4,259 "
65,"1,357,847 ","630,112 ","727,735 ","1,232,633 ","571,160 ","661,473 ","115,923 ","53,709 ","62,214 ","9,291 ","5,243 ","4,048 "
66,"1,325,285 ","609,716 ","715,569 ","1,201,560 ","552,267 ","649,293 ","115,258 ","52,740 ","62,518 ","8,467 ","4,709 ","3,758 "
67,"1,291,689 ","590,393 ","701,296 ","1,172,204 ","535,361 ","636,843 ","111,752 ","50,772 ","60,980 ","7,733 ","4,260 ","3,473 "
68,"1,253,728 ","570,071 ","683,657 ","1,141,965 ","518,785 ","623,180 ","104,873 ","47,519 ","57,354 ","6,890 ","3,767 ","3,123 "
69,"1,216,024 ","550,945 ","665,079 ","1,112,481 ","503,308 ","609,173 ","97,460 ","44,342 ","53,118 ","6,083 ","3,295 ","2,788 "
70,"1,171,256 ","528,875 ","642,381 ","1,075,542 ","484,771 ","590,771 ","90,223 ","41,163 ","49,060 ","5,491 ","2,941 ","2,550 "
71,"1,112,758 ","500,709 ","612,049 ","1,025,324 ","460,293 ","565,031 ","82,379 ","37,696 ","44,683 ","5,055 ","2,720 ","2,335 "
