Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population--Estimates by Age, Sex, and Race:  July 1, 1912",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"95,335,000 ","49,025,000 ","46,310,000 ","84,928,000 ","43,786,000 ","41,142,000 ","10,407,000 ","5,239,000 ","5,168,000 "
,,,,,,,,,
0,"2,250,000 ","1,145,000 ","1,105,000 ","1,997,000 ","1,017,000 ","980,000 ","253,000 ","128,000 ","125,000 "
1,"2,217,000 ","1,124,000 ","1,093,000 ","1,961,000 ","996,000 ","965,000 ","256,000 ","128,000 ","128,000 "
2,"2,184,000 ","1,105,000 ","1,079,000 ","1,925,000 ","976,000 ","949,000 ","259,000 ","129,000 ","130,000 "
3,"2,149,000 ","1,085,000 ","1,064,000 ","1,888,000 ","956,000 ","932,000 ","261,000 ","129,000 ","132,000 "
4,"2,115,000 ","1,067,000 ","1,048,000 ","1,853,000 ","937,000 ","916,000 ","262,000 ","130,000 ","132,000 "
5,"2,080,000 ","1,049,000 ","1,031,000 ","1,819,000 ","920,000 ","899,000 ","261,000 ","129,000 ","132,000 "
6,"2,047,000 ","1,032,000 ","1,015,000 ","1,786,000 ","903,000 ","883,000 ","261,000 ","129,000 ","132,000 "
7,"2,013,000 ","1,015,000 ","998,000 ","1,755,000 ","887,000 ","868,000 ","258,000 ","128,000 ","130,000 "
8,"1,984,000 ","1,001,000 ","983,000 ","1,727,000 ","873,000 ","854,000 ","257,000 ","128,000 ","129,000 "
9,"1,953,000 ","986,000 ","967,000 ","1,700,000 ","860,000 ","840,000 ","253,000 ","126,000 ","127,000 "
10,"1,926,000 ","973,000 ","953,000 ","1,676,000 ","848,000 ","828,000 ","250,000 ","125,000 ","125,000 "
11,"1,899,000 ","962,000 ","937,000 ","1,653,000 ","838,000 ","815,000 ","246,000 ","124,000 ","122,000 "
