Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1970",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,,,,
All ages,"205,052,174 ","100,353,876 ","104,698,298 ","179,644,033 ","88,138,613 ","91,505,420 ","22,801,214 ","10,913,011 ","11,888,203 ","2,606,927 ","1,302,252 ","1,304,675 "
,,,,,,,,,,,,
0,"3,508,096 ","1,790,508 ","1,717,588 ","2,972,765 ","1,521,114 ","1,451,651 ","478,209 ","240,465 ","237,744 ","57,122 ","28,929 ","28,193 "
1,"3,401,442 ","1,732,276 ","1,669,166 ","2,868,582 ","1,465,650 ","1,402,932 ","479,130 ","239,581 ","239,549 ","53,730 ","27,045 ","26,685 "
2,"3,295,270 ","1,681,618 ","1,613,652 ","2,773,490 ","1,420,003 ","1,353,487 ","470,339 ","235,591 ","234,748 ","51,441 ","26,024 ","25,417 "
3,"3,406,502 ","1,735,078 ","1,671,424 ","2,870,336 ","1,466,270 ","1,404,066 ","484,416 ","242,790 ","241,626 ","51,750 ","26,018 ","25,732 "
4,"3,554,881 ","1,811,647 ","1,743,234 ","2,984,016 ","1,525,276 ","1,458,740 ","517,375 ","259,501 ","257,874 ","53,490 ","26,870 ","26,620 "
5,"3,756,969 ","1,913,750 ","1,843,219 ","3,164,412 ","1,616,431 ","1,547,981 ","535,833 ","268,628 ","267,205 ","56,724 ","28,691 ","28,033 "
6,"3,946,319 ","2,010,401 ","1,935,918 ","3,337,725 ","1,705,138 ","1,632,587 ","551,905 ","276,630 ","275,275 ","56,689 ","28,633 ","28,056 "
7,"4,019,585 ","2,048,658 ","1,970,927 ","3,406,682 ","1,741,288 ","1,665,394 ","556,499 ","278,887 ","277,612 ","56,404 ","28,483 ","27,921 "
8,"4,032,394 ","2,055,054 ","1,977,340 ","3,431,228 ","1,753,194 ","1,678,034 ","546,209 ","274,030 ","272,179 ","54,957 ","27,830 ","27,127 "
9,"4,164,170 ","2,123,832 ","2,040,338 ","3,548,323 ","1,814,711 ","1,733,612 ","559,783 ","280,995 ","278,788 ","56,064 ","28,126 ","27,938 "
10,"4,263,921 ","2,173,641 ","2,090,280 ","3,614,882 ","1,848,888 ","1,765,994 ","591,430 ","295,849 ","295,581 ","57,609 ","28,904 ","28,705 "
11,"4,138,932 ","2,106,867 ","2,032,065 ","3,523,543 ","1,799,041 ","1,724,502 ","560,853 ","280,588 ","280,265 ","54,536 ","27,238 ","27,298 "
12,"4,175,165 ","2,128,690 ","2,046,475 ","3,564,446 ","1,822,110 ","1,742,336 ","557,367 ","279,720 ","277,647 ","53,352 ","26,860 ","26,492 "
13,"4,174,574 ","2,125,671 ","2,048,903 ","3,563,380 ","1,820,200 ","1,743,180 ","557,947 ","278,833 ","279,114 ","53,247 ","26,638 ","26,609 "
14,"4,100,251 ","2,087,598 ","2,012,653 ","3,493,862 ","1,783,887 ","1,709,975 ","554,201 ","277,628 ","276,573 ","52,188 ","26,083 ","26,105 "
15,"4,043,855 ","2,061,974 ","1,981,881 ","3,456,222 ","1,767,217 ","1,689,005 ","535,279 ","268,267 ","267,012 ","52,354 ","26,490 ","25,864 "
16,"3,931,856 ","2,000,789 ","1,931,067 ","3,371,163 ","1,720,167 ","1,650,996 ","511,133 ","255,760 ","255,373 ","49,560 ","24,862 ","24,698 "
17,"3,847,703 ","1,957,587 ","1,890,116 ","3,308,579 ","1,686,973 ","1,621,606 ","489,459 ","245,468 ","243,991 ","49,665 ","25,146 ","24,519 "
18,"3,781,499 ","1,913,716 ","1,867,783 ","3,269,338 ","1,660,085 ","1,609,253 ","462,973 ","228,728 ","234,245 ","49,188 ","24,903 ","24,285 "
19,"3,728,184 ","1,881,903 ","1,846,281 ","3,217,042 ","1,629,777 ","1,587,265 ","459,509 ","225,765 ","233,744 ","51,633 ","26,361 ","25,272 "
20,"3,653,488 ","1,848,135 ","1,805,353 ","3,153,967 ","1,601,285 ","1,552,682 ","446,227 ","219,294 ","226,933 ","53,294 ","27,556 ","25,738 "
21,"3,556,227 ","1,800,203 ","1,756,024 ","3,091,659 ","1,571,913 ","1,519,746 ","411,370 ","201,069 ","210,301 ","53,198 ","27,221 ","25,977 "
22,"3,494,642 ","1,757,295 ","1,737,347 ","3,061,426 ","1,548,293 ","1,513,133 ","382,779 ","183,842 ","198,937 ","50,437 ","25,160 ","25,277 "
23,"3,716,091 ","1,860,521 ","1,855,570 ","3,301,619 ","1,662,686 ","1,638,933 ","363,670 ","172,860 ","190,810 ","50,802 ","24,975 ","25,827 "
24,"2,781,658 ","1,388,785 ","1,392,873 ","2,436,618 ","1,225,969 ","1,210,649 ","302,164 ","142,031 ","160,133 ","42,876 ","20,785 ","22,091 "
25,"2,802,151 ","1,396,499 ","1,405,652 ","2,450,089 ","1,230,925 ","1,219,164 ","308,121 ","144,257 ","163,864 ","43,941 ","21,317 ","22,624 "
26,"2,804,268 ","1,393,335 ","1,410,933 ","2,468,818 ","1,235,676 ","1,233,142 ","292,153 ","136,895 ","155,258 ","43,297 ","20,764 ","22,533 "
27,"3,000,699 ","1,488,871 ","1,511,828 ","2,652,253 ","1,325,985 ","1,326,268 ","304,627 ","141,929 ","162,698 ","43,819 ","20,957 ","22,862 "
28,"2,641,863 ","1,309,125 ","1,332,738 ","2,323,878 ","1,160,893 ","1,162,985 ","276,345 ","127,907 ","148,438 ","41,640 ","20,325 ","21,315 "
29,"2,487,167 ","1,233,264 ","1,253,903 ","2,172,173 ","1,085,654 ","1,086,519 ","274,446 ","127,750 ","146,696 ","40,548 ","19,860 ","20,688 "
30,"2,487,628 ","1,231,863 ","1,255,765 ","2,158,216 ","1,077,937 ","1,080,279 ","286,855 ","132,758 ","154,097 ","42,557 ","21,168 ","21,389 "
31,"2,320,918 ","1,147,209 ","1,173,709 ","2,036,088 ","1,015,053 ","1,021,035 ","247,148 ","113,484 ","133,664 ","37,682 ","18,672 ","19,010 "
32,"2,305,215 ","1,136,720 ","1,168,495 ","2,020,273 ","1,005,345 ","1,014,928 ","248,218 ","113,326 ","134,892 ","36,724 ","18,049 ","18,675 "
33,"2,218,979 ","1,092,276 ","1,126,703 ","1,943,466 ","965,833 ","977,633 ","239,495 ","109,002 ","130,493 ","36,018 ","17,441 ","18,577 "
34,"2,254,644 ","1,107,491 ","1,147,153 ","1,966,925 ","975,684 ","991,241 ","251,826 ","114,680 ","137,146 ","35,893 ","17,127 ","18,766 "
35,"2,225,239 ","1,096,039 ","1,129,200 ","1,945,109 ","967,070 ","978,039 ","245,638 ","112,489 ","133,149 ","34,492 ","16,480 ","18,012 "
36,"2,184,809 ","1,072,198 ","1,112,611 ","1,908,755 ","946,302 ","962,453 ","241,841 ","109,870 ","131,971 ","34,213 ","16,026 ","18,187 "
37,"2,222,057 ","1,086,916 ","1,135,141 ","1,940,646 ","958,462 ","982,184 ","246,821 ","112,582 ","134,239 ","34,590 ","15,872 ","18,718 "
38,"2,230,004 ","1,094,009 ","1,135,995 ","1,964,293 ","972,963 ","991,330 ","232,291 ","105,755 ","126,536 ","33,420 ","15,291 ","18,129 "
39,"2,292,567 ","1,125,722 ","1,166,845 ","2,021,644 ","1,001,874 ","1,019,770 ","237,273 ","108,561 ","128,712 ","33,650 ","15,287 ","18,363 "
40,"2,422,721 ","1,184,684 ","1,238,037 ","2,129,491 ","1,050,829 ","1,078,662 ","258,464 ","118,213 ","140,251 ","34,766 ","15,642 ","19,124 "
41,"2,363,323 ","1,154,549 ","1,208,774 ","2,092,134 ","1,031,250 ","1,060,884 ","238,413 ","108,466 ","129,947 ","32,776 ","14,833 ","17,943 "
42,"2,397,821 ","1,170,766 ","1,227,055 ","2,129,358 ","1,048,365 ","1,080,993 ","236,657 ","107,868 ","128,789 ","31,806 ","14,533 ","17,273 "
43,"2,392,199 ","1,164,194 ","1,228,005 ","2,130,165 ","1,044,691 ","1,085,474 ","231,114 ","105,256 ","125,858 ","30,920 ","14,247 ","16,673 "
44,"2,418,912 ","1,172,484 ","1,246,428 ","2,151,575 ","1,050,120 ","1,101,455 ","237,264 ","108,214 ","129,050 ","30,073 ","14,150 ","15,923 "
45,"2,465,964 ","1,192,280 ","1,273,684 ","2,199,427 ","1,068,542 ","1,130,885 ","236,785 ","109,398 ","127,387 ","29,752 ","14,340 ","15,412 "
46,"2,433,301 ","1,175,087 ","1,258,214 ","2,180,352 ","1,057,783 ","1,122,569 ","224,978 ","103,756 ","121,222 ","27,971 ","13,548 ","14,423 "
47,"2,415,765 ","1,165,018 ","1,250,747 ","2,159,042 ","1,045,430 ","1,113,612 ","229,323 ","106,028 ","123,295 ","27,400 ","13,560 ","13,840 "
48,"2,448,256 ","1,184,471 ","1,263,785 ","2,201,150 ","1,068,528 ","1,132,622 ","221,111 ","102,851 ","118,260 ","25,995 ","13,092 ","12,903 "
49,"2,387,341 ","1,156,408 ","1,230,933 ","2,146,605 ","1,043,494 ","1,103,111 ","216,502 ","100,814 ","115,688 ","24,234 ","12,100 ","12,134 "
50,"2,427,106 ","1,172,397 ","1,254,709 ","2,164,268 ","1,049,092 ","1,115,176 ","238,415 ","111,121 ","127,294 ","24,423 ","12,184 ","12,239 "
51,"2,299,963 ","1,105,995 ","1,193,968 ","2,067,400 ","996,969 ","1,070,431 ","210,931 ","98,194 ","112,737 ","21,632 ","10,832 ","10,800 "
52,"2,199,245 ","1,060,320 ","1,138,925 ","1,988,308 ","961,656 ","1,026,652 ","191,021 ","88,782 ","102,239 ","19,916 ","9,882 ","10,034 "
53,"2,130,839 ","1,026,314 ","1,104,525 ","1,931,096 ","933,774 ","997,322 ","181,160 ","83,194 ","97,966 ","18,583 ","9,346 ","9,237 "
54,"2,108,622 ","1,014,671 ","1,093,951 ","1,913,922 ","924,232 ","989,690 ","176,247 ","81,080 ","95,167 ","18,453 ","9,359 ","9,094 "
55,"2,105,906 ","1,011,813 ","1,094,093 ","1,906,919 ","918,544 ","988,375 ","180,903 ","83,955 ","96,948 ","18,084 ","9,314 ","8,770 "
56,"2,050,273 ","984,655 ","1,065,618 ","1,859,929 ","895,029 ","964,900 ","173,288 ","80,808 ","92,480 ","17,056 ","8,818 ","8,238 "
57,"2,010,442 ","959,529 ","1,050,913 ","1,819,056 ","870,369 ","948,687 ","174,518 ","80,195 ","94,323 ","16,868 ","8,965 ","7,903 "
58,"1,942,941 ","925,843 ","1,017,098 ","1,761,243 ","840,353 ","920,890 ","165,355 ","76,542 ","88,813 ","16,343 ","8,948 ","7,395 "
59,"1,896,914 ","899,382 ","997,532 ","1,704,840 ","809,005 ","895,835 ","175,842 ","81,129 ","94,713 ","16,232 ","9,248 ","6,984 "
60,"1,912,080 ","903,314 ","1,008,766 ","1,722,935 ","814,142 ","908,793 ","173,235 ","80,050 ","93,185 ","15,910 ","9,122 ","6,788 "
61,"1,791,616 ","841,000 ","950,616 ","1,628,276 ","764,663 ","863,613 ","148,717 ","67,949 ","80,768 ","14,623 ","8,388 ","6,235 "
62,"1,732,996 ","809,970 ","923,026 ","1,572,967 ","735,431 ","837,536 ","146,019 ","66,365 ","79,654 ","14,010 ","8,174 ","5,836 "
63,"1,640,281 ","761,967 ","878,314 ","1,491,156 ","693,075 ","798,081 ","135,863 ","61,196 ","74,667 ","13,262 ","7,696 ","5,566 "
64,"1,598,736 ","735,620 ","863,116 ","1,444,677 ","664,640 ","780,037 ","140,883 ","63,395 ","77,488 ","13,176 ","7,585 ","5,591 "
65,"1,550,071 ","706,601 ","843,470 ","1,393,676 ","634,916 ","758,760 ","143,332 ","64,167 ","79,165 ","13,063 ","7,518 ","5,545 "
66,"1,475,305 ","666,122 ","809,183 ","1,334,710 ","602,286 ","732,424 ","128,476 ","56,942 ","71,534 ","12,119 ","6,894 ","5,225 "
67,"1,408,965 ","629,797 ","779,168 ","1,273,835 ","568,538 ","705,297 ","123,338 ","54,707 ","68,631 ","11,792 ","6,552 ","5,240 "
68,"1,287,308 ","570,692 ","716,616 ","1,170,573 ","518,464 ","652,109 ","105,861 ","46,282 ","59,579 ","10,874 ","5,946 ","4,928 "
69,"1,304,600 ","565,585 ","739,015 ","1,169,362 ","505,186 ","664,176 ","123,849 ","54,127 ","69,722 ","11,389 ","6,272 ","5,117 "
70,"1,271,974 ","546,846 ","725,128 ","1,146,731 ","490,658 ","656,073 ","114,360 ","50,287 ","64,073 ","10,883 ","5,901 ","4,982 "
