key,prop,value,,,,,,,,,,,,
Spain,observationAbout,country/ESP,gender,Female,populationType,Person,measuredProperty,dcs:count,unit,Percent,measurementDenominator,-gender,observationPeriod,P1Y
value,value,{Number},,,,,,,,,,,,
Periodo,observationDate,{Data},populationType,Person,,,,,,,,,,
01 Education,educationalAttainment,Graduate,populationType,Person,,,,,,,,,,
"02 Arts, humanities and languages",educationalAttainment,ArtsHumanitiesAndLanguages,populationType,Person,,,,,,,,,,
"03 Social sciences, journalism and documentation",educationalAttainment,SocialSciencesJournalismAndDocumentation,populationType,Person,,,,,,,,,,
"04 Business, administration and law",educationalAttainment,BusinessAdministrationAndLaw,populationType,Person,,,,,,,,,,
"Ciencias naturales, matemáticas y estadística",educationalAttainment,NaturalSciencesMathematicsAndStatistics,populationType,Person,,,,,,,,,,
06 Information and communication technologies (ICT),educationalAttainment,InformationAndCommunicationTechnologies,populationType,Person,,,,,,,,,,
0732 Construcción e ingeniería civil,educationalAttainment,ConstructionAndCivilEngineering,populationType,Person,,,,,,,,,,
"08 Agriculture, animal husbandry, fisheries, forestry and veterinary science",educationalAttainment,Agriculture__AnimalHusbandry__Fisheries__ForestryAndVeterinaryScience,populationType,Person,,,,,,,,,,
09 Health and social services,educationalAttainment,HealthAndSocialServices,populationType,Person,,,,,,,,,,
10 Services,educationalAttainment,SpainEducationalServices,populationType,Person,,,,,,,,,,
