place_name,dcid
02 Albacete,nuts/ES421
03 Alicante/Alacant,nuts/ES521
04 Almería,nuts/ES611
01 Araba/Álava,nuts/ES211
33 Asturias,nuts/ES120
05 Ávila,nuts/ES411
06 Badajoz,nuts/ES431
"07 Balears, Illes",wikidataId/Q1606474
08 Barcelona,
48 Bizkaia,nuts/ES213
09 Burgos,nuts/ES412
10 Cáceres,nuts/ES432
11 Cádiz,nuts/ES612
39 Cantabria,nuts/ES13
12 Castellón/Castelló,nuts/ES522
13 Ciudad Real,nuts/ES422
14 Córdoba,nuts/ES613
"15 Coruña, A",nuts/ES111
16 Cuenca,nuts/ES423
20 Gipuzkoa,nuts/ES212
17 Girona,nuts/ES512
18 Granada,nuts/ES614
19 Guadalajara,nuts/ES424
21 Huelva,nuts/ES615
22 Huesca,nuts/ES241
23 Jaén,nuts/ES616
24 León,nuts/ES413
25 Lleida,wikidataId/Q15090
27 Lugo,nuts/ES112
28 Madrid,nuts/ES3
29 Málaga,nuts/ES617
30 Murcia,nuts/ES62
31 Navarra,nuts/ES22
32 Ourense,nuts/ES113
34 Palencia,wikidataId/Q24011703
"35 Palmas, Las",nuts/ES701
36 Pontevedra,nuts/ES114
"26 Rioja, La",nuts/ES23
37 Salamanca,nuts/ES415
38 Santa Cruz de Tenerife,wikidataId/Q24014650
40 Segovia,nuts/ES416
41 Sevilla,nuts/ES618
42 Soria,nuts/ES417
43 Tarragona,nuts/ES514
44 Teruel,nuts/ES242
45 Toledo,nuts/ES425
46 Valencia/València,nuts/ES523
47 Valladolid,nuts/ES418
49 Zamora,nuts/ES419
50 Zaragoza,nuts/ES243
51 Ceuta,nuts/ES63
52 Melilla,
02003 Albacete,wikidataId/Q15095
41004 Alcalá de Guadaíra,wikidataId/Q494781
28005 Alcalá de Henares,wikidataId/Q46940
28006 Alcobendas,wikidataId/Q487679
28007 Alcorcón,wikidataId/Q10372
03009 Alcoi/Alcoy,wikidataId/Q494777
11004 Algeciras,wikidataId/Q484552
