"Units","StatVar","MinDate","MeasurementMethods","ScalingFactors","NumPlaces","observationPeriods"
"[]","Count_Person_Employed_Utilities","2020-01","[BLSSeasonallyUnadjusted]","[]","43","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_ConstructionLogging","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_WholesaleTrade_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","14","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_Manufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","46","[P1M]"
"[]","Count_Person_Employed_OtherHeavyConstruction","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_ManagementOfCompaniesEnterprises","2020-01","[BLSSeasonallyAdjusted, BLSSeasonallyUnadjusted]","[]","53","[P1M]"
"[]","Count_Person_Employed_ElementaryAndSecondarySchools","2020-01","[BLSSeasonallyUnadjusted]","[]","11","[P1M]"
"[]","Count_Person_Employed_NursingCareFacilitiesSkilledNursing","2020-01","[BLSSeasonallyUnadjusted]","[]","8","[P1M]"
"[]","Count_Person_Employed_BeverageManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_MediaStreamingDistributionServicesSocialNetworksAndOtherMediaNetworksAndContentProviders","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_GroceryStores","2020-01","[BLSSeasonallyUnadjusted]","[]","11","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_HealthCareSocialAssistance_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[]","Count_Person_Employed_MerchantWholesalersDurableGoods","2020-01","[BLSSeasonallyUnadjusted]","[]","28","[P1M]"
"[]","Count_Person_Employed_LimitedserviceEatingPlaces","2020-01","[BLSSeasonallyUnadjusted]","[]","22","[P1M]"
"[]","Count_Person_Employed_TradeTransportationUtilities_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_MedicalAndDiagnosticLaboratories","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_PrivatelyOwned_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_GamblingIndustries","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[]","Count_Person_Employed_ProfessionalBusinessServices","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","94","[P1M]"
"[]","Count_Person_Employed_MiscellaneousManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","12","[P1M]"
"[]","Count_Person_Employed_ComputerAndElectronicProductManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","28","[P1M]"
"[]","Count_Person_Employed_DepositoryCreditIntermediationMonetaryAuthoritiesCentralBank","2020-01","[BLSSeasonallyUnadjusted]","[]","10","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_ConstructionLogging_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_NavigationalMeasuringElectromedicalAndControlInstrumentsManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[]","Count_Person_Employed_CasinoHotels","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_AccountingAndBookkeepingServices","2020-01","[BLSSeasonallyUnadjusted]","[]","15","[P1M]"
