"NumPlaces","observationPeriods","Units","MeasurementMethods","ScalingFactors","StatVar","MinDate"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.DFTXV.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.BDCCB.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.AVTXD.A","1970"
"52","[]","[MillionMetricTonsCo2]","[]","[]","eia/SEDS.AVTCE.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.WWSCB.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.CLPRB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.NNTCB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.CLTXB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.HLISB.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.SOCCB.A","1960"
"52","[]","[MillionCubicFeet]","[]","[]","eia/SEDS.NGTXP.A","1960"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.RFCCP.A","1960"
"52","[]","[MillionKilowatthours]","[]","[]","eia/SEDS.SOR7P.A","1989"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.NGASB.A","1970"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.EQTCP.A","2010"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.KSRCD.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.BXSUB.A","2021"
"1","[]","[ThousandShortTons]","[]","[]","eia/SEDS.CCNIP.A","1960"
"52","[]","[MillionMetricTonsCo2]","[]","[]","eia/SEDS.RFACE.A","1960"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.ARTXV.A","1970"
"52","[]","[MillionMetricTonsCo2]","[]","[]","eia/SEDS.RFEIE.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.PCTCD.A","1970"
"52","[]","[Number]","[]","[]","eia/SEDS.EVPVP.A","2015"
"52","[]","[ThousandKilowatts]","[]","[]","eia/SEDS.NUGBP.A","2008"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.PQRFB.A","2010"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.BDCBP.A","2009"
"52","[]","[Percent]","[]","[]","eia/SEDS.HPCAS.A","2013"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.WDPRB.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.NGCCD.A","1970"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.DMACP.A","1960"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.KSICV.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.WYEGB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.CLOCB.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.PERCD.A","1970"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.NGICV.A","1970"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.CLCCV.A","1970"
