"MeasurementMethods","StatVar","observationPeriods","ScalingFactors","MinDate","NumPlaces","Units"
"[]","eia/PET.W_EPPK_YPB_MBBLD.W","[]","[]","2010-06-04","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPPR_YPB_MBBL.A","[]","[]","2009","1","[ThousandBarrels]"
"[]","eia/PET.EMA_EPMPR_PTC_DPG.M","[]","[]","1994-11","22","[USDollarPerGallon]"
"[]","eia/PET.EMA_EPJK_PTG_DPG.A","[]","[]","1978","51","[USDollarPerGallon]"
"[]","eia/PET.EMA_EPMMU_PRG_DPG.M","[]","[]","1994-01","1","[USDollarPerGallon]"
"[]","eia/PET.MG5SB_1.A","[]","[]","2006","1","[ThousandBarrels]"
"[]","eia/PET.8_NA_8SSPJ_MBBL.A","[]","[]","1983","1","[ThousandBarrels]"
"[]","eia/PET.M_NA_YDR_MBBLD.A","[]","[]","2010","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.EMA_EPD2DXL0_PCS_DPG.M","[]","[]","2007-01","1","[USDollarPerGallon]"
"[]","eia/PET.EMA_EPMR_PTR_DPG.M","[]","[]","1983-01","51","[USDollarPerGallon]"
"[]","eia/PET.KPRVVB_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.MPGRX_2.A","[]","[]","2005","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.MTTUA_2.A","[]","[]","1973","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPOUR_YIY_2.M","[]","[]","2005-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPOOOXH_SAE_MBBL.M","[]","[]","2009-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPM0RO_YPR_MBBL.A","[]","[]","2008","1","[ThousandBarrels]"
"[]","eia/PET.KDHVAI_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.KD4VAC_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.KD1VAR_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.RCRR01_1.A","[]","[]","1899","25","[MillionsBarrels]"
"[]","eia/PET.E_ERTWD_XWPN_DF.A","[]","[]","1960","1","[DollarsPerFoot]"
"[]","eia/PET.KPRVAO_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.8_NA_8DO_4.A","[]","[]","1982","44","[BarrelsPerCalendarDay]"
"[]","eia/PET.M_EPOORDB_8BDPC_MMGL.M","[]","[]","2011-01","1","[MillionGallons]"
"[]","eia/PET.M_EPOOXE_YOP_2.M","[]","[]","1981-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.E_ERTWO_XWDD_FW.A","[]","[]","1949","1","[FeetPerWell]"
"[]","eia/PET.MNLRO_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.MBRSB_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.MLURX_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.8_NA_8CDHD0_5.A","[]","[]","1987","44","[BarrelsPerStreamDay]"
"[]","eia/PET.KD1VAC_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.MO5RS_1.A","[]","[]","2005","1","[ThousandBarrels]"
"[]","eia/PET.EMA_EPMP_PTG_DPG.A","[]","[]","1983","1","[USDollarPerGallon]"
"[]","eia/PET.8_NA_8O0_C.A","[]","[]","1982","44","[NumberOfElements]"
"[]","eia/PET.M_EPLLNG_SCG_MBBLD.A","[]","[]","1983","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPLLBYN_VPP_MBBL.A","[]","[]","2010","1","[ThousandBarrels]"
"[]","eia/PET.M_EPD00H_YNP_MBBL.A","[]","[]","2021","1","[ThousandBarrels]"
"[]","eia/PET.MCRRO_1.A","[]","[]","2005","1","[ThousandBarrels]"
"[]","eia/PET.M_EPOOR_YIR_MBBLD.A","[]","[]","2009","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPL0_YIY_2.A","[]","[]","2005","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.EMA_EPMRX_PBR_DPG.A","[]","[]","1994","1","[USDollarPerGallon]"
"[]","eia/PET.W_EPDXL0_YPY_MBBLD.W","[]","[]","2010-06-04","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.MGRRZ_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.MO3RB_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPOL_SKR_MBBL.M","[]","[]","2010-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPLLNG_VPP_MBBL.A","[]","[]","1981","1","[ThousandBarrels]"
"[]","eia/PET.EMA_EPPRH_PWA_DPG.M","[]","[]","1983-01","42","[USDollarPerGallon]"
"[]","eia/PET.MDIRX_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.MO9RB_1.A","[]","[]","2005","1","[ThousandBarrels]"
"[]","eia/PET.KD0VAT_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.MPARP_1.M","[]","[]","1995-01","1","[ThousandBarrels]"
"[]","eia/PET.MG6RZ_2.M","[]","[]","2005-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.K2DVMI_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.EMA_EPD2D_POA_DPG.M","[]","[]","1994-01","25","[USDollarPerGallon]"
"[]","eia/PET.M_EPOOOH_YIY_MBBLD.A","[]","[]","2009","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.EMA_EPMMR_PTA_DPG.A","[]","[]","1994","22","[USDollarPerGallon]"
"[]","eia/PET.E_ERTWD_XWDE_FW.A","[]","[]","1949","1","[FeetPerWell]"
"[]","eia/PET.M_EPOOOXH_YIY_MBBLD.M","[]","[]","2009-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.MCORX_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPL2_YNP_MBBL.A","[]","[]","2010","1","[ThousandBarrels]"
"[]","eia/PET.M_EPOOR_VUA_MBBLD.A","[]","[]","2005","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPOORD_VPP_MBBLD.M","[]","[]","2010-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.MCRUA_1.A","[]","[]","1981","1","[ThousandBarrels]"
"[]","eia/PET.EMA_EPM0X_PBR_DPG.M","[]","[]","1994-01","1","[USDollarPerGallon]"
"[]","eia/PET.MO6ST_1.A","[]","[]","2005","1","[ThousandBarrels]"
"[]","eia/PET.RCRR10_1.A","[]","[]","1977","25","[MillionsBarrels]"
"[]","eia/PET.M_EPLLPYN_SKB_MBBL.M","[]","[]","2004-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPOOBDRFWO_YIFBP_MMLB.M","[]","[]","2021-01","1","[MillionPounds]"
"[]","eia/PET.EMM_EPMRR_PTE_DPG.M","[]","[]","1994-12","6","[USDollarPerGallon]"
"[]","eia/PET.EMA_EPMPX_PBR_DPG.A","[]","[]","1994","1","[USDollarPerGallon]"
"[]","eia/PET.M_EPD00H_YPB_MBBLD.A","[]","[]","2009","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPLLPA_SKB_MBBL.M","[]","[]","2010-01","1","[ThousandBarrels]"
"[]","eia/PET.E_ERTWG_XWCE_C.M","[]","[]","1973-01","1","[NumberOfElements]"
"[]","eia/PET.EMA_EPMMU_PWG_DPG.A","[]","[]","1994","1","[USDollarPerGallon]"
"[]","eia/PET.M_EPJK_YNP_MBBLD.A","[]","[]","2021","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.RES_EPCCOND_R04_MMBBL.A","[]","[]","2009","25","[MillionsBarrels]"
"[]","eia/PET.MEYRX_1.A","[]","[]","2005","1","[ThousandBarrels]"
"[]","eia/PET.KDOVMI_1.A","[]","[]","1984","52","[ThousandGallons]"
"[]","eia/PET.M_EPOOXXFE_VUA_MBBLD.M","[]","[]","2005-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.EMA_EPMMU_PBR_DPG.M","[]","[]","1994-01","1","[USDollarPerGallon]"
"[]","eia/PET.M_EP00_SAS_MBBL.M","[]","[]","2007-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPLLBAI_SCG_MBBL.M","[]","[]","2010-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EP00_TVP_MBBLD.A","[]","[]","2022","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.EMA_EPM0U_PDS_DPG.A","[]","[]","1994","52","[USDollarPerGallon]"
"[]","eia/PET.MD0SP_1.M","[]","[]","2004-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPOORDB_YIR_MBBL.A","[]","[]","2010","1","[ThousandBarrels]"
"[]","eia/PET.MBIRX_2.A","[]","[]","2005","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.MOHUA_2.M","[]","[]","1981-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPOOXXFE_SKB_MBBL.M","[]","[]","2009-01","1","[ThousandBarrels]"
"[]","eia/PET.MKJRX_1.M","[]","[]","2005-01","1","[ThousandBarrels]"
"[]","eia/PET.RCRR04_1.A","[]","[]","1977","25","[MillionsBarrels]"
"[]","eia/PET.EMA_EPPR_PWA_DPG.A","[]","[]","1983","52","[USDollarPerGallon]"
"[]","eia/PET.EMA_EPMRU_PTR_DPG.A","[]","[]","1994","1","[USDollarPerGallon]"
"[]","eia/PET.EMA_EPMMU_PBS_DPG.A","[]","[]","1994","3","[USDollarPerGallon]"
"[]","eia/PET.M_EPLL_YIY_2.A","[]","[]","2005","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.MD0UP_2.A","[]","[]","2004","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.M_EPM0CAL55_SKR_MBBL.M","[]","[]","2010-01","1","[ThousandBarrels]"
"[]","eia/PET.M_EPOBGRR_YIB_MBBLD.M","[]","[]","2008-01","1","[ThousandBarrelsPerDay]"
"[]","eia/PET.8_NA_8SSOXF_MBBL.A","[]","[]","1994","1","[ThousandBarrels]"
