"Units","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods","ScalingFactors"
"[NumberOfElements]","1998","[]","51","eia/NG.NA1568_8.A","[]","[]"
"[BillionCubicFeet]","2011","[]","1","eia/NG.RES_EPG0_R48_BCF.A","[]","[]"
"[BillionCubicFeet]","1925","[]","24","eia/NG.RNGR11_1.A","[]","[]"
"[MillionCubicFeet]","1987","[]","50","eia/NG.NA1532_2.A","[]","[]"
"[NumberOfElements]","1973-01","[]","1","eia/NG.E_ERTWG_XWCD_C.M","[]","[]"
"[DollarsPerThousandCubicFeet]","1985","[]","3","eia/NG.N9132_3.A","[]","[]"
"[BillionCubicFeet]","1973-01","[]","1","eia/NG.N9060_1.M","[]","[]"
"[DollarsPerThousandCubicFeet]","1989-01","[]","3","eia/NG.N9132_3.M","[]","[]"
"[MillionsBarrels]","2009","[]","25","eia/NG.RES_EPCCOND_R05_MMBBL.A","[]","[]"
"[BillionCubicFeet]","2011","[]","1","eia/NG.RES_EPG0_R35_BCF.A","[]","[]"
"[Percent]","1993","[]","52","eia/NG.NA1500_4.A","[]","[]"
"[BillionCubicFeet]","1996","[]","27","eia/NG.RNGR9908_1.A","[]","[]"
"[BillionCubicFeet]","2007","[]","21","eia/NG.RES_EPG0_R5301_BCF.A","[]","[]"
"[DollarsPerThousandCubicFeet]","2006","[]","9","eia/NG.NA_EPG0_PCSM_DMCF.A","[]","[]"
"[MillionCubicFeet]","1991-01","[]","35","eia/NG.N9012_2.M","[]","[]"
"[NumberOfElements]","1987-08","[]","1","eia/NG.E_ERTRRO_XR0_C.M","[]","[]"
"[MillionCubicFeet]","1980","[]","33","eia/NG.NA1145_2.A","[]","[]"
"[MillionCubicFeet]","1980","[]","40","eia/NG.NA1370_2.A","[]","[]"
"[NumberOfElements]","1988","[]","1","eia/NG.E_ERTRRO_XR0_C.A","[]","[]"
"[FeetPerWell]","1949","[]","1","eia/NG.E_ERTWG_XWD0_FW.A","[]","[]"
"[DollarsPerFoot]","1960","[]","1","eia/NG.E_ERTW0_XWPR_DF.A","[]","[]"
"[MillionCubicFeet]","2006","[]","1","eia/NG.NA_EPG0_FWV_MMCF.A","[]","[]"
"[MillionsBarrels]","2000","[]","18","eia/NG.RL2R06_1.A","[]","[]"
"[MillionsBarrels]","2009","[]","25","eia/NG.RES_EPCCOND_R02_MMBBL.A","[]","[]"
"[NumberOfElements]","1973-01","[]","1","eia/NG.E_ERTW0_XWC0_C.M","[]","[]"
"[MillionsBarrels]","2009","[]","25","eia/NG.RES_EPCCOND_R08_MMBBL.A","[]","[]"
"[NumberOfElements]","1949","[]","1","eia/NG.E_ERTW0_XWCE_C.A","[]","[]"
"[Percent]","1989","[]","50","eia/NG.NA1562_4.A","[]","[]"
"[FeetPerWell]","1949","[]","1","eia/NG.E_ERTWO_XWDE_FW.A","[]","[]"
"[Percent]","1993","[]","52","eia/NG.NA1570_4.A","[]","[]"
"[BillionCubicFeet]","1979","[]","24","eia/NG.RNGR49_1.A","[]","[]"
"[MillionsBarrels]","2011","[]","1","eia/NG.RES_EPL0_R57_MMBBL.A","[]","[]"
"[DollarsPerFoot]","1960","[]","1","eia/NG.E_ERTW0_XWPN_DF.A","[]","[]"
"[ThousandFeet]","1949","[]","1","eia/NG.E_ERTWO_XWFE_MF.A","[]","[]"
"[MillionCubicFeet]","2013-01","[]","1","eia/NG.NGM_EPG0_SAC_MMCF.M","[]","[]"
"[MillionsBarrels]","1979","[]","23","eia/NG.RL2R07_1.A","[]","[]"
"[MillionCubicFeet]","1982","[]","13","eia/NG.NA1274_2.A","[]","[]"
"[DollarsPerThousandCubicFeet]","1989","[]","48","eia/NG.NA1570_3.A","[]","[]"
"[MillionCubicFeet]","1991-01","[]","34","eia/NG.N9011_2.M","[]","[]"
"[NumberOfElements]","1949","[]","1","eia/NG.E_ERTRR0_XR0_C.A","[]","[]"
"[MillionCubicFeet]","1973-01","[]","1","eia/NG.N9060_2.M","[]","[]"
"[MillionCubicFeet]","1988","[]","51","eia/NG.NA1570_2.A","[]","[]"
"[MillionCubicFeet]","1930","[]","11","eia/NG.NA1280_2.A","[]","[]"
"[BillionCubicFeet]","2000","[]","24","eia/NG.RNGR35_1.A","[]","[]"
"[MillionCubicFeet]","1973-01","[]","1","eia/NG.N9100_2.M","[]","[]"
"[MillionsBarrels]","1979","[]","23","eia/NG.RL2R08_1.A","[]","[]"
"[MillionCubicFeet]","2008","[]","32","eia/NG.NGA_EPG0_SACW0_MMCF.A","[]","[]"
"[MillionsBarrels]","2011","[]","1","eia/NG.RES_EPL0_R56_MMBBL.A","[]","[]"
"[MillionsBarrels]","2009","[]","21","eia/NG.RES_EPL0_R5607_MMBBL.A","[]","[]"
"[BillionCubicFeet]","1977","[]","24","eia/NG.RNGR13_1.A","[]","[]"
"[MillionCubicFeet]","2013-01","[]","1","eia/NG.NGM_EPG0_SAB_MMCF.M","[]","[]"
"[MillionCubicFeet]","1997","[]","1","eia/NG.N9170_2.A","[]","[]"
"[MillionCubicFeet]","1973-01","[]","52","eia/NG.N3010_2.M","[]","[]"
"[BillionCubicFeet]","1979","[]","24","eia/NG.RNGR32_1.A","[]","[]"
"[NumberOfElements]","1973-01","[]","1","eia/NG.E_ERTWO_XWCD_C.M","[]","[]"
"[MillionCubicFeet]","1930","[]","52","eia/NG.N3010_2.A","[]","[]"
"[BillionCubicFeet]","2011","[]","1","eia/NG.RES_EPG0_R40_BCF.A","[]","[]"
"[MillionsBarrels]","1979","[]","23","eia/NG.RL2R01_1.A","[]","[]"
"[NumberOfElements]","1997","[]","52","eia/NG.NA1508_8.A","[]","[]"
"[BillionCubicFeet]","2005","[]","18","eia/NG.RES_EPG0_R51_BCF.A","[]","[]"
"[BillionCubicFeet]","1979","[]","24","eia/NG.RNGR47_1.A","[]","[]"
"[BillionCubicFeet]","2011","[]","1","eia/NG.RES_EPG0_R44_BCF.A","[]","[]"
"[MillionCubicFeet]","2001-01","[]","1","eia/NG.N9140_2.M","[]","[]"
"[NumberOfElements]","2011","[]","32","eia/NG.NGM_EPG0_XDC_COUNT.A","[]","[]"
"[NumberOfElements]","1987-08","[]","1","eia/NG.E_ERTRRG_XR0_C.M","[]","[]"
"[Percent]","2007","[]","32","eia/NG.NGA_EPG0_VF9_PER.A","[]","[]"
"[ThousandFeet]","1949","[]","1","eia/NG.E_ERTW0_XWFD_MF.A","[]","[]"
"[BillionCubicFeet]","1980-01","[]","1","eia/NG.N9090_1.M","[]","[]"
"[ThousandDollarsPerWell]","1960","[]","1","eia/NG.E_ERTW0_XWWR_MDW.A","[]","[]"
"[MillionCubicFeet]","2021","[]","22","eia/NG.NGM_EPG0_FSS_MMCF.A","[]","[]"
"[DollarsPerThousandCubicFeet]","1997","[]","51","eia/NG.N3035_3.A","[]","[]"
"[DollarsPerThousandCubicFeet]","2001-01","[]","51","eia/NG.N3035_3.M","[]","[]"
"[BillionCubicFeet]","1979","[]","24","eia/NG.RNGR31_1.A","[]","[]"
"[DollarsPerThousandCubicFeet]","1983-10","[]","52","eia/NG.N3020_3.M","[]","[]"
"[Percent]","2002-01","[]","52","eia/NG.NA1504_4.M","[]","[]"
"[BillionCubicFeet]","2007","[]","21","eia/NG.RES_EPG0_R5302_BCF.A","[]","[]"
"[BillionCubicFeet]","2000","[]","24","eia/NG.RNGR15_1.A","[]","[]"
"[Percent]","1987","[]","52","eia/NG.N3020_4.A","[]","[]"
"[Percent]","1988-01","[]","52","eia/NG.N3020_4.M","[]","[]"
"[BillionCubicFeet]","2009","[]","21","eia/NG.RES_EPG0_R53R02_BCF.A","[]","[]"
"[MillionCubicFeet]","1994-01","[]","1","eia/NG.N5420_2.M","[]","[]"
"[BillionCubicFeet]","1979","[]","24","eia/NG.RNGR39_1.A","[]","[]"
"[MillionCubicFeet]","1988","[]","31","eia/NG.N5290_2.A","[]","[]"
"[NumberOfElements]","2013-03","[]","1","eia/NG.NGM_EPG0_SAD_COUNT.M","[]","[]"
"[MillionCubicFeet]","1980-01","[]","34","eia/NG.N9010_2.M","[]","[]"
"[MillionCubicFeet]","1999","[]","29","eia/NG.NA1391_2.A","[]","[]"
"[DollarsPerThousandCubicFeet]","1967","[]","51","eia/NG.NA1480_3.A","[]","[]"
