"observationPeriods","NumPlaces","MinDate","ScalingFactors","MeasurementMethods","StatVar","Units"
"[]","222","1980","[]","[]","eia/INTL.21-1-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","222","1980","[]","[]","eia/INTL.119-2-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","219","1980","[]","[]","eia/INTL.79-1-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","219","1980","[]","[]","eia/INTL.79-2-TJ.A","[Terajoule]"
"[]","220","1973","[]","[]","eia/INTL.54-2-TBPD.A","[ThousandBarrelsPerDay]"
"[]","222","1980","[]","[]","eia/INTL.12-2-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","219","1980","[]","[]","eia/INTL.33-12-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","222","1980","[]","[]","eia/INTL.119-4-TST.A","[ThousandShortTons]"
"[]","222","1980","[]","[]","eia/INTL.119-4-MT.A","[ThousandMetricTons]"
"[]","222","1980","[]","[]","eia/INTL.4418-2-QBTU.A","[QuadrillionBtu]"
"[]","219","1980","[]","[]","eia/INTL.27-7-MK.A","[MillionKilowatts]"
"[]","219","1980","[]","[]","eia/INTL.2890-12-BKWH.A","[BillionKilowatthours]"
"[]","219","1980","[]","[]","eia/INTL.117-12-QBTU.A","[QuadrillionBtu]"
"[]","222","1949","[]","[]","eia/INTL.1-8-MMTCD.A","[MillionMetricTonnesCarbonDioxide]"
"[]","8","1980-01","[]","[]","eia/INTL.54-2-TBPD.M","[ThousandBarrelsPerDay]"
"[]","36","1980-03","[]","[]","eia/INTL.54-2-TBPD.Q","[ThousandBarrelsPerDay]"
"[]","222","1980","[]","[]","eia/INTL.44-1-TJ.A","[Terajoule]"
"[]","222","1980","[]","[]","eia/INTL.11-2-TJ.A","[Terajoule]"
"[]","220","1980","[]","[]","eia/INTL.5-2-TJ.A","[Terajoule]"
"[]","222","1980","[]","[]","eia/INTL.26-2-BCM.A","[BillionCubicMeters]"
"[]","222","1980","[]","[]","eia/INTL.21-4-TJ.A","[Terajoule]"
"[]","14","1984-01","[]","[]","eia/INTL.781-3-TBPD.M","[ThousandBarrelsPerDay]"
"[]","221","2000","[]","[]","eia/INTL.116-7-MK.A","[MillionKilowatts]"
"[]","222","1980","[]","[]","eia/INTL.119-2-QBTU.A","[QuadrillionBtu]"
"[]","219","1980","[]","[]","eia/INTL.117-12-BKWH.A","[BillionKilowatthours]"
"[]","222","1980","[]","[]","eia/INTL.12-2-QBTU.A","[QuadrillionBtu]"
"[]","219","1980","[]","[]","eia/INTL.43-1-BCM.A","[BillionCubicMeters]"
"[]","219","1980","[]","[]","eia/INTL.117-12-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","219","1980","[]","[]","eia/INTL.29-12-BKWH.A","[BillionKilowatthours]"
"[]","219","2000","[]","[]","eia/INTL.81-2-QBTU.A","[QuadrillionBtu]"
"[]","219","1980","[]","[]","eia/INTL.35-12-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","220","1980","[]","[]","eia/INTL.13-3-TBPD.A","[ThousandBarrelsPerDay]"
"[]","220","1980","[]","[]","eia/INTL.62-2-TBPD.A","[ThousandBarrelsPerDay]"
"[]","219","1980","[]","[]","eia/INTL.2-9-BKWH.A","[BillionKilowatthours]"
"[]","219","1973","[]","[]","eia/INTL.55-1-TBPD.A","[ThousandBarrelsPerDay]"
"[]","14","1973","[]","[]","eia/INTL.5-5-MBBL.A","[MillionsBarrels]"
"[]","10","1980-01","[]","[]","eia/INTL.5-5-MBBL.M","[MillionsBarrels]"
