"Units","MeasurementMethods","ScalingFactors","NumPlaces","MinDate","observationPeriods","StatVar"
"[]","[]","[]","174","2007-01-01","[]","Daily_CapacityOutage_Nuclear_ForEnergyGeneration_AsAFractionOf_Capacity"
"[Megawatt]","[]","[]","174","2007-01-01","[]","Daily_CapacityOutage_Nuclear_ForEnergyGeneration"
"[Megawatt]","[]","[]","174","2007-01-01","[]","Daily_Capacity_Nuclear_ForEnergyGeneration"
