"StatVar","observationPeriods","MeasurementMethods","ScalingFactors","MinDate","Units","NumPlaces"
"Quarterly_Stock_Coal_ElectricUtility","[]","[]","[]","2008-03","[ShortTon]","40"
"Quarterly_Stock_Coal_CokePlants","[]","[]","[]","2000-03","[ShortTon]","10"
"Quarterly_Consumption_Coal_ElectricUtility","[]","[]","[]","2001-03","[ShortTon]","42"
"Annual_Consumption_Coal_CommercialAndInstitutional","[]","[]","[]","2000","[ShortTon]","36"
"Quarterly_Average_HeatContent_Coal_For_IndependentPowerProducers","[]","[]","[]","2008-03","[BtuPerPound]","34"
"Annual_Stock_Coal_OtherIndustrial","[]","[]","[]","2000","[ShortTon]","44"
"Annual_Average_SulfurContent_Coal_For_CommercialAndInstitutional","[]","[]","[100]","2000","[]","24"
"eia/COAL.PRICE_BY_RANK.SUB.A","[]","[]","[]","2001","[USDollarPerShortTon]","5"
"Quarterly_Average_Cost_Coal_ElectricUtility","[]","[]","[]","2008-03","[USDollarPerShortTon]","40"
"Quarterly_Receipt_Coal_ElectricPower","[]","[]","[]","2008-03","[ShortTon]","49"
"Annual_Stock_Coal_CommercialAndInstitutional","[]","[]","[]","2000","[ShortTon]","26"
"eia/COAL.PRICE_BY_RANK.ANT.A","[]","[]","[]","2001","[USDollarPerShortTon]","2"
"Annual_Average_Cost_Coal_ElectricUtilityCogen","[]","[]","[]","2008","[USDollarPerShortTon]","1"
"Annual_Average_AshContent_Coal_For_ElectricUtility","[]","[]","[100]","2008","[]","40"
"Annual_Average_HeatContent_Coal_For_ElectricUtility","[]","[]","[]","2008","[BtuPerPound]","39"
"Annual_Average_AshContent_Coal_For_CokePlants","[]","[]","[100]","2000","[]","11"
"Quarterly_Average_HeatContent_Coal_For_CommercialAndInstitutional","[]","[]","[]","2000-03","[BtuPerPound]","26"
"Quarterly_Receipt_Coal_ElectricUtilityCogen","[]","[]","[]","2008-03","[ShortTon]","24"
"Annual_Average_HeatContent_Coal_For_ElectricUtilityNonCogen","[]","[]","[]","2008","[BtuPerPound]","28"
"Annual_Average_Cost_Coal_CokePlants","[]","[]","[]","2000","[USDollarPerShortTon]","3"
"Quarterly_Average_Cost_Coal_CommercialAndInstitutional","[]","[]","[]","2000-03","[USDollarPerShortTon]","12"
"Quarterly_Average_SulfurContent_Coal_For_OtherIndustrial","[]","[]","[100]","2000-03","[]","45"
"Annual_Average_Cost_Coal_OtherIndustrial","[]","[]","[]","2000","[USDollarPerShortTon]","35"
"Annual_Average_SulfurContent_Coal_For_OtherIndustrial","[]","[]","[100]","2000","[]","45"
"Quarterly_Average_HeatContent_Coal_For_ElectricUtilityCogen","[]","[]","[]","2008-03","[BtuPerPound]","24"
"Quarterly_Average_SulfurContent_Coal_For_IndependentPowerProducers","[]","[]","[100]","2008-03","[]","35"
"Quarterly_Average_AshContent_Coal_For_CokePlants","[]","[]","[100]","2000-03","[]","11"
"Quarterly_Average_SulfurContent_Coal_For_ElectricPower","[]","[]","[100]","2008-03","[]","49"
"Annual_Receipt_Coal_ElectricPower","[]","[]","[]","2008","[ShortTon]","49"
"Annual_Average_HeatContent_Coal_For_OtherIndustrial","[]","[]","[]","2000","[BtuPerPound]","45"
"Quarterly_Average_HeatContent_Coal_For_ElectricPower","[]","[]","[]","2008-03","[BtuPerPound]","48"
"Annual_Average_SulfurContent_Coal_For_IndependentPowerProducers","[]","[]","[100]","2008","[]","38"
"Annual_Average_AshContent_Coal_For_OtherIndustrial","[]","[]","[100]","2000","[]","45"
"Quarterly_Consumption_Coal_ElectricUtilityCogen","[]","[]","[]","2001-03","[ShortTon]","27"
"Annual_Consumption_Coal_CokePlants","[]","[]","[]","2000","[ShortTon]","10"
"Annual_Stock_Coal_ElectricUtilityNonCogen","[]","[]","[]","2008","[ShortTon]","24"
"Annual_Average_SulfurContent_Coal_For_CokePlants","[]","[]","[100]","2000","[]","11"
"eia/COAL.PRICE_BY_RANK.TOT.A","[]","[]","[]","2001","[USDollarPerShortTon]","19"
"Quarterly_Stock_Coal_IndependentPowerProducers","[]","[]","[]","2008-03","[ShortTon]","33"
"Annual_Receipt_Coal_CokePlants","[]","[]","[]","2000","[ShortTon]","10"
"Annual_Average_Cost_Coal_ElectricUtilityNonCogen","[]","[]","[]","2008","[USDollarPerShortTon]","2"
"Quarterly_Average_Cost_Coal_CokePlants","[]","[]","[]","2000-03","[USDollarPerShortTon]","3"
