key,p1,v1,p2,v2,p3,v3
COUNTRY,observationAbout,country/{Data},,,,
Crude oil,fuelType,CrudeOil,populationType,Fuel,,
Natural gas,fuelType,NaturalGas,populationType,Fuel,,
Hard coal,fuelType,HardCoal,populationType,Fuel,,
Brown coal,fuelType,BrownCoal,populationType,Fuel,,
Iron-Ore,metalType,Iron,populationType,Metal,,
Copper,metalType,Copper,populationType,Metal,,
Zinc,metalType,ZincElement,populationType,Metal,,
Lead,metalType,Lead,populationType,Metal,,
Nickel,metalType,Nickel,populationType,Metal,,
Gold,metalType,Gold,populationType,Metal,,
Silver,metalType,Silver,populationType,Metal,,
Bauxite,metalType,Bauxite,populationType,Metal,,
Tin,metalType,Tin,populationType,Metal,,
Phosphate,metalType,Phosphate,populationType,Metal,,
Coal,fuelType,Coal,populationType,Fuel,,
Barrels,unit,Barrel,,,,
Cubic metres,unit,CubicMeter,,,,
Tonnes,unit,MetricTon,,,,
Year,observationDate,{Number},,,,
Value,value,{Number},,,,
Opening stock,measurementQualifier,OpeningStocks,measuredProperty,stocks,,
Upward reappraisals,measurementQualifier,UpwardReappraisals,measuredProperty,stocks,,
Total additions to stock,measurementQualifier,TotalAdditionsToStock,measuredProperty,stocks,,
Extractions,measurementQualifier,Extractions,measuredProperty,stocks,,
Total reductions in stock,measurementQualifier,TotalReductionsInStock,measuredProperty,stocks,,
Closing stock,measurementQualifier,ClosingStocks,measuredProperty,stocks,,
Discrepancies,measurementQualifier,Discrepancies,measuredProperty,stocks,,
Downward reappraisals,measurementQualifier,DownwardReappraisals,measuredProperty,stocks,,
Discoveries,measurementQualifier,Discoveries,measuredProperty,stocks,,
Reclassifications,measurementQualifier,Reclassifications,measuredProperty,stocks,,
Class A - Commercially recoverable resources,resourceType,CommerciallyRecoverableResources,,,,
Class B - Potentially commercially recoverable resources,resourceType,PotentiallyCommerciallyRecoverableResources,,,,
Class C - Non-commercial and other known deposits,resourceType,NonCommercialAndOtherDeposits,,,,
Class A+B - Commercially recoverable resources + potentially commercially recoverable resources,resourceType,CommerciallyRecoverableResources__PotentiallyCommerciallyRecoverableResources,,,,
Class B+C - Potentially commercially recoverable resources + non-commercial and other known deposits,resourceType,PotentiallyCommerciallyRecoverableResources__NonCommercialAndOtherDeposits,,,,
Class A+B+C - Commercially recoverable resources + potentially commercially recoverable resources + non-commercial and other known deposits,resourceType,CommerciallyRecoverableResources__PotentiallyCommerciallyRecoverableResources__NonCommercialAndOtherDeposits,,,,
