"StatVar","Units","MinDate","ScalingFactors","observationPeriods","MeasurementMethods","NumPlaces"
"Count_Person_18To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_18To64Years_Female","[Percent]","2000","[100]","[]","[EurostatRegionalStatistics]","512"
"Count_Person_25To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_25To64Years","[Percent]","2000","[100]","[]","[EurostatRegionalStatistics]","512"
"Count_Person_25To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_25To64Years_Male","[Percent]","2000","[100]","[]","[EurostatRegionalStatistics]","509"
"Count_Person_18To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_18To64Years","[Percent]","2000","[100]","[]","[EurostatRegionalStatistics]","512"
"Count_Person_18To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_18To64Years_Male","[Percent]","2000","[100]","[]","[EurostatRegionalStatistics]","512"
"Count_Person_25To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_25To64Years_Female","[Percent]","2000","[100]","[]","[EurostatRegionalStatistics]","511"
