Date,GeoId,MeanMothersAge_BirthEvent,MedianMothersAge_BirthEvent,FertilityRate_Person_Female
2014,country/ALB,27.8,26.6,1.74
2015,country/ALB,27.9,26.9,1.6
2016,country/ALB,28.1,27.1,1.54
2017,country/ALB,28.4,27.5,1.48
2018,country/ALB,28.6,27.7,1.38
2019,country/ALB,28.9,28.1,1.36
2020,country/ALB,29.0,28.3,1.34
2021,country/ALB,29.2,28.7,1.32
2022,country/ALB,29.5,29.1,1.21
2013,country/AUT,30.3,30.5,1.44
2014,country/AUT,30.4,30.6,1.46
2015,country/AUT,30.5,30.8,1.49
2016,country/AUT,30.6,30.8,1.53
2017,country/AUT,30.7,30.9,1.52
2018,country/AUT,30.8,31.1,1.48
2019,country/AUT,31.0,31.3,1.47
2020,country/AUT,31.0,31.3,1.44
2021,country/AUT,31.2,31.5,1.48
2022,country/AUT,31.1,31.5,1.42
2013,country/BEL,30.1,30.2,1.76
2014,country/BEL,30.3,30.3,1.74
2015,country/BEL,30.4,30.4,1.7
2016,country/BEL,30.4,30.5,1.69
2017,country/BEL,30.6,30.7,1.65
2018,country/BEL,30.7,30.8,1.62
2019,country/BEL,30.8,30.9,1.61
2020,country/BEL,30.8,31.0,1.56
2021,country/BEL,31.0,31.2,1.6
2022,country/BEL,31.1,31.3,1.53
2013,country/BGR,27.1,27.8,1.55
2014,country/BGR,27.3,28.1,1.62
2015,country/BGR,27.5,28.3,1.64
2016,country/BGR,27.6,28.5,1.67
2017,country/BGR,27.6,28.6,1.71
2018,country/BGR,27.6,28.8,1.73
2019,country/BGR,27.7,29.0,1.79
2020,country/BGR,27.8,29.1,1.77
2021,country/BGR,27.9,29.3,1.79
2022,country/BGR,28.1,29.3,1.65
2013,country/CHE,,31.9,
2014,country/CHE,31.7,32.0,1.54
2015,country/CHE,31.8,32.1,1.54
2016,country/CHE,31.8,32.2,1.55
2017,country/CHE,31.9,32.2,1.53
2018,country/CHE,32.0,32.4,1.52
2019,country/CHE,32.1,32.4,1.49
2020,country/CHE,32.1,32.5,1.47
2021,country/CHE,32.3,32.6,1.53
2022,country/CHE,32.3,32.7,1.4
2013,country/CYP,30.8,30.8,1.3
2014,country/CYP,30.9,30.9,1.32
2015,country/CYP,31.2,31.3,1.33
2016,country/CYP,31.4,31.5,1.37
2017,country/CYP,31.4,31.5,1.33
2018,country/CYP,31.5,31.7,1.33
2019,country/CYP,31.7,31.8,1.34
2020,country/CYP,31.7,31.9,1.37
2021,country/CYP,31.8,32.1,1.41
2022,country/CYP,31.5,32.0,1.38
2013,country/CZE,29.8,30.7,1.46
2014,country/CZE,29.9,30.8,1.53
2015,country/CZE,30.0,30.8,1.57
2016,country/CZE,29.9,30.8,1.63
2017,country/CZE,30.0,30.8,1.69
2018,country/CZE,30.1,30.9,1.71
2019,country/CZE,30.1,30.9,1.71
2020,country/CZE,30.2,31.0,1.75
2021,country/CZE,30.4,31.2,1.83
2022,country/CZE,30.4,31.2,1.64
2013,country/DEU,30.7,31.0,1.42
2014,country/DEU,30.9,31.2,1.48
2015,country/DEU,30.9,31.2,1.5
2016,country/DEU,30.9,31.2,1.6
2017,country/DEU,31.0,31.4,1.58
2018,country/DEU,31.1,31.5,1.57
2019,country/DEU,31.2,31.7,1.55
