"NumPlaces","StatVar","ScalingFactors","MeasurementMethods","Units","MinDate","observationPeriods"
"49","SampleSize_Count_LiveBirthPregnancyEvent_WithPrivateHealthInsurance_1MonthBeforePregnancy","[]","[]","[]","2016","[]"
"49","SampleSize_Count_LiveBirthPregnancyEvent_MaternalCheckup_Postpartum","[]","[]","[]","2016","[]"
"49","SampleSize_Count_LiveBirthPregnancyEvent_IntimatePartnerViolenceByCurrentOrExPartnerOrCurrentOrExHusband_12MonthsBeforePregnancy","[]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_NoHealthInsurance_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_IntimatePartnerViolenceByCurrentOrExPartnerOrCurrentOrExHusband_12MonthsBeforePregnancy_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"48","ConfidenceIntervalUpperLimit_Percent_LiveBirthPregnancyEvent_Smoking_Postpartum_Cigarettes_AsAFractionOf_Count_BirthEvent_LiveBirth","[]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_HookahUsage_Last2YearsBeforePregnancy_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"48","ConfidenceIntervalUpperLimit_Percent_LiveBirthPregnancyEvent_IntimatePartnerViolenceByCurrentOrExPartnerOrCurrentOrExHusband_DuringPregnancy_AsAFractionOf_Count_BirthEvent_LiveBirth","[]","[]","[]","2016","[]"
"49","Percent_LiveBirthPregnancyEvent_Smoking_3MonthsBeforePregnancy_Cigarettes_AsAFractionOf_Count_BirthEvent_LiveBirth","[100.0]","[]","[]","2016","[]"
"49","SampleSize_Count_LiveBirthPregnancyEvent_MaleOrFemaleSterilization","[]","[]","[]","2016","[]"
"48","ConfidenceIntervalUpperLimit_Percent_LiveBirthPregnancyEvent_NoHealthInsurance_AsAFractionOf_Count_BirthEvent_LiveBirth","[]","[]","[]","2016","[]"
"48","ConfidenceIntervalLowerLimit_Percent_LiveBirthPregnancyEvent_HookahUsage_Last2YearsBeforePregnancy_AsAFractionOf_Count_BirthEvent_LiveBirth","[]","[]","[]","2016","[]"
