place_name,dcid,placeId,name,alternateName,typeOf,containedInPlace
Mexico,country/MEX,,Mexico,United Mexican States,Country,"northamerica,Earth"
MX01,wikidataId/Q79952,,Aguascalientes,Estado de Aguascalientes,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX02,wikidataId/Q58731,,Baja California,Estado de Baja California,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX03,wikidataId/Q46508,,Baja California Sur,South Territory of Baja California,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX04,wikidataId/Q80908,,Campeche,Estado de cama,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX05,wikidataId/Q53079,,Coahuila,costilloa,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX06,wikidataId/Q61309,,Colima,Estado Libre y Soberano de Colima,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX07,wikidataId/Q60123,,Chiapas,,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX08,wikidataId/Q655,,Chihuahua,,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX09,wikidataId/Q1489,,Mexico City,Mexico D.F.,"AdministrativeArea1,City","country/MEX,Earth,northamerica"
MX10,wikidataId/Q79918,,Durango,Estado de Durango,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX11,wikidataId/Q46475,,Guanajuato,"Guanajuato, Mexico",AdministrativeArea1,"country/MEX,Earth,northamerica"
MX12,wikidataId/Q60158,,Guerrero,Free and Sovereign State of Guerrero,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX13,wikidataId/Q80903,,Hidalgo,Estado de Hidalgo,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX14,wikidataId/Q13160,,Jalisco,Jalisco State,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX15,wikidataId/Q82112,,Comején,,Place,"wikidataId/Q1010971,Earth,country/MEX,northamerica,wikidataId/Q60130"
MX16,wikidataId/Q79861,,Michoacán,"Michoacan, Mexico",AdministrativeArea1,"country/MEX,Earth,northamerica"
MX17,wikidataId/Q66117,,Morelos,Estado de Morelos,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX18,wikidataId/Q79920,,Nayarit,Estado de Nayarit,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX19,wikidataId/Q15282,,Nuevo León,Free and Sovereign State of Nuevo Leon,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX20,wikidataId/Q34110,,Oaxaca,Estado Libre y Soberano de Oaxaca.,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX21,wikidataId/Q79923,,Puebla,Estado de Puebla,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX22,wikidataId/Q79754,,Querétaro,Queretaro,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX23,wikidataId/Q80245,,Quintana Roo,Lila Yamilet,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX24,wikidataId/Q78980,,San Luis Potosí,San Luis Potosi,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX25,wikidataId/Q80252,,Sinaloa,Estado de Sinaloa,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX26,wikidataId/Q46422,,Sonora,Estado de Sonora,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX27,wikidataId/Q80914,,Tabasco,Tabasco State,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX28,wikidataId/Q80007,,Tamaulipas,Tamailipequinos,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX29,wikidataId/Q82681,,Tlaxcala,Tlaxcala no existe,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX30,wikidataId/Q60130,,Veracruz,,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX31,wikidataId/Q60176,,Yucatán,Yucatan State,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX32,wikidataId/Q80269,,Zacatecas,,AdministrativeArea1,"country/MEX,Earth,northamerica"
MX20262,wikidataId/Q985787,,,,,
MX21025,wikidataId/Q3893079,,,,,
MX10022,wikidataId/Q2651965,,,,,
MX30087,wikidataId/Q12816823,,,,,
MX01004,wikidataId/Q4288373,,,,,
MX20261,wikidataId/Q7414947,,,,,
MX16068,wikidataId/Q3889565,,,,,
MX28032,wikidataId/Q3849133,,,,,
MX09017,wikidataId/Q10832464,,,,,
MX21175,wikidataId/Q10826822,,,,,
MX20345,wikidataId/Q3846705,,,,,
MX16003,wikidataId/Q9098219,,,,,
MX05037,wikidataId/Q3846478,,,,,
MX07078,wikidataId/Q2884933,,,,,
MX20125,wikidataId/Q3846926,,,,,
MX30065,wikidataId/Q5371735,,,,,
MX30112,wikidataId/Q20270900,,,,,
MX20116,wikidataId/Q3891771,,,,,
MX29024,wikidataId/Q173191,,,,,
MX20545,wikidataId/Q3850283,,,,,
MX15032,wikidataId/Q2990981,,,,,
MX05029,wikidataId/Q3849700,,,,,
MX20412,wikidataId/Q3889202,,,,,
MX16055,wikidataId/Q5069566,,,,,
MX27001,wikidataId/Q2669506,,,,,
MX13078,wikidataId/Q3845537,,,,,
MX28010,wikidataId/Q3849188,,,,,
MX14110,wikidataId/Q3310791,,,,,
MX21101,wikidataId/Q6038880,,,,,
MX08001,wikidataId/Q2990979,,,,,
MX20546,wikidataId/Q5990601,,,,,
MX05002,wikidataId/Q3844637,,,,,
