srcStateName,srcDistrictName,Year,StateCode,StateName,DistrictCode,DistrictName,censusyear,CensusStateCode,CensusDistrictCode,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,JoinYear,NumberOfChildren,NumberOfParents,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFemaleMappingError%,TotalPopulationFemaleUrbanMappingError%,TotalPopulationFemaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,LandAreaMappingError%,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Himachal Pradesh,Sirmaur,2015-16,2,HIMACHAL PRADESH,24,SIRMAUR,2011,2,24,529855,57165,472690,276289,30114,246175,253566,27051,226515,98208,13121,85087,1914,222828,224742.109375,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Himachal Pradesh,Solan,2015-16,2,HIMACHAL PRADESH,25,SOLAN,2011,2,25,580320,102147,478173,308754,59018,249736,271566,43129,228437,122425,25915,96510,3378,177586,180963.859375,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Himachal Pradesh,Una,2015-16,2,HIMACHAL PRADESH,26,UNA,2011,2,26,521173,44913,476260,263692,23438,240254,257481,21475,236006,110332,9830,100502,2046,152875,154920.609375,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,Anantnag,2015-16,1,JAMMU AND KASHMIR,1,ANANTNAG,2011,1,1,1078692,282887,795805,559767,148755,411012,518925,134132,384793,153640,35992,117648,6053,67370.7,73423.7265625,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,Badgam,2015-16,1,JAMMU AND KASHMIR,2,Budgam,2011,1,2,744234,97912,646322,393179,54656,338523,351055,43256,307799,102063,13946,88117,4368,66317.8,70685.8203125,2015-16,1,1,0.78554418271431319600,0.000000000000000000000000,0.90282129749494154800,0.74741044264284332500,0.000000000000000000000000,0.86637447762715319500,0.82821671951960056700,0.000000000000000000000000,0.94287689471528062300,0.73817516906436539200,0.000000000000000000000000,0.85330529988704608700,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,Bandipore,2015-16,1,JAMMU AND KASHMIR,623,BANDIPORA,2011,1,623,392232,65361,326871,207680,35417,172263,184552,29944,154608,58392,9598,48794,4963,29523.9,34486.896484375,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,Baramula,2015-16,1,JAMMU AND KASHMIR,3,BARAMULLA,2011,1,3,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.3,104339.284362793,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,Doda,2015-16,1,JAMMU AND KASHMIR,4,DODA,2011,1,4,409936,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134385,136359.84375,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,Ganderbal,2015-16,1,JAMMU AND KASHMIR,626,GANDERBAL,2011,1,626,297446,47039,250407,158720,25005,133715,138726,22034,116692,45361,6966,38395,2540,23437.1,25977.091796875,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,Jammu,2015-16,1,JAMMU AND KASHMIR,5,JAMMU,2011,1,5,1529958,765013,764945,813821,412218,401603,716137,352795,363342,314199,154908,159291,25213,219058,244271.03125,2015-16,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
