ochaPCode,name
BD10,"Barisal Division, Bangladesh"
BD20,"Chittagong Division, Bangladesh"
BD30,"Dhaka Division, Bangladesh"
BD40,"Khulna Division, Bangladesh"
BD45,"Mymensingh Division, Bangladesh"
BD50,"Rajshahi Division, Bangladesh"
BD55,"Rangpur Division, Bangladesh"
BD60,"Sylhet Division, Bangladesh"
BD4001,"Bagerhat District, Bangladesh"
BD2003,"Bandarban District, Bangladesh"
BD1004,"Barguna District, Bangladesh"
BD1006,"Barisal District, Bangladesh"
BD1009,"Bhola District, Bangladesh"
BD5010,"Bogra District, Bangladesh"
BD2012,"Brahamanbaria District, Bangladesh"
BD2013,"Chandpur District, Bangladesh"
BD2015,"Chittagong District, Bangladesh"
BD4018,"Chuadanga District, Bangladesh"
BD2019,"Comilla District, Bangladesh"
BD2022,"Cox's Bazar District, Bangladesh"
BD3026,"Dhaka District, Bangladesh"
BD5527,"Dinajpur District, Bangladesh"
BD3029,"Faridpur District, Bangladesh"
BD2030,"Feni District, Bangladesh"
BD5532,"Gaibandha District, Bangladesh"
BD3033,"Gazipur District, Bangladesh"
BD3035,"Gopalganj District, Bangladesh"
BD6036,"Habiganj District, Bangladesh"
BD4539,"Jamalpur District, Bangladesh"
BD4041,"Jessore District, Bangladesh"
BD1042,"Jhalokati District, Bangladesh"
BD4044,"Jhenaidah District, Bangladesh"
BD5038,"Joypurhat District, Bangladesh"
BD2046,"Khagrachhari District, Bangladesh"
BD4047,"Khulna District, Bangladesh"
BD3048,"Kishoreganj District, Bangladesh"
BD5549,"Kurigram District, Bangladesh"
BD4050,"Kushtia District, Bangladesh"
BD2051,"Lakshmipur District, Bangladesh"
BD5552,"Lalmonirhat District, Bangladesh"
BD3054,"Madaripur District, Bangladesh"
BD4055,"Magura District, Bangladesh"
BD3056,"Manikganj District, Bangladesh"
BD6058,"Maulvibazar District, Bangladesh"
BD4057,"Meherpur District, Bangladesh"
BD3059,"Munshiganj District, Bangladesh"
BD4561,"Mymensingh District, Bangladesh"
BD5064,"Naogaon District, Bangladesh"
BD4065,"Narail District, Bangladesh"
BD3067,"Narayanganj District, Bangladesh"
BD3068,"Narsingdi District, Bangladesh"
BD5069,"Natore District, Bangladesh"
BD5070,"Nawabganj District, Bangladesh"
BD4572,"Netrakona District, Bangladesh"
BD5573,"Nilphamari District, Bangladesh"
BD2075,"Noakhali District, Bangladesh"
BD5076,"Pabna District, Bangladesh"
BD5577,"Panchagarh District, Bangladesh"
BD1078,"Patuakhali District, Bangladesh"
BD1079,"Pirojpur District, Bangladesh"
BD3082,"Rajbari District, Bangladesh"
BD5081,"Rajshahi District, Bangladesh"
BD2084,"Rangamati District, Bangladesh"
BD5585,"Rangpur District, Bangladesh"
BD4087,"Satkhira District, Bangladesh"
BD3086,"Shariatpur District, Bangladesh"
BD4589,"Sherpur District, Bangladesh"
BD5088,"Sirajganj District, Bangladesh"
BD6090,"Sunamganj District, Bangladesh"
BD6091,"Sylhet District, Bangladesh"
BD3093,"Tangail District, Bangladesh"
BD5594,"Thakurgaon District, Bangladesh"
NP0769,"Achham District, Nepal"
NP0550,"Arghakhanchi District, Nepal"
NP0443,"Baglung District, Nepal"
NP0774,"Baitadi District, Nepal"
NP0767,"Bajhang District, Nepal"
NP0768,"Bajura District, Nepal"
NP0557,"Banke District, Nepal"
NP0233,"Bara District, Nepal"
NP0558,"Bardiya District, Nepal"
NP0326,"Bhaktapur District, Nepal"
NP0110,"Bhojpur District, Nepal"
NP0335,"Chitawan District, Nepal"
NP0773,"Dadeldhura District, Nepal"
NP0661,"Dailekh District, Nepal"
NP0556,"Dang District, Nepal"
NP0775,"Darchula District, Nepal"
NP0330,"Dhading District, Nepal"
NP0107,"Dhankuta District, Nepal"
NP0217,"Dhanusha District, Nepal"
NP0322,"Dolakha District, Nepal"
NP0662,"Dolpa District, Nepal"
NP0770,"Doti District, Nepal"
NP0436,"Gorkha District, Nepal"
NP0551,"Gulmi District, Nepal"
NP0666,"Humla District, Nepal"
NP0103,"Ilam District, Nepal"
NP0660,"Jajarkot District, Nepal"
NP0104,"Jhapa District, Nepal"
NP0663,"Jumla District, Nepal"
NP0324,"Kabhrepalanchok District, Nepal"
NP0771,"Kailali District, Nepal"
NP0664,"Kalikot District, Nepal"
NP0772,"Kanchanpur District, Nepal"
NP0549,"Kapilbastu District, Nepal"
NP0439,"Kaski District, Nepal"
NP0327,"Kathmandu District, Nepal"
NP0112,"Khotang District, Nepal"
NP0325,"Lalitpur District, Nepal"
NP0437,"Lamjung District, Nepal"
NP0218,"Mahottari District, Nepal"
NP0331,"Makawanpur District, Nepal"
NP0438,"Manang District, Nepal"
NP0105,"Morang District, Nepal"
NP0665,"Mugu District, Nepal"
NP0445,"Mustang District, Nepal"
NP0444,"Myagdi District, Nepal"
NP0447,"Nawalparasi East District, Nepal"
NP0547,"Nawalparasi West District, Nepal"
NP0328,"Nuwakot District, Nepal"
NP0113,"Okhaldhunga District, Nepal"
NP0546,"Palpa District, Nepal"
NP0102,"Panchthar District, Nepal"
NP0442,"Parbat District, Nepal"
NP0234,"Parsa District, Nepal"
NP0555,"Pyuthan District, Nepal"
NP0321,"Ramechhap District, Nepal"
NP0329,"Rasuwa District, Nepal"
NP0232,"Rautahat District, Nepal"
NP0554,"Rolpa District, Nepal"
NP0552,"Rukum East District, Nepal"
NP0652,"Rukum West District, Nepal"
NP0548,"Rupandehi District, Nepal"
NP0653,"Salyan District, Nepal"
NP0109,"Sankhuwasabha District, Nepal"
NP0215,"Saptari District, Nepal"
NP0219,"Sarlahi District, Nepal"
NP0320,"Sindhuli District, Nepal"
NP0323,"Sindhupalchok District, Nepal"
NP0216,"Siraha District, Nepal"
NP0111,"Solukhumbu District, Nepal"
NP0106,"Sunsari District, Nepal"
NP0659,"Surkhet District, Nepal"
NP0441,"Syangja District, Nepal"
NP0440,"Tanahu District, Nepal"
NP0101,"Taplejung District, Nepal"
NP0108,"Terhathum District, Nepal"
NP0114,"Udayapur District, Nepal"
NP01,"Province 1 Province, Nepal"
NP02,"Province 2 Province, Nepal"
NP03,"Bagmati Province, Nepal"
NP04,"Gandaki Province, Nepal"
NP05,"Lumbini Province, Nepal"
NP06,"Karnali Province, Nepal"
NP07,"Sudurpaschim Province, Nepal"
PK7,"Balochistan Province, Pakistan"
PK5,"Federal Capital Territory Province, Pakistan"
PK2,"Khyber Pakhtunkhwa Province, Pakistan"
PK6,"Punjab Province, Pakistan"
PK8,"Sindh Province, Pakistan"
PK201,"Abbottabad District, Pakistan"
PK601,"Attock District, Pakistan"
PK701,"Awaran District, Pakistan"
PK801,"Badin District, Pakistan"
PK602,"Bahawalnagar District, Pakistan"
PK603,"Bahawalpur District, Pakistan"
PK232,"Bajaur District, Pakistan"
PK202,"Bannu District, Pakistan"
PK702,"Barkhan District, Pakistan"
PK203,"Batagram District, Pakistan"
PK604,"Bhakkar District, Pakistan"
PK204,"Buner District, Pakistan"
PK704,"Chagai District, Pakistan"
PK605,"Chakwal District, Pakistan"
PK205,"Charsadda District, Pakistan"
PK606,"Chiniot District, Pakistan"
PK206,"Chitral District, Pakistan"
PK802,"Dadu District, Pakistan"
PK705,"Dera Bugti District, Pakistan"
PK607,"Dera Ghazi Khan District, Pakistan"
PK207,"Dera Ismail Khan District, Pakistan"
PK608,"Faisalabad District, Pakistan"
PK239,"FR Bannu District, Pakistan"
PK240,"FR Dera Ismail Khan District, Pakistan"
PK241,"FR Kohat District, Pakistan"
PK242,"FR Lakki Marwat District, Pakistan"
PK243,"FR Peshawar District, Pakistan"
PK244,"FR Tank District, Pakistan"
PK803,"Ghotki District, Pakistan"
PK609,"Gujranwala District, Pakistan"
PK610,"Gujrat District, Pakistan"
PK706,"Gwadar District, Pakistan"
PK611,"Hafizabad District, Pakistan"
PK208,"Hangu District, Pakistan"
PK209,"Haripur District, Pakistan"
PK707,"Harnai District, Pakistan"
PK804,"Hyderabad District, Pakistan"
PK501,"Islamabad District, Pakistan"
PK805,"Jacobabad District, Pakistan"
PK708,"Jaffarabad District, Pakistan"
PK806,"Jamshoro District, Pakistan"
PK709,"Jhal Magsi District, Pakistan"
PK612,"Jhang District, Pakistan"
