ochaPCode,name,dcid,errors
BD10,"Barisal Division, Bangladesh",wikidataId/Q459723,
BD20,"Chittagong Division, Bangladesh",wikidataId/Q158087,
BD30,"Dhaka Division, Bangladesh",wikidataId/Q330158,
BD40,"Khulna Division, Bangladesh",wikidataId/Q501696,
BD45,"Mymensingh Division, Bangladesh",wikidataId/Q19594930,
BD50,"Rajshahi Division, Bangladesh",wikidataId/Q379382,
BD55,"Rangpur Division, Bangladesh",wikidataId/Q876023,
BD60,"Sylhet Division, Bangladesh",wikidataId/Q459732,
BD4001,"Bagerhat District, Bangladesh",wikidataId/Q2344861,
BD2003,"Bandarban District, Bangladesh",wikidataId/Q806273,
BD1004,"Barguna District, Bangladesh",wikidataId/Q808172,
BD1006,"Barisal District, Bangladesh",wikidataId/Q1763301,
BD1009,"Bhola District, Bangladesh",wikidataId/Q855042,
BD5010,"Bogra District, Bangladesh",wikidataId/Q2039066,
BD2012,"Brahamanbaria District, Bangladesh",wikidataId/Q897330,
BD2013,"Chandpur District, Bangladesh",wikidataId/Q1429697,
BD2015,"Chittagong District, Bangladesh",wikidataId/Q1074991,
BD4018,"Chuadanga District, Bangladesh",wikidataId/Q2094570,
BD2019,"Comilla District, Bangladesh",wikidataId/Q1480778,
BD2022,"Cox's Bazar District, Bangladesh",wikidataId/Q1122278,
BD3026,"Dhaka District, Bangladesh",wikidataId/Q1850485,
BD5527,"Dinajpur District, Bangladesh",wikidataId/Q1985120,
BD3029,"Faridpur District, Bangladesh",wikidataId/Q2093552,
BD2030,"Feni District, Bangladesh",wikidataId/Q1404741,
BD5532,"Gaibandha District, Bangladesh",wikidataId/Q2344595,
BD3033,"Gazipur District, Bangladesh",wikidataId/Q2094101,
BD3035,"Gopalganj District, Bangladesh",wikidataId/Q1537813,
BD6036,"Habiganj District, Bangladesh",wikidataId/Q1438974,
BD4539,"Jamalpur District, Bangladesh",wikidataId/Q2039306,
BD4041,"Jessore District, Bangladesh",wikidataId/Q1862981,
BD1042,"Jhalokati District, Bangladesh",wikidataId/Q2093327,
BD4044,"Jhenaidah District, Bangladesh",wikidataId/Q2188750,
BD5038,"Joypurhat District, Bangladesh",wikidataId/Q2348146,
BD2046,"Khagrachhari District, Bangladesh",wikidataId/Q1429685,
BD4047,"Khulna District, Bangladesh",wikidataId/Q2093344,
BD3048,"Kishoreganj District, Bangladesh",wikidataId/Q2344833,
BD5549,"Kurigram District, Bangladesh",wikidataId/Q2348751,
BD4050,"Kushtia District, Bangladesh",wikidataId/Q956895,
BD2051,"Lakshmipur District, Bangladesh",wikidataId/Q1550252,
BD5552,"Lalmonirhat District, Bangladesh",wikidataId/Q2373734,
BD3054,"Madaripur District, Bangladesh",wikidataId/Q928836,
BD4055,"Magura District, Bangladesh",wikidataId/Q2039085,
BD3056,"Manikganj District, Bangladesh",wikidataId/Q2024719,
BD6058,"Maulvibazar District, Bangladesh",wikidataId/Q281435,
BD4057,"Meherpur District, Bangladesh",wikidataId/Q1474206,
BD3059,"Munshiganj District, Bangladesh",wikidataId/Q1990519,
BD4561,"Mymensingh District, Bangladesh",wikidataId/Q1429976,
BD5064,"Naogaon District, Bangladesh",wikidataId/Q2094277,
BD4065,"Narail District, Bangladesh",wikidataId/Q1550260,
BD3067,"Narayanganj District, Bangladesh",wikidataId/Q2208354,
BD3068,"Narsingdi District, Bangladesh",wikidataId/Q2042638,
BD5069,"Natore District, Bangladesh",wikidataId/Q2093361,
BD5070,"Nawabganj District, Bangladesh",wikidataId/Q46043,
BD4572,"Netrakona District, Bangladesh",wikidataId/Q2344966,
BD5573,"Nilphamari District, Bangladesh",wikidataId/Q2188627,
BD2075,"Noakhali District, Bangladesh",wikidataId/Q68585,
BD5076,"Pabna District, Bangladesh",wikidataId/Q1083505,
BD5577,"Panchagarh District, Bangladesh",wikidataId/Q2367822,
BD1078,"Patuakhali District, Bangladesh",wikidataId/Q1429761,
BD1079,"Pirojpur District, Bangladesh",wikidataId/Q609190,
BD3082,"Rajbari District, Bangladesh",wikidataId/Q2348762,
BD5081,"Rajshahi District, Bangladesh",wikidataId/Q2344697,
BD2084,"Rangamati District, Bangladesh",wikidataId/Q2121686,
BD5585,"Rangpur District, Bangladesh",wikidataId/Q2344570,
BD4087,"Satkhira District, Bangladesh",wikidataId/Q1233680,
BD3086,"Shariatpur District, Bangladesh",wikidataId/Q253007,
BD4589,"Sherpur District, Bangladesh",wikidataId/Q2039314,
BD5088,"Sirajganj District, Bangladesh",wikidataId/Q2429432,
BD6090,"Sunamganj District, Bangladesh",wikidataId/Q2093388,
BD6091,"Sylhet District, Bangladesh",wikidataId/Q459732,
BD3093,"Tangail District, Bangladesh",wikidataId/Q952184,
BD5594,"Thakurgaon District, Bangladesh",wikidataId/Q2367825,
NP0769,"Achham District, Nepal",wikidataId/Q28426,
NP0550,"Arghakhanchi District, Nepal",wikidataId/Q28432,
NP0443,"Baglung District, Nepal",wikidataId/Q28162,
NP0774,"Baitadi District, Nepal",wikidataId/Q28076,
NP0767,"Bajhang District, Nepal",wikidataId/Q28592,
NP0768,"Bajura District, Nepal",wikidataId/Q28071,
NP0557,"Banke District, Nepal",wikidataId/Q28447,
NP0233,"Bara District, Nepal",wikidataId/Q28608,
NP0558,"Bardiya District, Nepal",wikidataId/Q28458,
NP0326,"Bhaktapur District, Nepal",wikidataId/Q28451,
NP0110,"Bhojpur District, Nepal",wikidataId/Q2284812,
NP0335,"Chitawan District, Nepal",wikidataId/Q28583,
NP0773,"Dadeldhura District, Nepal",wikidataId/Q28594,
NP0661,"Dailekh District, Nepal",wikidataId/Q28443,
NP0556,"Dang District, Nepal",wikidataId/Q28066,
NP0775,"Darchula District, Nepal",wikidataId/Q28601,
NP0330,"Dhading District, Nepal",wikidataId/Q28454,
NP0107,"Dhankuta District, Nepal",wikidataId/Q28081,
NP0217,"Dhanusha District, Nepal",wikidataId/Q29036,
NP0322,"Dolakha District, Nepal",wikidataId/Q28621,
NP0662,"Dolpa District, Nepal",wikidataId/Q28610,
NP0770,"Doti District, Nepal",wikidataId/Q28600,
NP0436,"Gorkha District, Nepal",wikidataId/Q28476,
NP0551,"Gulmi District, Nepal",wikidataId/Q28572,
NP0666,"Humla District, Nepal",wikidataId/Q28623,
NP0103,"Ilam District, Nepal",wikidataId/Q29016,
NP0660,"Jajarkot District, Nepal",wikidataId/Q29430,
NP0104,"Jhapa District, Nepal",wikidataId/Q28160,
NP0663,"Jumla District, Nepal",wikidataId/Q28619,
NP0324,"Kabhrepalanchok District, Nepal",wikidataId/Q28569,
NP0771,"Kailali District, Nepal",wikidataId/Q28153,
NP0664,"Kalikot District, Nepal",wikidataId/Q28102,
NP0772,"Kanchanpur District, Nepal",wikidataId/Q28981,
NP0549,"Kapilbastu District, Nepal",wikidataId/Q28574,Missing dcid for placeId ChIJzUvChrT6ljkRQFGK03G0030
NP0439,"Kaski District, Nepal",wikidataId/Q28436,
NP0327,"Kathmandu District, Nepal",wikidataId/Q797472,
NP0112,"Khotang District, Nepal",wikidataId/Q28599,
NP0325,"Lalitpur District, Nepal",wikidataId/Q1108338,
NP0437,"Lamjung District, Nepal",wikidataId/Q29275,
NP0218,"Mahottari District, Nepal",wikidataId/Q28618,
NP0331,"Makawanpur District, Nepal",wikidataId/Q28174,
NP0438,"Manang District, Nepal",wikidataId/Q28434,
NP0105,"Morang District, Nepal",wikidataId/Q28083,
NP0665,"Mugu District, Nepal",wikidataId/Q28593,
NP0445,"Mustang District, Nepal",wikidataId/Q2239575,
NP0444,"Myagdi District, Nepal",wikidataId/Q28624,
NP0447,"Nawalparasi East District, Nepal",wikidataId/Q50822475,
NP0547,"Nawalparasi West District, Nepal",wikidataId/Q50824791,
NP0328,"Nuwakot District, Nepal",wikidataId/Q28430,
NP0113,"Okhaldhunga District, Nepal",wikidataId/Q29026,
NP0546,"Palpa District, Nepal",wikidataId/Q28440,
NP0102,"Panchthar District, Nepal",wikidataId/Q28155,
NP0442,"Parbat District, Nepal",wikidataId/Q28421,
NP0234,"Parsa District, Nepal",wikidataId/Q28625,
NP0555,"Pyuthan District, Nepal",wikidataId/Q28094,Missing dcid for placeId ChIJBeOw7ojKlzkRc7WOa0daOTM
NP0321,"Ramechhap District, Nepal",wikidataId/Q28611,
NP0329,"Rasuwa District, Nepal",wikidataId/Q28605,
NP0232,"Rautahat District, Nepal",wikidataId/Q28098,
NP0554,"Rolpa District, Nepal",wikidataId/Q28597,
NP0552,"Rukum East District, Nepal",wikidataId/Q51844688,
NP0652,"Rukum West District, Nepal",wikidataId/Q53018063,
NP0548,"Rupandehi District, Nepal",wikidataId/Q28438,
NP0653,"Salyan District, Nepal",wikidataId/Q28571,
NP0109,"Sankhuwasabha District, Nepal",wikidataId/Q28596,
NP0215,"Saptari District, Nepal",wikidataId/Q28613,
NP0219,"Sarlahi District, Nepal",wikidataId/Q28074,
NP0320,"Sindhuli District, Nepal",wikidataId/Q28586,
NP0323,"Sindhupalchok District, Nepal",wikidataId/Q28445,
NP0216,"Siraha District, Nepal",wikidataId/Q28088,
NP0111,"Solukhumbu District, Nepal",wikidataId/Q28363,
NP0106,"Sunsari District, Nepal",wikidataId/Q28157,
NP0659,"Surkhet District, Nepal",wikidataId/Q28589,
NP0441,"Syangja District, Nepal",wikidataId/Q28448,
NP0440,"Tanahu District, Nepal",wikidataId/Q28446,
NP0101,"Taplejung District, Nepal",wikidataId/Q28590,
NP0108,"Terhathum District, Nepal",wikidataId/Q28585,
NP0114,"Udayapur District, Nepal",wikidataId/Q28582,
NP01,"Province 1 Province, Nepal",wikidataId/Q25104008,Missing dcid for placeId ChIJJTMWst7W6DkRYeNF5qo7HsY
NP02,"Province 2 Province, Nepal",wikidataId/Q25104009,Missing dcid for placeId ChIJ3VcY0zB-7DkR4ZeNT1Gt-QQ
NP03,"Bagmati Province, Nepal",wikidataId/Q25104015,
NP04,"Gandaki Province, Nepal",wikidataId/Q25104016,
NP05,"Lumbini Province, Nepal",wikidataId/Q25104014,
NP06,"Karnali Province, Nepal",wikidataId/Q25104017,
NP07,"Sudurpaschim Province, Nepal",wikidataId/Q25104019,Missing dcid for placeId ChIJm4QKVy1ZoTkR6IGi80pLKog
PK7,"Balochistan Province, Pakistan",wikidataId/Q163239,
PK5,"Federal Capital Territory Province, Pakistan",wikidataId/Q848613,
PK2,"Khyber Pakhtunkhwa Province, Pakistan",wikidataId/Q183314,
PK6,"Punjab Province, Pakistan",wikidataId/Q4478,
PK8,"Sindh Province, Pakistan",wikidataId/Q37211,
PK201,"Abbottabad District, Pakistan",wikidataId/Q306799,
PK601,"Attock District, Pakistan",wikidataId/Q2283119,
PK701,"Awaran District, Pakistan",wikidataId/Q250800,
PK801,"Badin District, Pakistan",wikidataId/Q2347462,
PK602,"Bahawalnagar District, Pakistan",wikidataId/Q2315465,
PK603,"Bahawalpur District, Pakistan",wikidataId/Q2281250,
PK232,"Bajaur District, Pakistan",wikidataId/Q804133,
PK202,"Bannu District, Pakistan",wikidataId/Q3030995,
PK702,"Barkhan District, Pakistan",wikidataId/Q250810,
PK203,"Batagram District, Pakistan",wikidataId/Q3240074,
