"observationPeriods","StatVar","ScalingFactors","MinDate","MeasurementMethods","NumPlaces","Units"
"[]","Count_Person","[]","1935","[]","22","[]"
"[]","Count_Person_Rural","[]","1935","[]","22","[]"
"[]","Count_Person_Urban","[]","1935","[]","22","[]"
