"Units","MinDate","StatVar","observationPeriods","MeasurementMethods","NumPlaces","ScalingFactors"
"[]","1935","Count_Person","[]","[]","1","[]"
"[]","1935","Count_Person_Female","[]","[]","1","[]"
"[]","1935","Count_Person_Male","[]","[]","1","[]"
"[]","1956","Count_Person_Rural","[]","[]","1","[]"
"[]","1956","Count_Person_Urban","[]","[]","1","[]"
