"ScalingFactors","NumPlaces","Units","observationPeriods","StatVar","MeasurementMethods","MinDate"
"[]","1","[]","[]","Count_Person_60To69Years_Male_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Female_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Female_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Male_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Female","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Male_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Female_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_Male_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Female_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Male_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Female_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Female_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Female_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Male_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Male_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Male_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Female_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_Female_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Female_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Female_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Male_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_Female_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Female_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Female_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Male_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Female_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Male_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Male_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Male_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_Male_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Male_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Male_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Female","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Female_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_Female_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Male_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Female","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Male_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Male_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Male","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_Female","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Male","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Female","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Male","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Male","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Female_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Male","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_NowMarried","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Female_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Female","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Male_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","dc/70zj83ev915f8","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Female_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years_Female_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_DivorcedOrSeparated","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_20To29Years","[]","1969"
"[]","1","[]","[]","Count_Person_15OrMoreYears_Male","[]","1969"
"[]","1","[]","[]","Count_Person_50To59Years_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_30To39Years_Unmarried","[]","1969"
"[]","1","[]","[]","Count_Person_Male_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_40To49Years_Widowed","[]","1969"
"[]","1","[]","[]","Count_Person_60To69Years_Male_DivorcedOrSeparated","[]","1969"
