"observationPeriods","Units","MeasurementMethods","StatVar","NumPlaces","ScalingFactors","MinDate"
"[]","[]","[]","Count_Person_25To29Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_55To59Years","1","[]","1956"
"[]","[]","[]","Count_Person_50To54Years","1","[]","1956"
"[]","[]","[]","Count_Person_0To4Years","1","[]","1956"
"[]","[]","[]","Count_Person_25To29Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_15To19Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_5To9Years","1","[]","1956"
"[]","[]","[]","Count_Person_5To9Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_50To54Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_35To39Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_70OrMoreYears","1","[]","1956"
"[]","[]","[]","Count_Person_45To49Years","1","[]","1956"
"[]","[]","[]","Count_Person_0To4Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_5To9Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_70OrMoreYears_Female","1","[]","1956"
"[]","[]","[]","Count_Person_10To14Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_45To49Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_35To39Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_30To34Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_40To44Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_60To64Years","1","[]","1956"
"[]","[]","[]","Count_Person_70OrMoreYears_Male","1","[]","1956"
"[]","[]","[]","Count_Person_40To44Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_20To24Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_65To69Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_10To14Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_35To39Years","1","[]","1956"
"[]","[]","[]","Count_Person_45To49Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_50To54Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_20To24Years","1","[]","1956"
"[]","[]","[]","Count_Person_10To14Years","1","[]","1956"
"[]","[]","[]","Count_Person_60To64Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_15To19Years","1","[]","1956"
"[]","[]","[]","Count_Person_65To69Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_30To34Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_25To29Years","1","[]","1956"
"[]","[]","[]","Count_Person_55To59Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_55To59Years_Male","1","[]","1956"
"[]","[]","[]","Count_Person_60To64Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_15To19Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_30To34Years","1","[]","1956"
"[]","[]","[]","Count_Person_65To69Years","1","[]","1956"
"[]","[]","[]","Count_Person_20To24Years_Female","1","[]","1956"
"[]","[]","[]","Count_Person_40To44Years","1","[]","1956"
"[]","[]","[]","Count_Person_0To4Years_Male","1","[]","1956"
