DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2009,10.5,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2010,9.8,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2011,9.5,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2012,9.6,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2013,10.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2014,10.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2015,10.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2016,10.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2017,9.1,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2018,9.8,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2019,8.1,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2020,10.6,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2021,11.3,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2022,9.5,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2023,10.7,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2024,10.1,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,AT,2025,10.8,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BA,2021,44.5,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BA,2022,42.1,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BA,2023,33.2,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BA,2024,35.6,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BA,2025,37.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BE,2009,22.6,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BE,2010,22.4,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BE,2011,18.9,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BE,2012,19.0,,
ESTAT:UNE_RT_A(1.0),29/04/26 23:00:00,A,Y15-24,PC_ACT,F,BE,2013,22.5,,
