key,prop,value,,,,,,,,,,,,,,,,,,,,
State/Union Territory,observationAbout,{Data},,,,,,,,,,,,,,,,,,,,
State/Union Territory/Zone,observationAbout,{Data},,,,,,,,,,,,,,,,,,,,
Thousand Hectares,unit,Hectare,#Multiply,1000,,,,,,,,,,,,,,,,,,
NET IRRIGATED AREA,populationType,LandCover,measuredProperty,area,landCoverType,IrrigatedLand,statType,netValue,,,name,"""Net irrigated area""",,,,,,,,,,
TABLE 55: STATE-WISE PATTERN OF LAND USE - GROSS SOWN AREA,populationType,LandCover,measuredProperty,area,landCoverType,Cropland,statType,grossValue,,,name,"""Gross sown area""",,,,,,,,,,
TABLE 56: STATE-WISE PATTERN OF LAND USE - NET SOWN AREA,,,,,,,,,populationType,LandCover,measuredProperty,area,landCoverType,Cropland,statType,netValue,,,name,"""Net sown area""",,
TABLE 57: STATE-WISE PATTERN OF LAND USE - GROSS IRRIGATED AREA,populationType,LandCover,measuredProperty,area,landCoverType,IrrigatedLand,statType,grossValue,,,name,"""Gross irrigated area""",,,,,,,,,,
TABLE 58: STATE-WISE PATTERN OF LAND USE - NET IRRIGATED AREA,populationType,LandCover,measuredProperty,area,landCoverType,IrrigatedLand,statType,netValue,,,name,"""Net irrigated area""",,,,,,,,,,
TABLE 59: STATE-WISE PATTERN OF LAND USE - CROPPING INTENSITY#,populationType,LandCover,measuredProperty,area,landCoverType,Cropland,statType,grossValue,measurementDenominator,",+statType=netValue",name,"""Cropping intensity""",unit,Percent,scalingFactor,100,,,,,,
TABLE 59: STATE-WISE PATTERN OF LAND USE - CROPPING INTENSITY,populationType,LandCover,measuredProperty,area,landCoverType,Cropland,statType,grossValue,measurementDenominator,",+statType=netValue",name,"""Cropping intensity""",unit,Percent,scalingFactor,100,,,,,,
TABLE 60: STATE-WISE PRODUCTION OF FOODGRAINS - RICE,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Rice,measuremenQualifier,Annual,,,name,"""Production of Rice""",,,,,,,,,,
Thousand Tonnes,unit,MetricTon,#Multiply,1000,,,,,,,,,,,,,,,,,,
TABLE 61: STATE-WISE PRODUCTION OF FOODGRAINS - WHEAT,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Wheat,measuremenQualifier,Annual,,,name,"""Production of Wheat""",,,,,,,,,,
TABLE 62: STATE-WISE PRODUCTION OF FOODGRAINS - COARSE CEREALS,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,CoarseCereal,measuremenQualifier,Annual,,,name,"""Production of Coarse Cereals""",,,,,,,,,,
TABLE 63: STATE-WISE PRODUCTION OF FOODGRAINS - PULSES,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Pulses,measuremenQualifier,Annual,,,name,"""Production of pulses""",,,,,,,,,,
TABLE 64: STATE-WISE PRODUCTION OF TOTAL FOODGRAINS,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,FoodGrain,measuremenQualifier,Annual,,,name,"""Produciton of food grains""",,,,,,,,,,
