observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod,#input
dcid:wikidataId/Q187712,1975,dcid:Count_Person_Citizen_Male,29238,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:2:7
dcid:wikidataId/Q613,1975,dcid:Count_Person_Citizen_Male,26096,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:3:7
dcid:wikidataId/Q188810,1975,dcid:Count_Person_Citizen_Male,21318,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:4:7
dcid:wikidataId/Q159477,1975,dcid:Count_Person_Citizen_Male,3933,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:5:7
dcid:wikidataId/Q175021,1975,dcid:Count_Person_Citizen_Male,2301,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:6:7
dcid:wikidataId/Q170024,1975,dcid:Count_Person_Citizen_Male,15277,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:7:7
dcid:wikidataId/Q4091,1975,dcid:Count_Person_Citizen_Male,6869,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:8:7
dcid:wikidataId/Q187712,1975,dcid:Count_Person_Citizen_Female,25648,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:9:7
dcid:wikidataId/Q613,1975,dcid:Count_Person_Citizen_Female,24720,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:10:7
dcid:wikidataId/Q188810,1975,dcid:Count_Person_Citizen_Female,19909,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:11:7
dcid:wikidataId/Q159477,1975,dcid:Count_Person_Citizen_Female,3509,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:12:7
dcid:wikidataId/Q175021,1975,dcid:Count_Person_Citizen_Female,2157,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:13:7
dcid:wikidataId/Q170024,1975,dcid:Count_Person_Citizen_Female,14336,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:14:7
dcid:wikidataId/Q4091,1975,dcid:Count_Person_Citizen_Female,6233,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:15:7
dcid:wikidataId/Q187712,1975,dcid:Count_Person_NotACitizen_Male,125820,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:16:7
dcid:wikidataId/Q613,1975,dcid:Count_Person_NotACitizen_Male,102725,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:17:7
dcid:wikidataId/Q188810,1975,dcid:Count_Person_NotACitizen_Male,29937,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:18:7
dcid:wikidataId/Q159477,1975,dcid:Count_Person_NotACitizen_Male,6587,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:19:7
dcid:wikidataId/Q175021,1975,dcid:Count_Person_NotACitizen_Male,1962,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:20:7
dcid:wikidataId/Q170024,1975,dcid:Count_Person_NotACitizen_Male,11261,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:21:7
dcid:wikidataId/Q4091,1975,dcid:Count_Person_NotACitizen_Male,3103,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:22:7
dcid:wikidataId/Q187712,1975,dcid:Count_Person_NotACitizen_Female,31106,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:23:7
dcid:wikidataId/Q613,1975,dcid:Count_Person_NotACitizen_Female,29646,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:24:7
dcid:wikidataId/Q188810,1975,dcid:Count_Person_NotACitizen_Female,7626,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:25:7
dcid:wikidataId/Q159477,1975,dcid:Count_Person_NotACitizen_Female,2661,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:26:7
dcid:wikidataId/Q175021,1975,dcid:Count_Person_NotACitizen_Female,488,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:27:7
dcid:wikidataId/Q170024,1975,dcid:Count_Person_NotACitizen_Female,2971,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:28:7
dcid:wikidataId/Q4091,1975,dcid:Count_Person_NotACitizen_Female,450,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:29:7
dcid:wikidataId/Q187712,1980,dcid:Count_Person_Citizen_Male,47993,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:30:7
dcid:wikidataId/Q613,1980,dcid:Count_Person_Citizen_Male,32213,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:31:7
dcid:wikidataId/Q188810,1980,dcid:Count_Person_Citizen_Male,30945,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:32:7
dcid:wikidataId/Q159477,1980,dcid:Count_Person_Citizen_Male,6866,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:33:7
dcid:wikidataId/Q175021,1980,dcid:Count_Person_Citizen_Male,2956,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:34:7
dcid:wikidataId/Q170024,1980,dcid:Count_Person_Citizen_Male,20116,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:35:7
dcid:wikidataId/Q4091,1980,dcid:Count_Person_Citizen_Male,9484,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:36:7
dcid:wikidataId/Q187712,1980,dcid:Count_Person_Citizen_Female,42799,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:37:7
dcid:wikidataId/Q613,1980,dcid:Count_Person_Citizen_Female,30303,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:38:7
dcid:wikidataId/Q188810,1980,dcid:Count_Person_Citizen_Female,29550,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:39:7
dcid:wikidataId/Q159477,1980,dcid:Count_Person_Citizen_Female,6510,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:40:7
dcid:wikidataId/Q175021,1980,dcid:Count_Person_Citizen_Female,2889,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:41:7
dcid:wikidataId/Q170024,1980,dcid:Count_Person_Citizen_Female,19032,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:42:7
dcid:wikidataId/Q4091,1980,dcid:Count_Person_Citizen_Female,8888,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:43:7
dcid:wikidataId/Q187712,1980,dcid:Count_Person_NotACitizen_Male,283695,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:44:7
dcid:wikidataId/Q613,1980,dcid:Count_Person_NotACitizen_Male,155501,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:45:7
dcid:wikidataId/Q188810,1980,dcid:Count_Person_NotACitizen_Male,71840,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:46:7
dcid:wikidataId/Q159477,1980,dcid:Count_Person_NotACitizen_Male,15378,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:47:7
dcid:wikidataId/Q175021,1980,dcid:Count_Person_NotACitizen_Male,5004,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:48:7
dcid:wikidataId/Q170024,1980,dcid:Count_Person_NotACitizen_Male,26409,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:49:7
dcid:wikidataId/Q4091,1980,dcid:Count_Person_NotACitizen_Male,11312,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:50:7
dcid:wikidataId/Q187712,1980,dcid:Count_Person_NotACitizen_Female,77361,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:51:7
dcid:wikidataId/Q613,1980,dcid:Count_Person_NotACitizen_Female,58284,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:52:7
dcid:wikidataId/Q188810,1980,dcid:Count_Person_NotACitizen_Female,26982,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:53:7
dcid:wikidataId/Q159477,1980,dcid:Count_Person_NotACitizen_Female,7346,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:54:7
dcid:wikidataId/Q175021,1980,dcid:Count_Person_NotACitizen_Female,1577,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:55:7
dcid:wikidataId/Q170024,1980,dcid:Count_Person_NotACitizen_Female,8361,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:56:7
dcid:wikidataId/Q4091,1980,dcid:Count_Person_NotACitizen_Female,2505,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:57:7
dcid:wikidataId/Q187712,1985,dcid:Count_Person_Citizen_Male,69975,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:58:7
dcid:wikidataId/Q613,1985,dcid:Count_Person_Citizen_Male,39221,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:59:7
dcid:wikidataId/Q188810,1985,dcid:Count_Person_Citizen_Male,40333,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:60:7
dcid:wikidataId/Q159477,1985,dcid:Count_Person_Citizen_Male,9827,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:61:7
dcid:wikidataId/Q175021,1985,dcid:Count_Person_Citizen_Male,4430,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:62:7
dcid:wikidataId/Q170024,1985,dcid:Count_Person_Citizen_Male,24835,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:63:7
dcid:wikidataId/Q4091,1985,dcid:Count_Person_Citizen_Male,13536,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:64:7
dcid:wikidataId/Q187712,1985,dcid:Count_Person_Citizen_Female,66007,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:65:7
