"MinDate","ScalingFactors","Units","StatVar","NumPlaces","MeasurementMethods","observationPeriods"
"2020","[]","[]","Count_Person_Female_WhiteAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male_WhiteAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Female","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male_AsianAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Female_BlackOrAfricanAmericanAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Female_TwoOrMoreRaces","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male_HispanicOrLatino","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Female_NotHispanicOrLatino","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male_BlackOrAfricanAmericanAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Female_HispanicOrLatino","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Female_AsianAlone","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male_TwoOrMoreRaces","1","[CensusPEPSurvey_Race2000Onwards]","[]"
"2020","[]","[]","Count_Person_Male_NotHispanicOrLatino","1","[CensusPEPSurvey_Race2000Onwards]","[]"
