key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,{Data},,,,,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
Grade6,populationType,Student,schoolGradeLevel,SchoolGrade6,measuredProperty,count,,,,,,,,
Grade7,populationType,Student,schoolGradeLevel,SchoolGrade7,measuredProperty,count,,,,,,,,
Grade8,populationType,Student,schoolGradeLevel,SchoolGrade8,measuredProperty,count,,,,,,,,
Grade9,populationType,Student,schoolGradeLevel,SchoolGrade9,measuredProperty,count,,,,,,,,
Grade10,populationType,Student,schoolGradeLevel,SchoolGrade10,measuredProperty,count,,,,,,,,
Grade11,populationType,Student,schoolGradeLevel,SchoolGrade11,measuredProperty,count,,,,,,,,
Grade12,populationType,Student,schoolGradeLevel,SchoolGrade12,measuredProperty,count,,,,,,,,
GradeTotal,populationType,Student,measuredProperty,count,,,,,,,,,,
GradeDistrictwide,populationType,Student,measuredProperty,count,,,,,,,,,,
GradeStatewide,populationType,Student,measuredProperty,count,,,,,,,,,,
GradeEnrolled in AP/IB Course,populationType,Student,measuredProperty,count,courseType,AdvancedPlacementCourse__InternationalBaccalaureateCourse,,,,,,,,
GradeEnrolled in Dual Enrollment Course,populationType,Student,measuredProperty,count,courseType,DualEnrollmentCourse,,,,,,,,
World History,populationType,Student,measuredProperty,count,socialCourse,WorldHistory,value,{Number},,,,,,
US History I & II,populationType,Student,measuredProperty,count,socialCourse,USHistoryOneAndTwo,value,{Number},,,,,,
Economics,populationType,Student,measuredProperty,count,socialCourse,Economics,value,{Number},,,,,,
Psychology,populationType,Student,measuredProperty,count,socialCourse,Psychology,value,{Number},,,,,,
Sociology,populationType,Student,measuredProperty,count,socialCourse,Sociology,value,{Number},,,,,,
Other Social Studies or History,populationType,Student,measuredProperty,count,socialCourse,SocialStudiesOrHistory,value,{Number},,,,,,
