key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,{Data},populationType,Student,,,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
Statewide,measuredProperty,enrollmentRate,observationAbout,geoId/34,,,,,,,,,,
Districtwide,measuredProperty,enrollmentRate,,,,,,,,,,,,
White,measuredProperty,enrollmentRate,race,White,,,,,,,,,,
Hispanic,measuredProperty,enrollmentRate,race,Hispanic,,,,,,,,,,
Black or African American,measuredProperty,enrollmentRate,race,BlackOrAfricanAmericanAlone,,,,,,,,,,
"Asian, Native Hawaiian, or Pacific Islander",measuredProperty,enrollmentRate,race,Asian__HawaiianNativeOrPacificIslander,,,,,,,,,,
American Indian or Alaska Native,measuredProperty,enrollmentRate,race,AmericanIndianOrAlaskaNativeAlone,,,,,,,,,,
Two or More Races,measuredProperty,enrollmentRate,race,TwoOrMoreRaces,,,,,,,,,,
Economically Disadvantaged Students,measuredProperty,enrollmentRate,socialVulnerabilityStatus,EconomicallyDisadvantaged,,,,,,,,,,
Students With Disabilities,measuredProperty,enrollmentRate,disabilityStatus,AnyDisability,,,,,,,,,,
English Learners,measuredProperty,enrollmentRate,languageLearned,EnglishLearner,,,,,,,,,,
African American,measuredProperty,enrollmentRate,race,AfricanAmerican,,,,,,,,,,
American Indian,measuredProperty,enrollmentRate,race,AmericanIndian,,,,,,,,,,
Asian,measuredProperty,enrollmentRate,race,Asian,,,,,,,,,,
English Language Learners,measuredProperty,enrollmentRate,languageLearned,EnglishLearner,,,,,,,,,,
Native Hawaiian,measuredProperty,enrollmentRate,race,NativeHawaiian,,,,,,,,,,
EnrolledPercent,measuredProperty,enrollmentRate,value,{Number},unit,Percent,,,,,,,,
Enrolled2Yr,measuredProperty,enrollmentRate,value,{Number},graduationPeriod,TwoYear,unit,Percent,,,,,,
Enrolled4Yr,measuredProperty,enrollmentRate,value,{Number},graduationPeriod,FourYear,unit,Percent,,,,,,
