key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,{Data},populationType,Student,measuredProperty,count,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
AP Biology,courseType,AdvancedPlacementCourse,schoolSubject,Biology,,,,,,,,,,
AP Calculus AB,courseType,AdvancedPlacementCourse,schoolSubject,CalculusAB,,,,,,,,,,
AP Calculus BC,courseType,AdvancedPlacementCourse,schoolSubject,CalculusBC,,,,,,,,,,
AP Chemistry,courseType,AdvancedPlacementCourse,schoolSubject,Chemistry,,,,,,,,,,
AP Computer Science A,courseType,AdvancedPlacementCourse,schoolSubject,ComputerScience,,,,,,,,,,
AP English Language and Composition,courseType,AdvancedPlacementCourse,schoolSubject,EnglishLanguageAndComposition,,,,,,,,,,
AP English Literature and Composition,courseType,AdvancedPlacementCourse,schoolSubject,EnglishLiteratureAndComposition,,,,,,,,,,
AP Environmental Science,courseType,AdvancedPlacementCourse,schoolSubject,EVS,,,,,,,,,,
AP French Language and Culture,courseType,AdvancedPlacementCourse,schoolSubject,FrenchLanguageAndCulture,,,,,,,,,,
AP Government,courseType,AdvancedPlacementCourse,schoolSubject,Government,,,,,,,,,,
"AP Latin (Virgil, Catullus and Horace)",courseType,AdvancedPlacementCourse,schoolSubject,Latin,,,,,,,,,,
AP Macroeconomics,courseType,AdvancedPlacementCourse,schoolSubject,Macroeconomics,,,,,,,,,,
AP Microeconomics,courseType,AdvancedPlacementCourse,schoolSubject,Microeconomics,,,,,,,,,,
AP Music Theory,courseType,AdvancedPlacementCourse,schoolSubject,MusicTheory,,,,,,,,,,
AP Physics 1,courseType,AdvancedPlacementCourse,schoolSubject,Physics1,,,,,,,,,,
AP Physics C,courseType,AdvancedPlacementCourse,schoolSubject,PhysicsC,,,,,,,,,,
AP Physics C: Electricity and Magnetism,courseType,AdvancedPlacementCourse,schoolSubject,PhysicsCElectricityAndMagnetism,,,,,,,,,,
AP Physics C: Mechanics,courseType,AdvancedPlacementCourse,schoolSubject,PhysicsCMechanics,,,,,,,,,,
AP Psychology,courseType,AdvancedPlacementCourse,schoolSubject,Psychology,,,,,,,,,,
AP SpanishLanguage,courseType,AdvancedPlacementCourse,schoolSubject,Spanish,,,,,,,,,,
AP Statistics,courseType,AdvancedPlacementCourse,schoolSubject,Statistics,,,,,,,,,,
AP Studio Art—Drawing Portfolio,courseType,AdvancedPlacementCourse,schoolSubject,StudioArtDrawingPortfolio,,,,,,,,,,
AP Studio Art—Two-Demensional,courseType,AdvancedPlacementCourse,schoolSubject,StudioArtTwoDimensional,,,,,,,,,,
AP U.S. Government and Politics,courseType,AdvancedPlacementCourse,schoolSubject,USGovernmentAndPolitics,,,,,,,,,,
AP Spanish Language,courseType,AdvancedPlacementCourse,schoolSubject,SpanishLiterature,,,,,,,,,,
AP U.S. History,courseType,AdvancedPlacementCourse,schoolSubject,USHistory,,,,,,,,,,
Student AP Tests >=3 and IB Tests >=4,courseType,AdvancedPlacementCourse__InternationalBaccalaureateCourse,apQualificationStatus,[3 5 Scores],ibQualificationStatus,[4 7 Scores],,,,,,,,
Total Exams Taken,assessmentType,AdvancedPlacementExam__InternationalBaccalaureateExam,,,,,,,,,,,,
AP Comparative Government and Politics,courseType,AdvancedPlacementCourse,schoolSubject,ComparativeGovernmentAndPolitics,,,,,,,,,,
AP European History,courseType,AdvancedPlacementCourse,schoolSubject,EuropeanHistory,,,,,,,,,,
AP Art—History of Art,courseType,AdvancedPlacementCourse,schoolSubject,HistoryOfArt,,,,,,,,,,
AP Computer Science Principles,courseType,AdvancedPlacementCourse,schoolSubject,ComputerSciencePrinciples,,,,,,,,,,
AP German Language and Culture,courseType,AdvancedPlacementCourse,schoolSubject,GermanLanguageAndCulture,,,,,,,,,,
AP Physics 2,courseType,AdvancedPlacementCourse,schoolSubject,Physics2,,,,,,,,,,
AP Physics B,courseType,AdvancedPlacementCourse,schoolSubject,PhysicsB,,,,,,,,,,
AP Research,courseType,AdvancedPlacementCourse,schoolSubject,Research,,,,,,,,,,
AP Seminar,courseType,AdvancedPlacementCourse,schoolSubject,Seminar,,,,,,,,,,
AP Spanish Literature,courseType,AdvancedPlacementCourse,schoolSubject,SpanishLiterature,,,,,,,,,,
AP World History,courseType,AdvancedPlacementCourse,schoolSubject,WorldHistory,,,,,,,,,,
AP Human Geography,courseType,AdvancedPlacementCourse,schoolSubject,HumanGeography,,,,,,,,,,
AP Italian Language and Culture,courseType,AdvancedPlacementCourse,schoolSubject,ItalianLanguageAndCulture,,,,,,,,,,
AP Spanish Language,courseType,AdvancedPlacementCourse,schoolSubject,SpanishLanguage,,,,,,,,,,
AP German Language and Culture ,courseType,AdvancedPlacementCourse,schoolSubject,GermanLanguageAndCulture,,,,,,,,,,
AP Latin (Virgil  Catullus and Horace),courseType,AdvancedPlacementCourse,schoolSubject,Latin,,,,,,,,,,
IB Physics,courseType,InternationalBaccalaureateCourse,schoolSubject,Physics,,,,,,,,,,
AP Chinese Language and Culture,courseType,AdvancedPlacementCourse,schoolSubject,ChineseLanguageAndCulture,,,,,,,,,,
AP Japanese Language and Culture,courseType,AdvancedPlacementCourse,schoolSubject,JapaneseLanguageAndCulture,,,,,,,,,,
AP Latin Literature,courseType,AdvancedPlacementCourse,schoolSubject,LatinLiterature,,,,,,,,,,
AP Precalculus,courseType,AdvancedPlacementCourse,schoolSubject,Precalculus,,,,,,,,,,
IB Language A: Language and Literature—French,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageALanguageAndLiteratureFrench,,,,,,,,,,
