key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,{Data},,,,,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
Grade6,populationType,Student,schoolGradeLevel,SchoolGrade6,measuredProperty,count,,,,,,,,
Grade7,populationType,Student,schoolGradeLevel,SchoolGrade7,measuredProperty,count,,,,,,,,
Grade8,populationType,Student,schoolGradeLevel,SchoolGrade8,measuredProperty,count,,,,,,,,
GradeTotal,populationType,Student,measuredProperty,count,,,,,,,,,,
Grade9,populationType,Student,schoolGradeLevel,SchoolGrade9,measuredProperty,count,,,,,,,,
Grade10,populationType,Student,schoolGradeLevel,SchoolGrade10,measuredProperty,count,,,,,,,,
Grade11,populationType,Student,schoolGradeLevel,SchoolGrade11,measuredProperty,count,,,,,,,,
Grade12,populationType,Student,schoolGradeLevel,SchoolGrade12,measuredProperty,count,,,,,,,,
GradeEnrolled in AP/IB Course,populationType,Student,courseType,AdvancedPlacementCourse__InternationalBaccalaureateCourse,enrollmentStatus,Enrolled,measuredProperty,count,,,,,,
GradeEnrolled in Dual Enrollment Course,populationType,Student,courseType,DualEnrollmentCourse,enrollmentStatus,Enrolled,measuredProperty,count,,,,,,
GradeDistrictwide,populationType,Student,measuredProperty,count,,,,,,,,,,
GradeStatewide,populationType,Student,measuredProperty,count,,,,,,,,,,
Algebra I,populationType,Student,value,{Number},mathCourse,Algebra_I,measuredProperty,count,,,,,,
Geometry,populationType,Student,value,{Number},mathCourse,Geometry,measuredProperty,count,,,,,,
Algebra II,populationType,Student,value,{Number},mathCourse,Algebra_II,measuredProperty,count,,,,,,
Pre_Calculus,populationType,Student,value,{Number},mathCourse,PreCalculus,measuredProperty,count,,,,,,
Calculus,populationType,Student,value,{Number},mathCourse,Calculus,measuredProperty,count,,,,,,
Statistics,populationType,Student,value,{Number},mathCourse,Statistics,measuredProperty,count,,,,,,
Other Math,populationType,Student,value,{Number},mathCourse,OtherMath,measuredProperty,count,,,,,,
