key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,geoId/34,,,,,,,,,,,,
Grade4,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade4,,,,,,,,
Grade8,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade8,,,,,,,,
State (NJ),populationType,Student,measuredProperty,count,assessmentType,StateScholasticAssessmentTest,,,,,,,,
Nation,populationType,Student,measuredProperty,count,assessmentType,ScholasticAssessmentTest,,,,,,,,
Reading,populationType,Student,measuredProperty,count,schoolSubject,Reading,,,,,,,,
Mathematics,populationType,Student,measuredProperty,count,schoolSubject,Mathematics,,,,,,,,
Science,populationType,Student,measuredProperty,count,schoolSubject,Science,,,,,,,,
BelowBasic,populationType,Student,measuredProperty,count,value,{Number},unit,Percent,assessmentScore,BelowBasicScore,measurementDenominator,-assesmentScore,,
Basic,populationType,Student,measuredProperty,count,value,{Number},unit,Percent,assessmentScore,BasicScore,measurementDenominator,-assesmentScore,,
Proficient,populationType,Student,measuredProperty,count,value,{Number},unit,Percent,assessmentScore,ProficientScore,measurementDenominator,-assesmentScore,,
Advanced,populationType,Student,measuredProperty,count,value,{Number},unit,Percent,assessmentScore,AdvancedScore,measurementDenominator,-assesmentScore,,
Year,observationDate,{Number},,,,,,,,,,,,
