key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,{Data},,,,,,,,,,,,
GradePK,populationType,Student,measuredProperty,count,schoolGradeLevel,PreKindergarten,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
GradeKG,populationType,Student,measuredProperty,count,schoolGradeLevel,Kindergarten,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade01,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade1,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade02,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade2,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade03,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade3,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade04,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade4,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade05,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade5,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade06,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade6,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade07,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade7,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade08,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade8,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade09,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade9,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade10,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade10,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade11,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade11,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Grade12,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade12,schoolEnrollment,EnrolledInSchool,value,{Number},,,,
Total,populationType,Student,measuredProperty,count,value,{Number},schoolEnrollment,EnrolledInSchool,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
Grade PK,populationType,Student,measuredProperty,count,schoolGradeLevel,PreKindergarten,schoolEnrollment,EnrolledInSchool,,,,,,
Grade KG,populationType,Student,measuredProperty,count,schoolGradeLevel,Kindergarten,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 01,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade1,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 02,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade2,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 03,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade3,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 04,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade4,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 05,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade5,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 06,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade6,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 07,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade7,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 08,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade8,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 09,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade9,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 10,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade10,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 11,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade11,schoolEnrollment,EnrolledInSchool,,,,,,
Grade 12,populationType,Student,measuredProperty,count,schoolGradeLevel,SchoolGrade12,schoolEnrollment,EnrolledInSchool,,,,,,
Total Enrollment,populationType,Student,measuredProperty,count,,,,,,,,,,
Ungraded,populationType,Student,measuredProperty,count,schoolGradeLevel,UngradedSchool,,,,,,,,
Count,value,{Number},,,,,,,,,,,,
