key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,{Data},,,,,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
ACT,populationType,Student,measuredProperty,assessmentScore,assessmentType,AmericanCollegeTesting,,,,,,,,
PSAT,populationType,Student,measuredProperty,assessmentScore,assessmentType,PreliminaryScholasticAssessmentTest,,,,,,,,
SAT,populationType,Student,measuredProperty,assessmentScore,assessmentType,StateScholasticAssessmentTest,,,,,,,,
English,populationType,Student,measuredProperty,assessmentScore,schoolSubject,English,,,,,,,,
Math,populationType,Student,measuredProperty,assessmentScore,schoolSubject,Mathematics,,,,,,,,
Reading,populationType,Student,measuredProperty,assessmentScore,schoolSubject,Reading,,,,,,,,
Science,populationType,Student,measuredProperty,assessmentScore,schoolSubject,Science,,,,,,,,
Reading and Writing,populationType,Student,measuredProperty,assessmentScore,schoolSubject,Reading__Writing,,,,,,,,
District_Avg,populationType,Student,measuredProperty,assessmentScore,statType,meanValue,value,{Number},,,,,,
State_avg,populationType,Student,measuredProperty,assessmentScore,statType,meanValue,value,{Number},observationAbout,geoId/34,,,,
Benchmark,populationType,Student,measuredProperty,assessmentScore,value,{Number},assessmentLevel,BenchmarkScore,,,,,,
BT_PCT,populationType,Student,measuredProperty,assessmentScore,value,{Number},assessmentLevel,AboveBenchmarkScore,,,,,,
STATE_BT_PCT,populationType,Student,measuredProperty,assessmentScore,value,{Number},#observationAbout,geoId/34,assessmentLevel,AboveStateBenchmarkScore,,,,
