key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
ObservationAbout,observationAbout,{Data},,,,,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,
Architecture & Construction,populationType,Student,careerCluster,ArchitectureAndConstruction,measuredProperty,count,,,,,,,,
"Arts, A/V Technology & Communications",populationType,Student,careerCluster,ArtsAVTechnologyCommunications,measuredProperty,count,,,,,,,,
Finance,populationType,Student,careerCluster,Finance,measuredProperty,count,,,,,,,,
Hospitality & Tourism,populationType,Student,careerCluster,HospitalityAndTourism,measuredProperty,count,,,,,,,,
Manufacturing,populationType,Student,careerCluster,Manufacturing,measuredProperty,count,,,,,,,,
Total,populationType,Student,measuredProperty,count,,,,,,,,,,
Government & Public Administration,populationType,Student,careerCluster,GovernmentPublicAdministration,measuredProperty,count,,,,,,,,
Health Science,populationType,Student,careerCluster,HealthScience,measuredProperty,count,,,,,,,,
Human Services,populationType,Student,careerCluster,HumanServices,measuredProperty,count,,,,,,,,
Information Technology,populationType,Student,careerCluster,InformationTechnology,measuredProperty,count,,,,,,,,
Marketing,populationType,Student,careerCluster,Marketing,measuredProperty,count,,,,,,,,
"Science, Technology, Engineering & Mathematics",populationType,Student,careerCluster,ScienceTechnologyEngineeringAndMathematics,measuredProperty,count,,,,,,,,
"Transportation, Distribution & Logistics",populationType,Student,careerCluster,TransportationDistributionLogistics,measuredProperty,count,,,,,,,,
Business Management & Administration,populationType,Student,careerCluster,BusinessManagementAdministration,measuredProperty,count,,,,,,,,
"Law, Public Safety, Corrections & Security",populationType,Student,careerCluster,LawPublicSafetyCorrectionsSecurity,measuredProperty,count,,,,,,,,
"Agriculture, Food & Natural Resources",populationType,Student,careerCluster,AgricultureFoodNaturalResources,measuredProperty,count,,,,,,,,
Education & Training,populationType,Student,careerCluster,EducationAndTraining,measuredProperty,count,,,,,,,,
Total non-duplicated number of students**,populationType,Student,measuredProperty,count,,,,,,,,,,
Total number of credentials earned in all clusters,populationType,Credential,measuredProperty,count,,,,,,,,,,
StudentsEnrolled,value,{Number},enrollmentStatus,enrolled,,,,,,,,,,
StudentsWithAtLeastOneCredentialEarned,value,{Number},countOfCredentialEarned,AtleastOneCredential,,,,,,,,,,
IndustryCredentialsEarned,value,{Number},educationalAttainment,IndustryValuedCredential,,,,,,,,,,
