"NumPlaces","ScalingFactors","Units","StatVar","MeasurementMethods","MinDate","observationPeriods"
"7","[]","[MetricTon]","Annual_Consumption_Fuel_RoadTransport_Kerosene","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[Terajoule]","Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_GasworksGas","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_PetrochemicalPlants_ParaffinWaxes_FuelTransformation","[]","2020","[P1Y]"
"114","[]","[MetricTon]","AnnualChange_Stocks_Fuel_MotorGasoline","[, UNStatsEstimate]","2020","[P1Y]"
"5","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerHeatPowerPlants_BrownCoal_FuelTransformation","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerCombinedHeatPowerPlants_CokingCoal_FuelTransformation","[]","2020","[P1Y]"
"34","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_Bagasse","[, UNStatsEstimate]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerHeatPowerPlants_CokeOvenCoke_FuelTransformation","[]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_CrudeOil","[]","2020","[P1Y]"
"7","[]","[MetricTon]","Annual_Consumption_Fuel_RoadTransport_FuelOil","[, UNStatsEstimate]","2020","[P1Y]"
"50","[]","[MetricTon]","Annual_Consumption_Fuel_RoadTransport_BioDiesel","[, UNStatsEstimate]","2020","[P1Y]"
"31","[]","[MetricTon]","Annual_Consumption_Fuel_ElectricityGeneration_LiquifiedPetroleumGas_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"32","[]","[MetricTon]","Annual_Imports_Fuel_RefineryFeedstocks","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_OtherTransport_LigniteCoal","[]","2021","[P1Y]"
"49","[]","[Terajoule]","Annual_Generation_Energy_Heat_MainActivityProducer","[, UNStatsEstimate]","2020","[P1Y]"
"19","[]","[MetricTon]","Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_MotorGasoline","[]","2020","[P1Y]"
"5","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_WhiteSpirit","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_GasCoke","[, UNStatsEstimate]","2020","[P1Y]"
"26","[]","[MetricTon]","Annual_Consumption_Fuel_EnergyIndustry_OtherOilProducts_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"65","[]","[MetricTon]","Annual_Consumption_Fuel_CokeOvenCoke","[, UNStatsEstimate]","2020","[P1Y]"
"43","[]","[MetricTon]","Annual_Receipts_Fuel_DieselOil","[]","2020","[P1Y]"
"119","[]","[KilowattHour]","Annual_Consumption_Electricity_UnspecifiedSector","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[Terajoule]","Annual_Consumption_Fuel_ElectricityGeneration_VegetalWaste_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_OilGasExtraction_Naphtha_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"50","[]","[Terajoule]","Annual_Consumption_Fuel_TransportEquipmentIndustry_NaturalGas","[]","2020","[P1Y]"
"29","[]","[Terajoule]","Annual_Consumption_Fuel_CokeOvens_CokeOvenGas_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"4","[]","[Terajoule]","Annual_Consumption_Fuel_FuelTransformationIndustry_GasworksGas_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"51","[]","[Terajoule]","Annual_Consumption_Energy_Households_SolarThermal","[, UNStatsEstimate]","2020","[P1Y]"
"3","[]","[MetricTon]","Annual_Consumption_Fuel_OtherTransport_HardCoal","[]","2020","[P1Y]"
"3","[]","[MetricTon]","Annual_Consumption_Fuel_NonMetallicMineralsIndustry_PatentFuel","[, UNStatsEstimate]","2020","[P1Y]"
"52","[]","[Terajoule]","Annual_Consumption_Energy_Heat","[, UNStatsEstimate]","2020","[P1Y]"
