observationDate,observationAbout,value,variableMeasured
2002,country/ASM,1,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2003,country/ASM,2,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2004,country/ASM,2,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2005,country/ASM,3,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2006,country/ASM,3,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2007,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2008,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2009,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2010,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2011,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2013,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2014,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2015,country/ASM,4,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2016,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2017,country/ASM,3,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2018,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2019,country/ASM,1,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2020,country/ASM,3,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2021,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2022,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2023,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2024,country/ASM,0,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2000,country/AND,1,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2001,country/AND,3,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2002,country/AND,3,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2003,country/AND,7,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2004,country/AND,4,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2005,country/AND,6,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
2006,country/AND,8,dcid:Count_MedicalConditionIncident_ConditionPulmonaryTuberculosis_NewCase_BacteriologicalTest
