observationDate,observationAbout,value,variableMeasured
2015,dcid:country/AFG,46,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2016,dcid:country/AFG,64,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2017,dcid:country/AFG,97,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2018,dcid:country/AFG,85,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2019,dcid:country/AFG,82,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2020,dcid:country/AFG,85,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2021,dcid:country/AFG,86,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2022,dcid:country/AFG,100,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2023,dcid:country/AFG,100,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2024,dcid:country/AFG,100,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2015,dcid:country/ALB,9.5,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
2016,dcid:country/ALB,9.7,dcid:Count_Person_Years0To4_ConditionTuberculosis_StartedOnTBPreventiveTreatment_AsAFractionOf_Count_Person_Tuberculosis_EligibleForPreventiveTreatment
