Year,Geo,StatVar,ObsDate,ObsPeriod,Quantity
2020,geoId/5662450,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5662450,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5662450,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5663900,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5663900,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5663900,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5663900,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5666220,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5666220,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5666220,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5666220,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5667235,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5667235,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5667235,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5667235,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5668685,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5668685,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5668685,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5668685,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5676515,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5676515,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5676515,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5676515,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5677530,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5677530,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5677530,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5677530,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5683040,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5683040,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5683040,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5683040,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
2020,geoId/5684925,Count_CriminalIncidents_IsHateCrime,2020-03,P3M,0.0
2020,geoId/5684925,Count_CriminalIncidents_IsHateCrime,2020-06,P3M,0.0
2020,geoId/5684925,Count_CriminalIncidents_IsHateCrime,2020-09,P3M,0.0
2020,geoId/5684925,Count_CriminalIncidents_IsHateCrime,2020-12,P3M,0.0
