Date,StateCode,value,StatVar,unit
2018-03-01,country/IND,188560000.0,Annual_Consumption_Fuel_FoodAndTobaccoIndustry_NaturalGas,CubicMeter
2019-03-01,country/IND,192260000.0,Annual_Consumption_Fuel_FoodAndTobaccoIndustry_NaturalGas,CubicMeter
2020-03-01,country/IND,200270000.0,Annual_Consumption_Fuel_FoodAndTobaccoIndustry_NaturalGas,CubicMeter
2017-03-01,country/IND,471180000.0,Annual_Consumption_Fuel_EnergyIndustryOwnUse_NaturalGas,CubicMeter
2018-03-01,country/IND,495620000.0,Annual_Consumption_Fuel_EnergyIndustryOwnUse_NaturalGas,CubicMeter
2019-03-01,country/IND,540710000.0,Annual_Consumption_Fuel_EnergyIndustryOwnUse_NaturalGas,CubicMeter
2020-03-01,country/IND,525110000.0,Annual_Consumption_Fuel_EnergyIndustryOwnUse_NaturalGas,CubicMeter
2009-03-01,country/IND,611000000.0,Annual_Consumption_Fuel_OilRefineries_NaturalGas,CubicMeter
2010-03-01,country/IND,703000000.0,Annual_Consumption_Fuel_OilRefineries_NaturalGas,CubicMeter
2011-03-01,country/IND,1529000000.0,Annual_Consumption_Fuel_OilRefineries_NaturalGas,CubicMeter
2017-03-01,country/IND,5374370000.0,Annual_Consumption_Fuel_OilRefineries_NaturalGas,CubicMeter
2018-03-01,country/IND,6533130000.0,Annual_Consumption_Fuel_OilRefineries_NaturalGas,CubicMeter
2019-03-01,country/IND,7047310000.0,Annual_Consumption_Fuel_OilRefineries_NaturalGas,CubicMeter
2020-03-01,country/IND,7785990000.0,Annual_Consumption_Fuel_OilRefineries_NaturalGas,CubicMeter
2017-03-01,country/IND,3745960000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2018-03-01,country/IND,3226490000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2019-03-01,country/IND,3392600000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2020-03-01,country/IND,4209000000.0,Annual_Consumption_Fuel_UN_UnspecifiedSector_NaturalGas,CubicMeter
2006-03-01,country/IND,7762000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2007-03-01,country/IND,8497000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
