aastad township mn,2711100100
abbeville al,0100124
abbeville ga,1300184
abbeville la,2200100
abbeville ms,2800100
abbeville sc,4500100
abbot me,2302100100
abbotsford wi,5500100
abbottstown borough pa,4200116
abbott township pa,4210500108
abbott tx,4800100
abbyville ks,2000100
abercrombie nd,3800100
abercrombie township nd,3807700140
aberdeen id,1600100
aberdeen md,2400125
aberdeen ms,2800180
aberdeen nc,3700160
aberdeen oh,3900142
aberdeen sd,4600100
aberdeen township nj,3402500070
aberdeen township sd,4601300140
aberdeen wa,5300100
abernathy tx,4800160
abie ne,3100205
abilene ks,2000125
abilene tx,4801000
abingdon il,1700113
abingdon va,5100148
abington ma,2502300170
abington township il,1713100126
abington township in,1817700172
abington township pa,4209100156
abita springs la,2200240
aboite township in,1800300208
abrams wi,5508300175
absecon nj,3400100
accident md,2400225
accomac va,5100180
acequia id,1600280
achille ok,4000100
achilles township ks,2015300175
ackerly tx,4801108
ackerman ms,2800300
ackley ia,1900190
ackley wi,5506700225
ackworth ia,1900235
acme township mi,2605500200
acme township nd,3804100220
acoma township mn,2708500136
acton ma,2501700380
acton me,2303100275
acton township mn,2709300154
acton township nd,3809900260
acushnet ma,2500500520
acworth ga,1300408
acworth nh,3301900260
adair ia,1900370
adair ok,4000250
adairsville ga,1300436
adair village or,4100275
adairville ky,2100298
adak ak,0200065
ada mn,2700172
adamsburg borough pa,4200332
adams ma,2500300555
adams mn,2700190
adams nd,3800340
adams ne,3100240
adams ny,3600199
adams or,4100350
adams tn,4700200
adamstown borough pa,4200364
adams township ia,1917990015
adams township il,1709900204
adams township in,1817100496
adams township ks,2013100275
adams township mi,2606100320
adams township mn,2709900208
adams township mo,2908100226
adams township nd,3809900380
adams township ne,3106700275
adams township oh,3916700338
adams township pa,4210900316
adams township sd,4609700300
adamsville al,0100460
adamsville oh,3900380
adamsville tn,4700240
adams wi,5500275
ada oh,3900198
ada ok,4000200
ada township mi,2608100240
ada township nd,3802100300
ada township sd,4610500220
addie township nd,3803900420
addieville il,1700230
addington ok,4000450
addis la,2200415
addison al,0100484
addison borough pa,4200396
addison il,1700243
addison me,2302900380
addison mi,2600380
addison ny,3600276
addison township il,1704300250
addison township in,1814500568
addison township mi,2612500400
addison township nd,3801700500
addison township ne,3110700310
addison township oh,3905300422
addison township pa,4211100404
addison tx,4801240
addison vt,5000100325
addison (webster springs) wv,5400364
addison wi,5513100425
addyston oh,3900436
adelaide township nd,3801100540
adelanto ca,0600296
adel ga,1300576
adel ia,1900505
adeline il,1700295
adell wi,5500450
adelphi oh,3900450
adel township ia,1904990018
adena oh,3900464
adler township nd,3806300580
admire ks,2000325
adona ar,0500250
adrian ga,1300660
adrian mi,2600440
adrian mn,2700262
adrian mo,2900244
adrian or,4100500
