realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1984-01-01,72.6
2019-12-06,2019-12-06,1985-01-01,70.0
2019-12-06,2019-12-06,1986-01-01,68.0
2019-12-06,2019-12-06,1987-01-01,68.9
2019-12-06,2019-12-06,1988-01-01,69.1
2019-12-06,2019-12-06,1989-01-01,68.3
2019-12-06,2019-12-06,1990-01-01,68.0
2019-12-06,2019-12-06,1991-01-01,68.9
2019-12-06,2019-12-06,1992-01-01,66.7
2019-12-06,2019-12-06,1993-01-01,65.8
2019-12-06,2019-12-06,1994-01-01,68.9
2019-12-06,2019-12-06,1995-01-01,73.3
2019-12-06,2019-12-06,1996-01-01,75.4
2019-12-06,2019-12-06,1997-01-01,75.4
2019-12-06,2019-12-06,1998-01-01,75.4
2019-12-06,2019-12-06,1999-01-01,76.1
2019-12-06,2019-12-06,2000-01-01,76.1
2019-12-06,2019-12-06,2001-01-01,76.1
2019-12-06,2019-12-06,2002-01-01,77.3
2019-12-06,2019-12-06,2003-01-01,77.2
2019-12-06,2019-12-06,2004-01-01,76.4
2019-12-06,2019-12-06,2005-01-01,76.5
2019-12-06,2019-12-06,2006-01-01,75.6
2019-12-06,2019-12-06,2007-01-01,73.5
2019-12-06,2019-12-06,2008-01-01,73.1
2019-12-06,2019-12-06,2009-01-01,72.9
2019-12-06,2019-12-06,2010-01-01,72.6
2019-12-06,2019-12-06,2011-01-01,71.3
2019-12-06,2019-12-06,2012-01-01,72.0
2019-12-06,2019-12-06,2013-01-01,73.4
2019-12-06,2019-12-06,2014-01-01,71.4
2019-12-06,2019-12-06,2015-01-01,70.1
2019-12-06,2019-12-06,2016-01-01,72.4
2019-12-06,2019-12-06,2017-01-01,72.7
2019-12-06,2019-12-06,2018-01-01,69.8
