S,SLabel,SDescription,isoCode
http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,IN-UT
http://www.wikidata.org/entity/Q1184,Jharkhand,Indian state,IN-JH
http://www.wikidata.org/entity/Q66743,Puducherry,Union Territory of India,IN-PY
http://www.wikidata.org/entity/Q77997266,Dadra and Nagar Haveli and Daman and Diu,Union territory in India,
http://www.wikidata.org/entity/Q1171,Goa,state on the western coast of India,IN-GA
http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,IN-UP
http://www.wikidata.org/entity/Q1174,Haryana,state of India,IN-HR
http://www.wikidata.org/entity/Q1177,Himachal Pradesh,Indian state,IN-HP
http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,IN-MH
http://www.wikidata.org/entity/Q31440845,Q31440845,,
http://www.wikidata.org/entity/Q26927,Lakshadweep,Union Territory of India,IN-LD
http://www.wikidata.org/entity/Q1353,Delhi,Indian metropolis and union territory that includes New Delhi,IN-DL
http://www.wikidata.org/entity/Q1159,Andhra Pradesh,state in India,IN-AP
http://www.wikidata.org/entity/Q677037,Telangana,state in India,IN-TG
http://www.wikidata.org/entity/Q43433,Chandigarh,"capital of Punjab and Haryana states, Union Territory of India",IN-CH
http://www.wikidata.org/entity/Q1437,Rajasthan,largest state in India,IN-RJ
http://www.wikidata.org/entity/Q46107,Dadra and Nagar Haveli,"district of Dadra and Nagar Haveli and Daman and Diu, India",IN-DN
http://www.wikidata.org/entity/Q66278313,Jammu and Kashmir,union territory administered by India,IN-JK
http://www.wikidata.org/entity/Q1164,Assam,Indian state,IN-AS
http://www.wikidata.org/entity/Q1599,Nagaland,State in northeastern India,IN-NL
http://www.wikidata.org/entity/Q1193,Manipur,Indian state,IN-MN
http://www.wikidata.org/entity/Q1502,Mizoram,state in India,IN-MZ
http://www.wikidata.org/entity/Q22048,Odisha,state of India,IN-OR
http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,IN-MP
http://www.wikidata.org/entity/Q1165,Bihar,Indian state,IN-BR
http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,IN-KA
http://www.wikidata.org/entity/Q40888,Andaman and Nicobar Islands,union territory of India,IN-AN
http://www.wikidata.org/entity/Q1445,Tamil Nadu,Indian state,IN-TN
http://www.wikidata.org/entity/Q1505,Sikkim,Indian state,IN-SK
http://www.wikidata.org/entity/Q1168,Chhattisgarh,Indian state,IN-CT
http://www.wikidata.org/entity/Q1195,Meghalaya,Indian state,IN-ML
http://www.wikidata.org/entity/Q1356,West Bengal,Indian state,IN-WB
http://www.wikidata.org/entity/Q1162,Arunachal Pradesh,State in North East India,IN-AR
http://www.wikidata.org/entity/Q200667,Ladakh,union territory administered by India,IN-LA
http://www.wikidata.org/entity/Q1186,Kerala,Indian state,IN-KL
http://www.wikidata.org/entity/Q1061,Gujarat,state of India,IN-GJ
http://www.wikidata.org/entity/Q22424,Punjab,Indian state,IN-PB
http://www.wikidata.org/entity/Q1363,Tripura,Indian state,IN-TR
