State,isoCode,Date,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandByAssist,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent
All India,IN,2009-03,29222000,26697628.0,11503643.0,18826605.0,13296359.0,9949072.0,5530246.0,2474674.0,83.8
A & N Islands,IN-AN,2009-03,8000,7199.0,5119.0,4926.0,4629.0,4629.0,297.0,15.0,94.3
Andhra Pradesh Old,IN-AP,2009-03,1704000,1799548.0,1002098.0,1370196.0,1229315.0,678682.0,140881.0,71894.0,95.0
Arunachal Pradesh,IN-AR,2009-03,30000,21569.0,5663.0,10559.0,9736.0,9736.0,823.0,606.0,97.9
Assam,IN-AS,2009-03,793000,736696.0,256621.0,507144.0,360399.0,348564.0,146745.0,35421.0,78.0
Bihar,IN-BR,2009-03,3056000,1179314.0,464798.0,766152.0,535688.0,535688.0,230464.0,139283.0,88.1
Chandigarh,IN-CH,2009-03,22000,33109.0,,22235.0,18563.0,18563.0,3672.0,3672.0,100.0
Chhattisgarh,IN-CT,2009-03,684000,658429.0,274705.0,568988.0,181920.0,176870.0,387068.0,163597.0,60.7
Dadra & Nagar Haveli,IN-DN,2009-03,10000,11470.0,3593.0,4917.0,4059.0,4059.0,858.0,304.0,88.7
Daman & Diu,IN-DD,2009-03,4000,,,,,,,,
Delhi,IN-DL,2009-03,343000,574706.0,122539.0,147856.0,130856.0,115513.0,17000.0,7063.0,93.3
Goa,IN-GA,2009-03,26000,46801.0,11184.0,23690.0,23552.0,16314.0,138.0,46.0,99.6
Gujarat,IN-GJ,2009-03,1445000,1329382.0,784199.0,1047645.0,872557.0,262620.0,175088.0,73131.0,90.3
Haryana,IN-HR,2009-03,629000,594281.0,244123.0,483880.0,282282.0,171697.0,201598.0,96094.0,78.2
Himachal Pradesh,IN-HP,2009-03,127000,153712.0,14075.0,111434.0,59280.0,58626.0,52154.0,3570.0,56.4
Jammu & Kashmir,IN-JK,2009-03,238000,376303.0,118190.0,208277.0,151668.0,151263.0,56609.0,31774.0,88.1
Jharkhand,IN-JH,2009-03,873000,665252.0,,503132.0,190401.0,189700.0,312731.0,130739.0,63.8
Karnataka,IN-KA,2009-03,1268000,1148075.0,639012.0,967719.0,720477.0,719201.0,247242.0,169018.0,91.9
Kerala,IN-KL,2009-03,549000,591901.0,340034.0,183182.0,181558.0,181558.0,1624.0,269.0,99.3
Lakshadweep,IN-LD,2009-03,1000,259.0,30.0,155.0,155.0,155.0,,,100.0
Madhya Pradesh,IN-MP,2009-03,2177000,2109976.0,917299.0,1759464.0,1408675.0,1255679.0,350789.0,113850.0,86.5
Maharashtra,IN-MH,2009-03,2168000,2185856.0,1247223.0,1757043.0,1460056.0,468015.0,296987.0,157097.0,92.0
