,PharmGKB ID,ChEMBL ID
0,PA164712302,
1,PA134967247,
2,PA131887008,CHEMBL43048
3,PA165958321,
4,PA165858618,CHEMBL231616
5,PA451993,CHEMBL90593
6,PA166123047,CHEMBL1358287
7,PA164712303,
8,PA166122786,CHEMBL173365
9,PA151958637,
10,PA154081778,
11,PA164712304,
12,PA151958362,
13,PA130230922,
14,PA152530740,
15,PA448004,CHEMBL1380
16,PA164754915,CHEMBL1252
17,PA164747080,
18,PA448006,
19,PA166153471,CHEMBL3301610
20,PA166123407,CHEMBL254328
21,PA166104276,
22,PA166198581,
23,PA10344,CHEMBL1201293
24,PA448010,
25,PA448011,CHEMBL642
26,PA166049185,CHEMBL93645
27,PA164712305,
28,PA164712306,
29,PA164712307,
30,PA164712308,
31,PA166049184,CHEMBL189171
32,PA452632,
33,PA164783999,CHEMBL39560
34,PA164743727,CHEMBL2104054
35,PA448014,
36,PA448015,CHEMBL112
37,PA166184061,
38,PA165290927,
39,PA166184496,
40,PA448016,
41,PA448018,CHEMBL20
42,PA448021,CHEMBL539
43,PA164712309,
44,PA164777011,CHEMBL1589
45,PA164749213,CHEMBL734
46,PA448025,
47,PA164781360,
48,PA448031,CHEMBL667
49,PA448033,CHEMBL600
50,PA164746246,
51,PA448045,CHEMBL184
52,PA164712311,
53,PA164712310,
54,PA448039,
55,PA164712312,
56,PA164712313,
57,PA164712314,
58,PA10004,
59,PA164712315,
60,PA448047,CHEMBL1265
61,PA10005,CHEMBL922
62,PA448048,CHEMBL226345
63,PA448049,CHEMBL477
64,PA166178281,
65,PA164744376,CHEMBL752
66,PA164743471,CHEMBL14249
67,PA164783813,CHEMBL328250
68,PA164712316,
69,PA164712318,
70,PA164712317,
71,PA10405,
72,PA165981154,CHEMBL1173655
73,PA165981139,
74,PA452609,
75,PA166118342,
76,PA166122586,
77,PA164746527,
78,PA164712320,
79,PA164712321,
80,PA164712322,
81,PA164712323,
82,PA165958363,CHEMBL10878
83,PA164776839,CHEMBL2357792
84,PA164746058,CHEMBL1483
85,PA165958399,CHEMBL1201747
86,PA164747650,CHEMBL1200989
87,PA164712324,
88,PA448081,
89,PA164712325,
90,PA164712326,
91,PA166160050,CHEMBL1738797
92,PA164748040,
93,PA164783958,
94,PA448082,CHEMBL870
95,PA164746469,CHEMBL1601669
96,PA448084,CHEMBL634
97,PA164774795,CHEMBL709
98,PA164748093,
99,PA164754753,
100,PA164712327,
101,PA166159961,
102,PA166165015,CHEMBL483158
103,PA143487910,CHEMBL1639
104,PA164746900,CHEMBL38
105,PA164744894,CHEMBL290194
106,PA164712328,
107,PA164712329,
108,PA164712331,
109,PA164712330,
110,PA164712336,
111,PA164712337,
112,PA142320763,
113,PA448320,CHEMBL1467
114,PA164712332,
115,PA164712334,
116,PA164745307,CHEMBL3185133
117,PA164750492,CHEMBL1183717
118,PA133888888,
119,PA10246,CHEMBL1505
120,PA448322,
121,PA164745502,CHEMBL1110
122,PA452626,
123,PA166184523,
124,PA10308,
125,PA164712344,
126,PA164712346,
127,PA164712343,
128,PA164712339,
129,PA164712340,
130,PA164712341,
131,PA164712342,
132,PA449384,CHEMBL8739
133,PA147358765,
134,PA448333,CHEMBL661
135,PA164750541,CHEMBL266195
136,PA448334,
137,PA164746411,
138,PA164776730,
139,PA164743136,CHEMBL1455
140,PA164760864,
141,PA164712347,
142,PA164712348,
143,PA448348,
144,PA165958393,
145,PA164764505,CHEMBL253371
146,PA165291491,
147,PA164754864,CHEMBL270190
148,PA448360,CHEMBL660
149,PA164764601,CHEMBL1652
150,PA165860521,
151,PA164746074,CHEMBL1200732
152,PA164754807,CHEMBL356512
153,PA166049186,CHEMBL25146
154,PA164712349,
155,PA166185150,
156,PA166182002,
157,PA448365,CHEMBL1006
158,PA164744372,CHEMBL177
159,PA448368,CHEMBL945
160,PA448372,
161,PA164712351,
162,PA164712353,
163,PA164712352,
164,PA164712354,
165,PA10247,
166,PA164774947,CHEMBL1046
167,PA448375,CHEMBL488
168,PA452167,
169,PA134711723,CHEMBL463
170,PA10015,CHEMBL601
171,PA164748135,CHEMBL288470
172,PA164781029,CHEMBL1370561
173,PA165109541,CHEMBL274619
174,PA164712355,
175,PA448382,CHEMBL1169
176,PA164712356,
177,PA164712357,
178,PA448383,CHEMBL633
179,PA162565877,CHEMBL243712
180,PA448385,CHEMBL629
181,PA164745310,CHEMBL1096
182,PA448388,CHEMBL1491
183,PA166183785,
184,PA166131585,CHEMBL1160819
185,PA448392,
186,PA165958400,
187,PA448401,CHEMBL267894
188,PA448404,CHEMBL682
189,PA448405,CHEMBL1113
190,PA448406,CHEMBL1082
191,PA164712358,
192,PA448408,CHEMBL612
193,PA448415,CHEMBL267345
194,PA448419,CHEMBL174
195,PA448422,CHEMBL116
196,PA164746803,CHEMBL12856
197,PA10309,CHEMBL43
198,PA164750570,CHEMBL1535371
199,PA164712360,
200,PA164712361,
201,PA165960688,
202,PA164742986,CHEMBL760
